EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317740,1222.8,1222.8,1218,1218,48,0
1,1224.45,1225.35,1222.8,1222.8,9,0
4,1219,1222.8,1219,1222.25,47,0
6,1218.9,1218.9,1218,1218,8,0
8,1219.95,1219.95,1219,1219,13,0
9,1219.65,1219.65,1219.25,1219.25,25,0
14,1218.7,1219,1218.2,1219,11,0
17,1218,1218.95,1218,1218.95,33,0
18,1219,1219,1219,1219,27,0
19,1219,1219,1219,1219,2,0
20,1219,1219,1219,1219,1,0
22,1222.25,1222.25,1220.7,1220.7,509,0
23,1225,1226.3,1225,1226.3,23,0
24,1227.25,1227.55,1225.3,1225.3,86,0
25,1227.25,1227.25,1227.25,1227.25,2,0
26,1225.95,1225.95,1225,1225,39,0
27,1226,1226,1226,1226,9,0
28,1225,1225,1225,1225,50,0
29,1226.9,1226.95,1226,1226,136,0
30,1227.7,1227.7,1227.7,1227.7,2,0
31,1227.7,1227.7,1227.7,1227.7,2,0
34,1228.1,1228.85,1228,1228,28,0
35,1227.1,1228.7,1226.85,1227.5,34,0
36,1227.35,1227.35,1227.35,1227.35,11,0
38,1227.55,1228,1226.05,1227.6,53,0
39,1227.4,1227.4,1226.45,1226.45,45,0
40,1227.5,1227.5,1227.5,1227.5,1,0
41,1228.65,1228.65,1228.65,1228.65,5,0
42,1228.7,1228.7,1228.7,1228.7,2,0
43,1228.25,1228.25,1228.25,1228.25,9,0
44,1227,1228,1226.9,1226.9,52,0
45,1227.55,1227.9,1226.7,1226.95,20,0
46,1228.7,1228.7,1227.9,1227.9,103,0
47,1229,1229.2,1229,1229.2,26,0
49,1228.55,1228.95,1228.55,1228.95,18,0
50,1227.9,1228.5,1227.9,1228.5,6,0
52,1227.9,1227.95,1227.9,1227.95,3,0
53,1227.15,1227.15,1225.05,1225.05,43,0
54,1227,1227,1227,1227,40,0
55,1227.15,1227.2,1225.25,1225.25,24,0
56,1229.05,1229.05,1229.05,1229.05,46,0
58,1229.05,1229.05,1229.05,1229.05,9,0
59,1229.05,1229.05,1229.05,1229.05,1,0
62,1229.15,1229.15,1229.1,1229.1,18,0
63,1229.1,1229.1,1229.1,1229.1,15,0
65,1229.1,1229.1,1229.1,1229.1,2,0
67,1228,1228.05,1228,1228.05,18,0
68,1228,1228,1228,1228,4,0
70,1226.95,1226.95,1226.95,1226.95,10,0
71,1226.95,1226.95,1226.95,1226.95,1,0
73,1226.5,1226.5,1226.5,1226.5,10,0
75,1226.45,1227.15,1225.8,1227.15,18,0
76,1225,1225,1225,1225,115,0
77,1226.05,1226.05,1225,1225,23,0
78,1225,1225,1224.1,1225,111,0
79,1225,1225,1225,1225,36,0
