EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,1186.15,1197,1179,1197,1209,0
1,1188,1188,1179.45,1179.45,649,0
2,1185.55,1189.3,1182.2,1187.6,138,0
3,1186,1190,1186,1190,115,0
4,1185.7,1185.7,1185.7,1185.7,1,0
5,1182.6,1185.6,1182.2,1184.05,136,0
6,1184.8,1185.25,1182.8,1184,74,0
7,1182.8,1182.8,1182.8,1182.8,5,0
8,1182.65,1184.7,1182.65,1182.7,49,0
9,1182.65,1182.65,1182.65,1182.65,12,0
10,1184.3,1184.3,1184.3,1184.3,10,0
11,1182.7,1184.3,1182.7,1184.3,117,0
12,1184,1184,1184,1184,12,0
13,1182.65,1182.65,1182.65,1182.65,100,0
14,1188,1188,1187.3,1187.3,249,0
16,1188.05,1188.05,1184.15,1184.15,21,0
17,1188,1188,1188,1188,17,0
19,1188,1188,1188,1188,46,0
20,1188,1188,1188,1188,13,0
21,1189,1189,1188.7,1188.7,15,0
22,1195,1195,1190.05,1190.05,387,0
23,1204.95,1204.95,1195,1195.05,1390,0
24,1204.95,1205,1202.05,1202.2,321,0
25,1203.1,1205,1202.5,1202.5,261,0
26,1201.75,1204,1201.75,1204,246,0
27,1201.1,1203,1200.6,1201.35,132,0
28,1202,1202,1200.3,1201.1,107,0
29,1201.25,1202.95,1200.35,1200.35,113,0
30,1200.25,1202.9,1200.25,1201.15,362,0
31,1198,1201.95,1197.55,1201.95,441,0
32,1199.95,1199.95,1197.4,1198,48,0
33,1198,1200.95,1198,1198,114,0
34,1197.05,1197.4,1197.05,1197.4,225,0
35,1197.1,1197.1,1197.1,1197.1,10,0
36,1198,1198,1197,1197,26,0
37,1202.85,1202.85,1197.35,1199.95,113,0
38,1201.55,1203,1201.55,1202.75,73,0
39,1202.95,1202.95,1202.95,1202.95,7,0
40,1201.55,1201.8,1201.55,1201.8,8,0
41,1201.55,1201.55,1201.55,1201.55,40,0
42,1200.65,1202.75,1200.65,1201.05,105,0
43,1201.15,1201.15,1200.15,1200.4,19,0
44,1201.2,1201.2,1200.15,1200.2,67,0
45,1200.15,1201.85,1200.15,1201.85,115,0
46,1200.95,1200.95,1199.7,1200.35,22,0
47,1199.35,1201,1199.35,1200.3,64,0
48,1200.6,1201.85,1200,1200,161,0
49,1201.8,1201.8,1201.8,1201.8,25,0
50,1201,1201,1200.5,1200.5,10,0
51,1200,1201.75,1200,1201.75,80,0
52,1200.05,1200.05,1200.05,1200.05,10,0
54,1200.95,1200.95,1200,1200,7,0
55,1200.95,1201,1200.05,1200.05,83,0
56,1197.75,1201,1196.35,1201,247,0
57,1196.5,1197.8,1195.1,1195.1,117,0
58,1196.9,1197.9,1196,1196,56,0
59,1198.9,1198.9,1196,1196,135,0
60,1199.85,1199.85,1198.75,1198.75,107,0
61,1197,1199.7,1196.3,1199.7,117,0
62,1199.85,1199.85,1197.25,1197.25,81,0
63,1198,1198.9,1197.5,1198.9,27,0
64,1198,1199,1197.1,1197.8,52,0
65,1197.05,1199.4,1197.05,1197.75,46,0
66,1198.35,1199,1196.5,1196.5,104,0
67,1198.15,1198.95,1197,1197,69,0
68,1197.8,1198,1197.7,1198,33,0
69,1196.2,1197,1196.2,1197,11,0
70,1197.45,1197.45,1197.45,1197.45,14,0
71,1196.45,1196.45,1196.45,1196.45,8,0
72,1197.4,1197.4,1197.4,1197.4,2,0
73,1197,1197,1197,1197,5,0
75,1196.9,1196.9,1196,1196.2,138,0
77,1195.05,1196,1195.05,1196,158,0
78,1196.4,1196.4,1195.05,1195.05,67,0
79,1195.1,1195.1,1195.1,1195.1,5,0
80,1195.1,1195.1,1195.1,1195.1,26,0
81,1195.1,1195.1,1195.1,1195.1,5,0
82,1195.1,1195.1,1195.1,1195.1,50,0
83,1198,1198,1196.1,1196.1,114,0
84,1198.4,1198.4,1198.4,1198.4,54,0
85,1199,1199,1198.6,1198.6,13,0
86,1197.6,1198.35,1197.2,1198.35,64,0
87,1199,1199,1197.85,1197.85,37,0
89,1197.85,1197.85,1197.85,1197.85,13,0
90,1199.65,1199.65,1198.45,1199.35,24,0
91,1199,1199.4,1198.85,1198.85,19,0
