EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,148.5,148.5,147.4,147.4,18990,0
1,147,148.15,147,147.9,16945,0
2,147.35,147.5,147,147,7984,0
3,147.4,147.45,147.15,147.35,5002,0
4,147.6,147.8,147.4,147.45,9323,0
5,147.8,147.8,147.4,147.4,6321,0
6,147.65,147.85,147.65,147.75,5263,0
7,147.45,147.75,147.45,147.65,10600,0
8,147.4,147.5,147.2,147.45,8838,0
9,147.25,147.5,147.2,147.4,2467,0
10,147.45,147.5,147.2,147.2,12823,0
11,147.7,147.7,147.3,147.4,8817,0
12,147.6,147.7,147.45,147.7,2184,0
13,148.2,148.25,147.6,147.6,19957,0
14,148,148.2,148,148.2,6682,0
15,148.7,148.9,148,148.15,23097,0
16,149.2,149.3,148.6,148.85,50719,0
17,149.15,149.3,149,149,10877,0
18,149.3,149.4,149.1,149.2,25732,0
19,149.3,149.4,149.1,149.3,8077,0
20,149.3,149.35,149.15,149.3,23491,0
21,149.35,149.45,149.3,149.3,5367,0
22,149.15,149.5,149.15,149.3,7665,0
23,148.95,149.35,148.75,149.3,12513,0
24,149,149.1,148.8,148.85,6396,0
25,148.9,149,148.6,149,10876,0
26,148.6,148.9,148.6,148.9,7836,0
27,148.2,148.7,148,148.7,33171,0
28,148,148.35,147.6,148.2,15908,0
29,148.1,148.3,147.95,147.95,5315,0
30,148.05,148.45,148,148.1,3015,0
31,148.25,148.5,148.05,148.05,6553,0
32,148.25,148.4,148.05,148.4,6146,0
33,148.1,148.25,148.1,148.25,4367,0
34,148.2,148.3,148.1,148.15,7145,0
35,148,148.25,148,148.15,8398,0
36,147.8,148,147.8,148,1350,0
37,147.9,147.9,147.6,147.8,5231,0
38,147.9,148,147.85,147.9,3736,0
39,148.4,148.4,147.85,147.9,3292,0
40,148.4,148.45,148.15,148.3,2112,0
41,148.25,148.4,148.1,148.25,1970,0
42,148.2,148.2,148,148.15,4933,0
43,148.1,148.25,148,148.15,2063,0
44,148.25,148.45,148.15,148.25,5433,0
45,148.3,148.35,148.05,148.25,3261,0
46,148.55,148.7,148.1,148.35,5392,0
47,148.65,148.75,148.5,148.6,4743,0
48,148.65,148.75,148.6,148.65,4601,0
49,148.55,148.7,148.55,148.65,551,0
50,148.7,148.7,148.5,148.65,5550,0
51,148.8,148.85,148.6,148.6,3406,0
52,148.8,148.9,148.75,148.8,1545,0
53,148.6,148.85,148.6,148.85,1545,0
54,148.8,148.8,148.55,148.8,3937,0
55,148.6,148.8,148.6,148.8,1614,0
56,148.8,148.8,148.75,148.75,2333,0
57,148.7,148.85,148.7,148.85,1622,0
58,148.5,148.8,148.5,148.7,3680,0
59,148.7,148.7,148.55,148.6,1139,0
60,148.6,148.7,148.5,148.7,2228,0
61,148.7,148.75,148.5,148.55,400,0
62,148.5,148.65,148.5,148.6,14868,0
63,148.1,148.55,148,148.35,5040,0
64,148.05,148.15,148.05,148.1,2080,0
65,148.1,148.15,148,148.1,3723,0
66,148.05,148.15,148,148.15,3897,0
67,147.9,148.1,147.8,148.05,7995,0
68,147.9,147.9,147.6,147.7,9578,0
69,148,148,147.65,147.65,1932,0
70,148,148.1,147.9,147.95,1722,0
71,147.7,148,147.65,148,7152,0
72,147.6,147.75,147.5,147.75,5749,0
73,147.6,147.75,147.5,147.6,3798,0
74,147.7,147.75,147.5,147.5,8755,0
75,148,148,147.7,147.7,5965,0
76,147.85,148,147.8,148,5353,0
77,148.1,148.25,148,148.1,7472,0
78,148.25,148.25,148.1,148.2,1197,0
79,148.15,148.2,148.1,148.2,1265,0
80,148.1,148.15,148.1,148.15,2659,0
81,147.8,148.15,147.8,148.15,2878,0
82,147.8,147.85,147.75,147.85,2784,0
83,147.65,147.8,147.6,147.75,2918,0
84,147.65,147.8,147.6,147.65,3742,0
85,147.9,147.95,147.7,147.75,4014,0
86,148,148.1,147.9,147.9,3541,0
87,148.4,148.65,148,148.15,8009,0
88,148,148.6,148,148.6,9008,0
89,147.75,148,147.75,148,4614,0
90,147.8,147.95,147.7,147.8,2257,0
91,147.5,147.85,147.5,147.85,13213,0
92,147.65,147.85,147.65,147.8,3112,0
93,147.8,147.95,147.75,147.75,1166,0
94,147.65,147.95,147.65,147.95,809,0
95,147.5,147.8,147.2,147.8,23680,0
96,147.5,147.5,147.3,147.3,716,0
97,147.5,147.5,147.3,147.5,1321,0
98,147.5,147.65,147.45,147.5,1586,0
99,147.55,147.75,147.5,147.5,1700,0
100,147.7,147.8,147.55,147.6,635,0
101,147.55,147.8,147.5,147.7,3682,0
102,147.8,147.8,147.55,147.7,1346,0
103,147.65,147.85,147.65,147.85,166,0
104,147.9,147.9,147.75,147.9,840,0
105,147.95,148,147.85,148,9071,0
106,147.8,147.95,147.8,147.95,1251,0
107,147.7,147.9,147.7,147.85,1180,0
108,147.65,147.8,147.65,147.8,911,0
