EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,135.05,135.05,135,135,217,0
1,135.15,135.2,135.15,135.2,100,0
3,135.8,135.8,135.65,135.7,450,0
4,135.9,135.9,135.85,135.85,1471,0
5,135.5,135.5,135.5,135.5,140,0
6,135.5,135.5,135.4,135.4,264,0
7,135.7,135.7,135.7,135.7,50,0
9,135.95,135.95,135.95,135.95,25,0
13,135.95,135.95,135.95,135.95,35,0
14,135.75,135.75,135.75,135.75,50,0
15,136,136,135.65,135.65,103,0
16,135.75,135.75,135.75,135.75,60,0
17,135.95,135.95,135.95,135.95,100,0
18,135.9,135.9,135.9,135.9,103,0
19,136.2,136.2,136,136,627,0
20,136.1,136.5,136.1,136.25,901,0
22,136.5,136.5,136.5,136.5,30,0
28,136.5,136.5,136.5,136.5,867,0
29,136.6,136.6,136.6,136.6,50,0
31,136.45,136.45,136.45,136.45,32,0
32,137.05,137.05,136.6,136.6,287,0
33,137.65,137.65,137.65,137.65,500,0
35,137.5,137.5,137.5,137.5,10,0
36,137.25,137.25,137.2,137.2,90,0
37,136.5,137.15,136.5,137.15,1079,0
38,136.5,136.5,136.5,136.5,76,0
39,136.5,136.5,136.5,136.5,97,0
40,136.5,136.5,136.5,136.5,199,0
41,136.5,136.5,136.5,136.5,57,0
42,136.45,136.45,136.45,136.45,1483,0
43,136.15,136.15,136.15,136.15,95,0
44,136.15,136.2,136.15,136.2,275,0
45,136.3,136.3,136.15,136.15,140,0
46,136.15,136.3,136.15,136.3,123,0
47,136.5,136.5,136.2,136.2,850,0
48,136.3,136.3,136.3,136.3,185,0
49,136.2,136.3,136.2,136.3,57,0
50,136.45,136.5,136.3,136.3,995,0
51,136.5,136.6,136.5,136.6,1006,0
52,136.3,136.3,136,136.3,2619,0
53,136.3,136.35,136.3,136.3,316,0
54,136.3,136.3,136.3,136.3,92,0
55,136.3,136.3,136.3,136.3,418,0
56,136.15,136.25,136.15,136.25,107,0
57,136.3,136.3,136.1,136.1,5,0
58,136.3,136.3,136.3,136.3,36,0
59,136,136.3,136,136.3,801,0
61,136.2,136.2,136.2,136.2,10,0
62,136.3,136.3,136.3,136.3,18,0
65,136.3,136.3,136.3,136.3,50,0
68,136.2,136.2,136.2,136.2,100,0
69,136.05,136.05,136.05,136.05,200,0
70,136.15,136.15,136.1,136.15,378,0
73,136.1,136.1,136.1,136.1,50,0
74,136,136,136,136,67,0
77,136,136,136,136,70,0
79,136.05,136.05,136.05,136.05,95,0
82,136.15,136.15,136.15,136.15,50,0
83,136,136,136,136,500,0
