EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,1524.15,1535,1524.05,1535,4639,0
1,1524,1524.55,1521.65,1522.55,3717,0
2,1524.1,1524.95,1522.5,1524,4854,0
3,1524.45,1525.2,1522.6,1524.1,2098,0
4,1521.6,1523.8,1521,1523.75,2822,0
5,1521.75,1522.15,1521.15,1521.15,1186,0
6,1520,1521.35,1518.15,1521.25,3445,0
7,1521.7,1522.1,1520,1520.05,2885,0
8,1521.5,1524.75,1518.35,1520.65,6910,0
9,1525,1526,1521.1,1521.1,3101,0
10,1522.3,1524.5,1522.2,1524.5,2021,0
11,1520,1522.4,1520,1522.25,2212,0
12,1519.5,1520.45,1518.2,1520.45,2161,0
13,1519.25,1520,1518.65,1519.6,1704,0
14,1521,1521,1519.25,1519.75,630,0
15,1520.45,1521.7,1520.15,1521,2091,0
16,1520.8,1522,1519.25,1521.85,2454,0
17,1522.35,1522.95,1520.75,1521.4,775,0
18,1523.6,1523.6,1522.95,1523,997,0
19,1522.45,1523.4,1522,1523.4,1151,0
20,1522.25,1522.7,1521,1522.15,1425,0
21,1521.05,1522.6,1520.65,1522.4,262,0
22,1522.7,1522.9,1520.4,1520.6,1013,0
23,1522.55,1523,1522.5,1522.8,952,0
24,1523.5,1523.9,1522.5,1522.95,882,0
25,1523.5,1523.9,1522.9,1523.9,287,0
26,1525,1525.9,1523.3,1523.7,2342,0
27,1527.2,1527.4,1525.15,1525.2,1555,0
28,1526.7,1527.4,1525.6,1527.4,1466,0
29,1527,1530,1525.85,1525.85,9014,0
30,1525.35,1527.8,1525,1527,1089,0
31,1524.2,1525.25,1523.35,1525,1681,0
32,1524.55,1524.75,1523.5,1524.2,365,0
33,1526.25,1526.7,1524.3,1524.45,428,0
34,1522.1,1526.5,1520.15,1526.5,5412,0
35,1522.35,1523,1521.75,1522,1198,0
36,1523.9,1524.55,1521.65,1522.5,2741,0
37,1523.95,1524.2,1523.35,1523.9,750,0
38,1524,1524.25,1523.35,1523.75,845,0
39,1524.15,1524.7,1523.8,1524.45,377,0
40,1523.2,1523.95,1523,1523.6,447,0
41,1521.85,1523.9,1521.85,1523.15,1221,0
42,1520.1,1521.7,1520,1521.4,2223,0
43,1522,1522.6,1520.15,1520.65,1603,0
44,1522.65,1522.65,1522,1522.6,114,0
45,1522,1522.9,1522,1522.5,555,0
46,1521,1522,1521,1521.95,897,0
47,1520.1,1520.65,1520,1520.65,1243,0
48,1519.8,1521,1517.8,1520.4,4333,0
49,1517.9,1521,1517.9,1520.25,1080,0
50,1517.25,1518.55,1516.75,1517,2121,0
51,1517,1517.65,1515.8,1517,2132,0
52,1516.45,1517,1515.7,1516.65,1497,0
53,1516.6,1516.8,1516.3,1516.6,345,0
54,1514.75,1516.75,1513.9,1516.6,2793,0
55,1513.95,1514.9,1512.55,1513.2,2642,0
56,1514.15,1514.85,1512.45,1512.6,2220,0
57,1513.7,1514.75,1512.7,1514.1,1387,0
58,1512.05,1512.75,1510.6,1512.4,6142,0
59,1515.15,1516,1511.9,1512.65,2924,0
60,1515.35,1515.9,1514.8,1515.05,1213,0
61,1512.55,1514.6,1512.25,1514.6,1945,0
62,1513.05,1513.25,1510.05,1512.55,4379,0
63,1513.35,1513.9,1511.75,1513.05,983,0
64,1513,1513.9,1512.25,1513.25,865,0
65,1513.9,1513.9,1510.05,1512.65,2632,0
66,1513.9,1514,1512.45,1513.9,850,0
67,1515,1515,1513.85,1513.85,652,0
68,1518.5,1518.5,1515,1515,3430,0
69,1519,1519,1518.15,1518.9,444,0
70,1518.7,1519.45,1518.45,1519,1173,0
71,1518,1519,1518,1518.45,758,0
72,1517.8,1518.5,1516.9,1518.5,696,0
73,1516.7,1518.95,1516.7,1518.5,721,0
74,1516.5,1518,1516,1517.8,549,0
75,1517,1517.4,1515.9,1516.9,3247,0
76,1521.45,1521.7,1517.7,1517.7,4350,0
77,1521.6,1521.7,1519.5,1521,1677,0
78,1524.15,1524.85,1521.25,1521.25,3553,0
79,1526.55,1528.95,1524.55,1524.85,8234,0
80,1525.6,1528.2,1525.2,1528.2,1664,0
81,1523.3,1525.55,1523,1525.25,2070,0
82,1522.2,1523.3,1521.75,1523.2,826,0
83,1524.25,1524.5,1522,1522.4,2568,0
84,1522.85,1524.25,1521.9,1524.25,1309,0
85,1523.75,1523.9,1522.45,1522.45,297,0
86,1523.75,1523.95,1523,1523.95,331,0
87,1524.45,1525,1523.6,1523.75,831,0
88,1526.95,1526.95,1524,1524.05,2493,0
89,1526,1530,1526,1527.65,6590,0
90,1527.35,1527.35,1526.2,1527,1067,0
91,1526.9,1527.25,1526,1527.2,820,0
