EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,204.05,204.05,204,204,609,0
1,200.05,204.05,199.55,204.05,1394,0
2,200.4,201.15,200.05,200.05,135,0
3,200.45,201.65,200.3,200.3,196,0
4,200.45,201.4,200.45,201.4,278,0
5,201.4,201.4,201.2,201.2,523,0
6,203.4,203.7,201.4,201.4,785,0
7,202.85,202.85,202.8,202.85,7,0
8,202.15,202.8,202.05,202.05,269,0
9,202,202,202,202,510,0
10,202,202,201.75,201.75,140,0
11,202,202,202,202,40,0
12,202,202,202,202,100,0
13,202.05,202.35,202.05,202.35,40,0
14,202.05,202.05,202.05,202.05,5,0
15,202,202,201.75,201.75,1063,0
16,201,202,201,202,868,0
17,201.4,201.45,200.4,200.55,545,0
18,201.45,201.45,201.45,201.45,11,0
19,201.6,201.6,201.6,201.6,5,0
20,201.95,201.95,201.95,201.95,320,0
22,202,202.05,202,202.05,59,0
23,200.5,201.75,200.5,201.75,1157,0
24,201.6,201.6,201.6,201.6,20,0
25,201.45,201.45,200.5,200.55,371,0
26,200,200,200,200,1145,0
27,199.65,201,199.65,200.1,655,0
28,199.65,200.6,199.65,200.6,303,0
29,199.1,200.3,199.1,199.65,598,0
30,199.5,199.5,199,199,211,0
31,199.45,199.45,199.45,199.45,66,0
32,199.75,199.75,199.45,199.45,100,0
33,199.5,199.75,199.5,199.75,262,0
34,199.45,199.5,199.45,199.5,219,0
35,199.25,199.7,199.25,199.7,49,0
36,199.7,199.7,199.5,199.55,315,0
37,199.65,199.7,199.15,199.7,395,0
39,199.9,199.9,199.8,199.8,51,0
40,199.85,199.9,199.3,199.9,54,0
41,199.4,199.4,199.4,199.4,100,0
42,199.85,199.85,199.85,199.85,5,0
43,200.15,200.15,200,200,373,0
44,200.5,200.5,200.4,200.4,230,0
45,200.5,200.5,199.85,199.85,136,0
46,200.5,200.5,199.95,199.95,12,0
47,200.6,200.6,199.85,199.85,137,0
49,201.2,201.2,201.15,201.2,289,0
51,201.4,201.4,201.1,201.1,39,0
52,201.1,201.1,201.1,201.1,3,0
53,201.8,201.8,201.3,201.4,78,0
54,201.75,201.75,201.25,201.25,37,0
55,201.7,201.7,201.45,201.5,65,0
56,201.6,201.7,201.4,201.5,591,0
57,201.45,201.45,201.45,201.45,3,0
58,201.15,201.15,201.15,201.15,12,0
59,201.05,201.15,201,201,195,0
60,201.05,201.05,200.05,200.95,239,0
61,201.05,201.05,200.6,200.6,12,0
62,200.85,201,200.3,200.95,114,0
64,200.75,200.9,200,200.85,467,0
66,200.1,200.1,200.1,200.1,2,0
67,200.65,200.65,200.65,200.65,12,0
68,200.7,200.7,199.65,200.25,203,0
69,200.1,200.1,200.1,200.1,43,0
70,200.1,200.1,200.1,200.1,131,0
71,200.1,200.1,199.95,199.95,2188,0
72,200.1,200.1,200,200,869,0
73,200.1,200.1,199.75,200.1,200,0
74,200.1,200.1,200,200,153,0
75,200.1,200.1,200,200,23,0
77,200.1,200.1,200.1,200.1,47,0
79,200.1,200.1,200.1,200.1,16,0
80,199.75,200.1,199.75,200,316,0
81,200.1,200.1,200.1,200.1,30,0
82,200.1,200.1,200,200,59,0
