EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490300,1039.05,1039.05,1039.05,1039.05,346,0
1,1051.05,1052,1040.2,1044,5755,0
2,1054.4,1055,1051,1051,7124,0
3,1055.85,1060,1053.1,1054.85,7317,0
4,1052.55,1058.05,1052.55,1055.85,4339,0
5,1057,1059,1052.7,1053.5,3656,0
6,1058.15,1059.95,1057.1,1057.85,3266,0
7,1058,1059.45,1056.6,1059.25,2019,0
8,1059,1060,1058,1058,2075,0
9,1061.75,1062.85,1058,1058.9,5905,0
10,1063,1064.2,1061.75,1061.75,3546,0
11,1062.9,1064,1062.05,1062.8,4274,0
12,1063,1063,1058.05,1058.05,8218,0
13,1063.7,1064,1062.5,1063.6,3366,0
14,1059,1063.45,1058.2,1063.45,3207,0
15,1060.25,1060.25,1057.05,1058.05,2829,0
16,1058.9,1060.5,1058,1060,2812,0
17,1055.5,1058.8,1055.5,1058.8,3395,0
18,1052,1057,1051,1055.95,6855,0
19,1052,1053.85,1051.45,1053.85,899,0
20,1054,1055,1051,1051.5,3676,0
21,1053.5,1055,1052.5,1054.85,1891,0
22,1052,1053.45,1052,1052.2,621,0
23,1052.9,1053,1051.25,1052.05,2949,0
24,1054,1054,1052,1052,1719,0
25,1053,1054.3,1052.95,1054.3,575,0
26,1053.25,1053.25,1053,1053,634,0
27,1053,1053.3,1052.2,1053.3,837,0
28,1053,1053,1052.1,1052.1,310,0
29,1050.35,1053,1048.55,1053,7556,0
30,1048.45,1050,1047.2,1050,1766,0
31,1046.2,1048.5,1045.65,1048.5,3448,0
32,1043.65,1047,1043.65,1047,3278,0
33,1039.05,1043.3,1035.5,1043.05,10326,0
34,1044,1044.6,1039.05,1039.05,3617,0
35,1045,1045.5,1044.15,1044.5,4748,0
36,1046.15,1046.45,1044.95,1045.3,2536,0
37,1048,1049.25,1046,1046,2053,0
38,1050,1050.05,1048.5,1048.5,2124,0
39,1052,1052,1050.65,1050.85,2687,0
40,1051,1052.15,1050,1052,1929,0
41,1050.95,1051.45,1050,1051,521,0
42,1053,1053,1051.05,1051.5,1206,0
43,1051.9,1053,1051,1052,928,0
44,1051.1,1051.85,1051,1051,876,0
45,1051,1051.9,1050.9,1051.9,369,0
46,1048.7,1051.8,1048.7,1051,1742,0
47,1049.1,1049.95,1048.55,1049.95,1823,0
48,1048.4,1049.1,1048,1049.1,966,0
49,1048.55,1049.3,1048,1048,183,0
50,1048,1048.55,1048,1048.55,245,0
51,1048,1048.5,1047.35,1048,439,0
52,1047,1048,1047,1048,370,0
53,1045.15,1046.6,1043.9,1046.6,2229,0
54,1044,1044,1040,1043.85,2674,0
55,1043,1044.2,1042,1044,1942,0
56,1043.2,1044.2,1043,1044.2,152,0
57,1042.95,1043.2,1042.55,1043.2,198,0
58,1044.7,1044.85,1042.55,1042.95,1240,0
59,1044.75,1044.9,1044.2,1044.7,226,0
60,1044.75,1044.75,1044.3,1044.75,50,0
61,1044.2,1044.75,1044.2,1044.75,48,0
62,1044,1044.2,1043.95,1044.2,622,0
63,1044.95,1045,1044.15,1044.9,177,0
64,1046.1,1046.1,1045,1045.2,793,0
65,1047,1047,1046.1,1046.7,524,0
66,1047.1,1047.15,1046.5,1047,1213,0
67,1046.1,1047,1046.1,1047,55,0
68,1048,1048,1046.05,1046.15,727,0
69,1049.2,1049.9,1047.75,1047.75,1205,0
70,1048.8,1049.85,1048.8,1049.85,322,0
71,1049.7,1049.7,1048.6,1049.5,267,0
72,1048.3,1049.5,1048.3,1049.5,60,0
73,1043,1048,1043,1048,1306,0
74,1044,1044.05,1043,1043,235,0
75,1044.95,1046.6,1044,1044,449,0
76,1045,1045,1044,1044.5,273,0
77,1044.25,1045.7,1044.25,1045,122,0
78,1044.05,1044.2,1043.7,1044.2,210,0
79,1041,1042,1040.6,1042,1561,0
80,1041,1041.7,1041,1041.05,105,0
81,1042.8,1042.8,1041.1,1041.7,736,0
82,1041.95,1042.8,1041,1042.8,1015,0
83,1042.5,1042.5,1041.25,1042,88,0
84,1042,1042.45,1041.45,1041.45,50,0
85,1041.45,1042.25,1041.25,1041.25,80,0
86,1042,1042.5,1041.5,1041.5,480,0
87,1042,1042,1042,1042,80,0
88,1045,1045.3,1043.15,1043.15,1865,0
89,1044.15,1045.9,1044.15,1045.5,160,0
91,1045.1,1045.1,1044.5,1044.95,381,0
92,1046.35,1046.35,1045.1,1045.1,778,0
93,1045.15,1046.35,1045.1,1046.35,286,0
94,1044.5,1045.1,1044.5,1045.1,897,0
95,1044,1044,1043.15,1043.15,11,0
96,1043.05,1044,1043.05,1044,2,0
97,1043.95,1043.95,1043.95,1043.95,1,0
98,1045,1045,1044,1044,104,0
100,1047.45,1047.45,1044.25,1045,1171,0
101,1046.8,1046.8,1046.15,1046.15,75,0
102,1046.2,1046.75,1046.15,1046.75,575,0
