EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1830.35,1830.35,1830.35,1830.35,3,0
1,1850,1850.05,1845,1845,7,0
2,1856.8,1858,1850,1851,150,0
3,1860,1871.6,1850,1852,141,0
4,1885.95,1885.95,1885.95,1885.95,120,0
5,1871.7,1887,1871.7,1887,76,0
6,1867.6,1870,1867.6,1870,25,0
7,1858.35,1860,1850,1860,146,0
8,1865,1865,1865,1865,5,0
9,1855.3,1855.3,1850,1850,107,0
10,1855,1855,1850,1850,80,0
15,1855,1855,1855,1855,1,0
16,1857,1857,1857,1857,1,0
17,1855,1855,1855,1855,30,0
20,1860,1860,1855,1855,74,0
21,1860.95,1860.95,1856.75,1856.75,3,0
22,1864.55,1864.55,1864.55,1864.55,7,0
23,1866,1867,1866,1867,101,0
24,1860,1860,1860,1860,1,0
25,1877.95,1879.9,1876,1879.8,127,0
26,1861.5,1861.5,1857.35,1857.35,15,0
27,1860,1860,1860,1860,32,0
28,1865.5,1865.5,1865.5,1865.5,2,0
29,1865,1865.05,1865,1865.05,40,0
30,1859.5,1861.45,1859.4,1861.45,63,0
31,1864.9,1864.9,1859.5,1859.5,14,0
33,1862,1862,1862,1862,1,0
38,1864,1864,1864,1864,5,0
43,1860.6,1860.6,1860.6,1860.6,8,0
45,1857,1860.05,1857,1860.05,46,0
46,1859.95,1861,1854,1854,58,0
47,1859.05,1859.05,1859.05,1859.05,2,0
48,1860,1863.85,1860,1863.85,3,0
55,1859.05,1862.95,1859.05,1862.95,7,0
60,1862.85,1862.85,1862.85,1862.85,1,0
62,1860,1860,1860,1860,1,0
66,1856,1859,1856,1859,11,0
67,1855,1855.3,1855,1855.3,15,0
68,1859.9,1859.9,1859.9,1859.9,2,0
70,1857.05,1857.05,1857.05,1857.05,2,0
72,1857,1857,1857,1857,2,0
79,1857,1857,1851,1851,61,0
81,1853.25,1857,1853.25,1857,11,0
