EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,43.25,43.55,43.2,43.4,44081,0
1,43.2,43.3,43.2,43.25,19445,0
2,43.2,43.25,43.1,43.25,33529,0
3,43.25,43.25,43.1,43.2,37267,0
4,43.3,43.35,43.25,43.3,52216,0
5,43.35,43.45,43.3,43.3,36824,0
6,43.45,43.45,43.35,43.4,16749,0
7,43.55,43.65,43.4,43.4,84764,0
8,43.7,43.8,43.5,43.55,87877,0
9,43.6,43.75,43.5,43.7,37716,0
10,43.5,43.6,43.5,43.55,3576,0
11,43.65,43.7,43.45,43.5,16553,0
12,43.6,43.7,43.6,43.65,20160,0
13,43.85,43.85,43.6,43.65,90850,0
14,43.8,43.85,43.8,43.8,15826,0
15,43.65,43.8,43.55,43.8,27834,0
16,43.6,43.65,43.55,43.65,8536,0
17,43.5,43.55,43.5,43.55,15846,0
18,43.4,43.5,43.35,43.5,19076,0
19,43.5,43.5,43.4,43.4,5760,0
20,43.5,43.5,43.45,43.5,5698,0
21,43.4,43.45,43.35,43.45,101232,0
22,43.4,43.4,43.35,43.4,23423,0
23,43.45,43.45,43.3,43.4,22439,0
24,43.5,43.55,43.4,43.4,60465,0
25,43.4,43.45,43.4,43.45,3017,0
26,43.4,43.4,43.35,43.4,10490,0
27,43.35,43.45,43.35,43.4,26369,0
28,43.35,43.5,43.35,43.35,61942,0
29,43.3,43.4,43.3,43.35,20357,0
30,43.2,43.35,43.05,43.35,137034,0
31,43.1,43.15,43.1,43.15,15809,0
32,43.05,43.1,42.95,43.1,30548,0
33,43.05,43.05,43,43,7150,0
34,43.05,43.1,43.05,43.05,19708,0
35,43.05,43.15,43,43.05,27434,0
36,43.15,43.15,43.05,43.1,3732,0
37,43.1,43.15,43.05,43.15,6774,0
38,43.2,43.2,43.1,43.15,15359,0
39,43.2,43.2,43.1,43.15,11832,0
40,43.3,43.3,43.15,43.25,18751,0
41,43.3,43.3,43.25,43.3,7110,0
42,43.2,43.3,43.15,43.3,13193,0
43,43.15,43.2,43.15,43.15,985,0
44,43.15,43.2,43.15,43.2,13943,0
45,43.1,43.15,43.1,43.15,18006,0
46,43.1,43.1,43.1,43.1,2709,0
47,43.05,43.15,43.05,43.1,3146,0
48,43,43.05,43,43.05,29859,0
49,43.05,43.05,43,43.05,11950,0
50,42.9,43,42.9,43,19352,0
51,43,43,42.9,42.9,12822,0
52,43,43.1,43,43,3125,0
53,43.1,43.1,43,43,2438,0
54,42.95,43.05,42.95,43.05,36207,0
55,43,43,42.95,42.95,3266,0
56,42.9,43,42.9,43,34455,0
57,43,43,42.9,42.95,13144,0
58,43,43,42.95,43,13502,0
59,42.95,43,42.9,42.95,6497,0
60,43.05,43.05,42.95,42.95,17091,0
61,43,43.05,43,43.05,10858,0
62,42.85,43,42.8,42.95,48277,0
63,42.8,42.85,42.8,42.85,10073,0
64,42.8,42.85,42.8,42.85,559,0
65,42.85,42.85,42.8,42.8,3769,0
66,42.8,42.85,42.8,42.85,6787,0
67,42.75,42.85,42.75,42.85,19753,0
68,42.75,42.8,42.75,42.75,2554,0
69,42.75,42.8,42.7,42.8,8778,0
70,42.7,42.7,42.65,42.7,19593,0
71,42.7,42.7,42.65,42.65,24766,0
72,42.65,42.7,42.65,42.65,24901,0
73,42.65,42.65,42.6,42.6,2089,0
74,42.6,42.65,42.55,42.55,4769,0
75,42.7,42.7,42.55,42.55,25575,0
76,42.65,42.7,42.65,42.65,461,0
77,42.65,42.65,42.65,42.65,3035,0
78,42.65,42.65,42.6,42.65,5486,0
79,42.75,42.75,42.65,42.7,24343,0
80,42.8,42.85,42.8,42.8,2131,0
81,42.85,42.9,42.85,42.85,6642,0
82,42.9,42.9,42.85,42.85,2953,0
83,42.9,42.9,42.85,42.85,2401,0
84,42.85,42.85,42.8,42.85,13269,0
85,43,43,42.85,42.85,19469,0
86,42.95,43,42.9,43,2201,0
87,42.95,42.95,42.9,42.95,2592,0
88,42.9,43,42.9,43,5539,0
89,42.95,42.95,42.95,42.95,200,0
90,42.9,43,42.9,42.95,7155,0
91,43,43,42.95,43,4093,0
92,43.05,43.05,43,43,22309,0
93,43.1,43.1,43,43.05,1709,0
94,43.1,43.1,43,43.05,3460,0
95,43.1,43.1,43.05,43.1,6368,0
96,43.1,43.15,43.05,43.1,3140,0
97,43.1,43.15,43.1,43.15,613,0
98,43.05,43.05,43.05,43.05,3273,0
99,43.05,43.1,43.05,43.05,145,0
100,43.05,43.1,43.05,43.05,6801,0
101,43.1,43.1,43.05,43.1,1722,0
102,43,43.1,43,43.05,10701,0
103,43.05,43.05,42.95,42.95,6199,0
104,43.1,43.1,43,43,3632,0
105,43.1,43.1,43.05,43.05,1038,0
106,43.15,43.15,43.1,43.1,12092,0
107,43.1,43.15,43.05,43.15,6867,0
108,43.1,43.1,43.05,43.1,7492,0
