EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,30.6,30.6,30.5,30.5,21918,0
1,30.45,30.6,30.4,30.6,43163,0
2,30.4,30.5,30.4,30.4,37823,0
3,30.4,30.45,30.35,30.35,24094,0
4,30.55,30.6,30.4,30.4,21491,0
5,30.55,30.6,30.5,30.55,7374,0
6,30.6,30.6,30.5,30.5,29054,0
7,30.55,30.6,30.45,30.6,16409,0
8,30.5,30.55,30.45,30.55,26811,0
9,30.45,30.5,30.45,30.45,31934,0
10,30.55,30.55,30.45,30.5,7603,0
11,30.45,30.5,30.45,30.5,21425,0
12,30.5,30.5,30.45,30.5,11555,0
13,30.45,30.5,30.4,30.5,10654,0
14,30.55,30.6,30.5,30.5,14367,0
15,30.55,30.55,30.5,30.5,4944,0
16,30.55,30.6,30.5,30.55,4595,0
17,30.55,30.55,30.55,30.55,16,0
18,30.6,30.65,30.55,30.55,7491,0
19,30.6,30.65,30.55,30.65,3804,0
20,30.6,30.6,30.55,30.6,410,0
21,30.75,30.8,30.55,30.55,41161,0
22,30.8,30.8,30.75,30.75,4454,0
23,30.8,30.85,30.75,30.75,32474,0
24,30.75,30.85,30.75,30.8,11785,0
25,30.7,30.7,30.7,30.7,4301,0
26,30.7,30.75,30.7,30.75,3380,0
27,30.7,30.75,30.7,30.7,10348,0
28,30.7,30.7,30.7,30.7,2060,0
29,30.65,30.7,30.65,30.7,10035,0
30,30.7,30.7,30.7,30.7,1200,0
31,30.7,30.7,30.65,30.65,1226,0
32,30.65,30.7,30.65,30.7,1720,0
33,30.65,30.7,30.65,30.65,1218,0
34,30.6,30.7,30.6,30.7,30952,0
35,30.5,30.65,30.5,30.65,29979,0
36,30.5,30.5,30.5,30.5,14301,0
37,30.5,30.5,30.5,30.5,18518,0
38,30.5,30.5,30.5,30.5,16512,0
39,30.45,30.5,30.45,30.5,16628,0
40,30.5,30.5,30.4,30.45,14306,0
41,30.55,30.55,30.5,30.5,16520,0
42,30.5,30.5,30.5,30.5,10,0
43,30.55,30.55,30.55,30.55,19726,0
44,30.5,30.6,30.5,30.55,12649,0
46,30.55,30.55,30.5,30.5,1180,0
47,30.5,30.5,30.5,30.5,5660,0
48,30.6,30.6,30.55,30.55,4881,0
49,30.55,30.6,30.55,30.6,668,0
51,30.6,30.6,30.55,30.6,4791,0
52,30.55,30.6,30.55,30.55,404,0
53,30.5,30.6,30.5,30.6,19375,0
54,30.45,30.5,30.45,30.5,31004,0
55,30.5,30.5,30.45,30.5,25477,0
56,30.45,30.45,30.4,30.45,41187,0
57,30.4,30.45,30.35,30.4,27916,0
58,30.35,30.4,30.35,30.4,13380,0
59,30.35,30.4,30.35,30.35,6576,0
60,30.3,30.35,30.25,30.35,44594,0
61,30.3,30.35,30.25,30.3,45016,0
62,30.35,30.4,30.3,30.35,6951,0
63,30.35,30.45,30.35,30.35,101059,0
64,30.3,30.4,30.3,30.35,16247,0
65,30.3,30.35,30.3,30.35,11743,0
66,30.35,30.35,30.3,30.3,20903,0
67,30.3,30.35,30.3,30.35,9595,0
68,30.3,30.3,30.25,30.25,6504,0
69,30.3,30.3,30.25,30.25,4546,0
70,30.2,30.25,30.2,30.25,47043,0
71,30.2,30.2,30.15,30.2,22757,0
72,30.15,30.2,30.15,30.2,550,0
73,30.2,30.2,30.15,30.2,21773,0
74,30.2,30.2,30.15,30.2,2800,0
75,30.15,30.2,30.15,30.2,16798,0
76,30.05,30.15,30.05,30.1,78389,0
77,30.05,30.1,30,30.1,36065,0
78,30.15,30.15,30.1,30.1,16620,0
79,30.15,30.2,30.15,30.15,17391,0
80,30.1,30.15,30.1,30.15,23065,0
81,30.15,30.2,30,30.1,82171,0
82,30.15,30.15,30.1,30.15,7864,0
83,30.15,30.15,30.15,30.15,712,0
