EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,557.4,559.75,550.7,554.75,606,0
1,550.9,553.7,550.9,553.7,355,0
2,551,551,550.2,550.2,123,0
3,552.4,553.85,550.7,551.7,205,0
4,555.35,555.8,551.4,551.4,195,0
5,556.2,556.45,556.2,556.35,43,0
6,555.3,555.35,555.3,555.35,62,0
7,555,555.3,554.35,555.3,262,0
8,555.7,555.7,554.4,554.85,90,0
9,555.05,556,555,556,10,0
10,556.05,556.05,555.4,555.4,52,0
11,556.2,556.2,556.2,556.2,15,0
12,554,554,554,554,361,0
13,555.85,555.85,555.85,555.85,2,0
14,555.1,555.75,555.1,555.75,35,0
15,554.9,554.9,554.25,554.85,69,0
17,554.85,555,554.1,555,299,0
18,554.9,554.9,554.9,554.9,2,0
20,554.1,554.1,554.1,554.1,1,0
22,554.1,554.1,554.1,554.1,1,0
23,554.95,554.95,554.1,554.1,27,0
27,554,554,554,554,225,0
28,554,554,554,554,9,0
29,554.95,554.95,554.3,554.3,38,0
30,554,554,554,554,50,0
34,554.05,554.05,554.05,554.05,75,0
35,554.05,554.05,554.05,554.05,135,0
36,554,554,554,554,213,0
37,554,554.05,554,554.05,10,0
39,554,554,554,554,81,0
43,553.7,553.7,553.7,553.7,1,0
44,553.1,553.9,553.1,553.9,100,0
49,553.15,553.15,553.15,553.15,9,0
51,553.85,553.85,553.85,553.85,10,0
52,553.6,553.6,553.15,553.15,3,0
57,555,555,554.15,554.15,28,0
59,554.85,554.85,554.85,554.85,5,0
62,555.75,555.75,555.05,555.05,88,0
63,557,557,556,556,207,0
64,557.55,558,557.55,558,105,0
65,557.1,557.45,557.1,557.45,25,0
66,558,558,557.6,557.6,52,0
67,558,558,558,558,30,0
69,557.5,557.5,557.5,557.5,89,0
70,556.85,557,556.85,557,95,0
73,556.05,556.05,556.05,556.05,6,0
75,555.8,556,555.8,556,114,0
76,555.8,555.9,555.55,555.55,10,0
78,555.5,555.95,555.5,555.95,10,0
79,556,556,556,556,20,0
80,555.95,555.95,555.7,555.7,4,0
81,555.1,555.4,555.1,555.4,23,0
83,555.1,555.1,555.1,555.1,70,0
85,555.1,555.1,555.1,555.1,40,0
87,553.65,554,553.65,554,106,0
88,555.2,555.75,554.95,554.95,105,0
89,552.7,552.7,552.7,552.7,25,0
90,556.15,556.15,552.7,552.7,172,0
91,555.25,555.25,555.25,555.25,26,0
93,555.5,555.5,555.25,555.25,62,0
94,555.35,555.65,555.35,555.65,14,0
100,555.25,555.25,555.25,555.25,10,0
106,555.25,555.25,555.25,555.25,11,0
107,553.85,554.55,553.85,554.55,49,0
117,554,554,554,554,10,0
118,554,554,554,554,25,0
119,554,554,554,554,43,0
120,554,554,554,554,10,0
121,554,554,554,554,25,0
125,554,554,554,554,44,0
126,553.25,553.25,553.25,553.25,5,0
129,552.65,552.65,552.65,552.65,39,0
133,554.95,554.95,552.75,552.75,66,0
134,554,554,554,554,5,0
140,554.05,554.05,554.05,554.05,2,0
143,554.05,554.05,554.05,554.05,4,0
144,554,554,554,554,50,0
145,554,555,554,555,75,0
149,554,554,554,554,5,0
159,554.4,554.4,554,554,146,0
162,553.8,553.8,553.8,553.8,15,0
163,553.3,553.3,553.3,553.3,2,0
164,553.8,554.05,552.5,552.5,212,0
166,553.65,553.65,553.65,553.65,25,0
169,553.8,553.8,553.8,553.8,2,0
175,551.05,552.5,551.05,552.5,285,0
176,552.7,552.7,551.05,552.45,41,0
177,550.75,552.15,550.75,552.15,207,0
179,551.7,551.7,551,551,206,0
180,549.05,550.25,549.05,550.25,147,0
181,549.8,549.8,549.7,549.7,15,0
182,548,549.3,544.85,546.2,1195,0
183,548.1,548.1,547.7,547.7,2,0
184,548.5,548.95,548.5,548.95,9,0
187,549,549,548.25,548.25,17,0
188,548.35,549,548.35,549,53,0
189,550,550,549.4,549.4,155,0
190,549.1,549.1,549.1,549.1,4,0
191,549.6,550,549.5,549.5,28,0
192,548.6,549,548.6,549,44,0
194,549.3,549.3,548.55,548.55,21,0
195,549.1,549.5,548.5,549.4,117,0
196,548.2,548.45,548.2,548.45,13,0
197,546.85,548.35,545.5,548.35,235,0
199,547,547,547,547,2,0
202,547.25,547.25,547.25,547.25,8,0
205,548,548,548,548,10,0
211,547.25,547.25,547.25,547.25,5,0
215,547.8,547.8,547.8,547.8,130,0
216,547.8,547.8,547.8,547.8,118,0
217,549.9,549.9,547.25,547.8,793,0
219,549.6,549.6,549.6,549.6,5,0
220,550.7,550.75,550.7,550.75,130,0
221,551,551.1,551,551.1,10,0
222,551.2,551.2,551.2,551.2,1,0
223,551.45,551.65,551.2,551.65,11,0
224,551.65,551.65,551.65,551.65,6,0
225,551.65,551.65,551.55,551.55,7,0
226,551.55,551.55,551.55,551.55,2,0
229,551.7,551.7,551.65,551.65,67,0
