EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,401.9,403.15,400,401.05,7401,0
1,401.75,402.65,401.75,402.65,2423,0
2,403.1,403.6,401.5,401.5,9095,0
3,404.3,404.4,403,403,5235,0
4,403.9,404.3,403.65,404.25,4452,0
5,403.85,404,403.45,403.85,3988,0
6,403.35,403.85,402.5,403.85,4067,0
7,402.85,403.4,402.75,403.3,5431,0
8,403.45,403.85,402.65,402.85,4323,0
9,403.6,404.15,403.45,403.9,5850,0
10,403.4,403.8,403.05,403.55,3751,0
11,402.2,403.8,402.2,403.4,3250,0
12,401.45,402.5,401.25,402.15,6908,0
13,402,402.2,401.45,401.55,3969,0
14,402.2,402.35,401.75,402.2,5148,0
15,402,402,401.7,401.9,1918,0
16,402.15,402.15,401.85,402.1,1811,0
17,402.65,402.95,402.2,402.2,1958,0
18,402.6,402.75,402.5,402.55,1713,0
19,403.2,403.3,402.4,402.6,12240,0
20,403.85,404,403.2,403.2,12315,0
21,403.65,404.15,403.55,403.8,7576,0
22,404.25,404.3,403.75,403.8,6117,0
23,405.4,405.5,404.25,404.25,26086,0
24,405.25,405.5,405.1,405.45,5132,0
25,405.4,405.5,405.25,405.25,4698,0
26,404.5,405.4,404.25,405.4,9366,0
27,404.55,404.75,404.3,404.75,5087,0
28,404.6,404.95,404.4,404.5,2381,0
29,403.5,405,403.2,404.7,6734,0
30,404.15,404.4,403.55,403.55,3830,0
31,403.6,404.4,403.4,404.15,7799,0
32,403.35,403.75,403.35,403.6,2126,0
33,403.2,403.6,403.2,403.6,2545,0
34,403.4,403.5,403.2,403.5,3716,0
35,400.85,403.4,400.85,403.4,13379,0
36,401.55,402.75,401,401.25,7324,0
37,401.75,402,401.35,401.7,1832,0
38,401.9,401.9,401.75,401.75,1505,0
39,401.15,401.75,400.75,401.55,8564,0
40,401.35,401.45,401,401.1,1704,0
41,401.5,401.5,401.1,401.1,2285,0
42,401.3,401.65,401.25,401.3,1541,0
43,401.75,401.75,401.55,401.55,423,0
44,401.7,401.85,401.65,401.75,1842,0
45,400.7,401.65,400.3,401.65,10423,0
46,400.85,401,400.45,400.7,2265,0
47,401,401.1,400.55,400.7,2044,0
48,401.3,401.3,401,401,785,0
49,401.5,401.5,401.3,401.35,2968,0
50,401.7,401.95,401.5,401.5,2440,0
51,402.15,402.3,401.8,401.95,4620,0
52,402.4,402.4,402.15,402.15,2052,0
53,402,402.5,402,402.5,2230,0
54,401.95,402.15,401.8,402,1549,0
55,402.1,402.1,401.95,401.95,797,0
56,401.7,402,401.65,402,2229,0
57,401.3,401.7,401,401.5,1845,0
58,399.05,401.3,399.05,401.3,18443,0
59,399.1,399.8,398.75,399.3,9814,0
60,399.65,399.9,398.7,399.3,4838,0
61,399.5,399.65,399.1,399.65,2031,0
62,399.6,399.85,399.55,399.65,2196,0
63,399.25,399.75,399.25,399.75,2482,0
64,399.55,399.55,399.3,399.4,1310,0
65,398.45,399.45,398.15,399.4,3964,0
66,397.15,398.5,397,398.5,12952,0
67,397.55,397.55,396.8,397.05,7741,0
68,397.95,397.95,397.35,397.55,2412,0
69,397.35,397.9,397.35,397.9,4115,0
70,397.5,397.75,397.5,397.55,1837,0
71,397.5,397.7,397.5,397.5,922,0
72,398.1,398.1,397.6,397.6,2161,0
73,398.2,398.45,398.1,398.3,1782,0
74,398,398.2,398,398.2,1538,0
75,398,398.25,398,398,1775,0
76,397.9,398,397.6,398,1784,0
77,397.9,398,397.7,397.75,671,0
78,397.5,397.9,397.2,397.9,2788,0
79,397.8,398,397.5,397.5,2761,0
80,398,398.05,397.8,397.8,1166,0
81,398.45,398.45,398,398.2,1117,0
82,398.4,398.45,398.05,398.45,733,0
83,398.1,398.4,397.9,398.4,1449,0
