EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490480,325.85,326.35,325.85,326.35,124,0
1,325.25,325.25,325.25,325.25,41,0
2,325.25,325.25,325.25,325.25,30,0
4,326.75,326.75,326.75,326.75,64,0
6,327.1,327.1,327.1,327.1,10,0
7,326,326,326,326,100,0
9,326.95,326.95,326,326,165,0
10,326.5,327,326.25,326.25,114,0
11,327.1,327.1,325.5,326,106,0
12,326.75,326.75,326,326.3,42,0
18,327,327,327,327,150,0
19,326.05,326.05,326.05,326.05,16,0
23,326,327.1,326,327.1,308,0
25,327.1,327.1,327.1,327.1,4,0
29,326.9,326.9,326.9,326.9,15,0
30,326.55,326.55,326.55,326.55,15,0
31,327.1,327.1,326.7,326.7,14,0
33,326.6,326.6,326.6,326.6,30,0
44,327.1,327.1,327.1,327.1,2,0
47,326.45,326.45,326.45,326.45,20,0
56,326.1,326.1,326.1,326.1,40,0
57,326.7,326.7,326.7,326.7,10,0
58,327.1,327.1,327.05,327.05,25,0
59,326.5,327.15,326.5,327.15,84,0
62,327.55,327.55,327.55,327.55,79,0
64,326.9,326.9,326.9,326.9,20,0
65,327.5,327.5,327.5,327.5,30,0
66,326.9,327.55,326.9,327.55,40,0
69,327.2,327.85,327.2,327.85,32,0
70,327.9,327.9,326.85,326.85,26,0
80,326.9,326.9,326.9,326.9,45,0
81,326.9,326.9,326.9,326.9,5,0
84,326.9,326.9,326.9,326.9,5,0
87,326.8,326.8,326.8,326.8,15,0
88,327.15,327.15,326.7,326.7,48,0
95,327.45,327.95,327.4,327.95,62,0
96,327.4,328.2,327.4,328.2,61,0
97,327.45,328.05,327.45,327.45,63,0
98,327.9,327.95,327.45,327.95,96,0
99,327.4,327.85,327.35,327.35,73,0
100,326.9,327.75,326.9,327.75,32,0
103,328.25,328.25,328.25,328.25,13,0
104,328.15,328.15,328.15,328.15,2,0
108,328.05,328.05,328.05,328.05,13,0
113,329.45,329.45,329.45,329.45,4,0
144,328.5,328.5,328.5,328.5,40,0
146,328.5,328.5,328.45,328.45,288,0
156,328.5,328.6,328.5,328.6,161,0
166,327.95,328.35,327.9,328.2,172,0
167,328.4,328.4,327.95,328.35,74,0
168,328.65,328.65,328.65,328.65,1,0
172,327.7,327.7,327.7,327.7,1,0
175,328.05,328.4,328.05,328.4,31,0
177,327.7,327.7,327.7,327.7,10,0
182,328.1,328.1,328.1,328.1,22,0
189,329,329,329,329,1000,0
190,329,329,329,329,453,0
191,331.1,331.1,329,329,814,0
208,331.05,331.05,331.05,331.05,1,0
209,330.5,330.55,330.5,330.55,60,0
216,330,330,330,330,31,0
217,329,329,329,329,43,0
219,330,330,330,330,349,0
220,330,330,330,330,80,0
221,330.05,330.05,330.05,330.05,59,0
222,330.5,330.5,330.5,330.5,9,0
223,331.15,331.15,331.15,331.15,30,0
224,330.4,330.4,330.4,330.4,30,0
225,330.1,330.4,330.1,330.35,67,0
227,329.65,330.05,328.9,330.05,9,0
228,329.95,329.95,329.9,329.9,47,0
261,329.95,329.95,329.95,329.95,49,0
278,328,328,328,328,215,0
279,328.45,328.45,328.45,328.45,188,0
