EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762360,127.35,127.85,127.1,127.85,64610,0
1,127,127.5,126.85,127.5,89474,0
2,127.3,127.3,126.9,127,83088,0
3,127.55,127.7,127.2,127.3,76876,0
4,127.25,127.7,127.2,127.65,41395,0
5,127.25,127.35,127.2,127.3,40758,0
6,127.45,127.45,127.25,127.3,23573,0
7,127.45,127.55,127.35,127.4,29261,0
8,127.4,127.45,127.3,127.45,21422,0
9,127.1,127.5,127.1,127.35,84976,0
10,127.1,127.2,127,127.05,69139,0
11,127.05,127.2,127.05,127.1,19197,0
12,127.15,127.25,127,127.05,67305,0
13,127.15,127.2,127.1,127.15,22311,0
14,127.3,127.3,127.15,127.2,16340,0
15,127.2,127.35,127.2,127.2,12464,0
16,127.4,127.4,127.2,127.3,18013,0
17,127.15,127.4,127,127.4,56330,0
18,127.05,127.15,127,127.1,16835,0
19,126.75,127.1,126.75,127.1,76887,0
20,126.95,126.95,126.75,126.8,24355,0
21,126.9,127,126.9,126.95,14774,0
22,126.95,127,126.9,127,9918,0
23,127.15,127.15,126.85,126.95,36264,0
24,127.25,127.4,127.15,127.15,34784,0
25,127.25,127.35,127.2,127.3,14783,0
26,127.3,127.3,127.15,127.25,15494,0
27,127.35,127.4,127.2,127.3,26405,0
28,127.45,127.45,127.35,127.35,24811,0
29,127.3,127.45,127.3,127.35,29153,0
30,127.15,127.35,127.1,127.35,36083,0
31,127.2,127.2,127.05,127.15,21060,0
32,127.2,127.2,127.05,127.15,16804,0
33,127.2,127.25,127.1,127.2,10804,0
34,127.2,127.3,127.2,127.25,9370,0
35,127.2,127.25,127.15,127.25,12862,0
36,127.15,127.25,127.15,127.15,8196,0
37,127.15,127.25,127.15,127.2,13950,0
38,127.25,127.3,127.15,127.2,11618,0
39,127.25,127.35,127.25,127.25,9792,0
40,127.35,127.4,127.25,127.3,12316,0
41,127.7,127.75,127.35,127.4,82077,0
42,127.45,127.7,127.45,127.7,16064,0
43,127.45,127.55,127.4,127.45,30944,0
44,127.4,127.55,127.4,127.5,31955,0
45,127.5,127.55,127.4,127.45,17076,0
46,127.4,127.5,127.4,127.5,20652,0
47,127.6,127.65,127.4,127.5,28172,0
48,127.5,127.65,127.5,127.65,13647,0
49,127.45,127.55,127.45,127.5,14991,0
50,127.3,127.45,127.25,127.45,28910,0
51,127.3,127.4,127.25,127.3,13732,0
52,127.25,127.4,127.2,127.35,28303,0
53,127.2,127.25,127.15,127.2,13869,0
54,127.1,127.2,127.05,127.15,31510,0
55,127.1,127.2,127.1,127.1,25458,0
56,127.15,127.2,127.1,127.1,7196,0
57,127.1,127.15,127.1,127.1,18641,0
58,127.05,127.15,127.05,127.15,5876,0
59,127.1,127.1,127.05,127.1,7501,0
60,126.95,127.1,126.8,127.05,129677,0
61,127.2,127.2,126.95,127,23724,0
62,127.05,127.2,127.05,127.2,30904,0
63,127,127.15,127,127.05,10435,0
64,127,127.05,126.9,127.05,32685,0
65,127,127.1,126.95,127.05,26012,0
66,126.9,127.1,126.9,127,27345,0
67,126.85,127,126.5,126.95,349942,0
68,126.95,127,126.85,126.9,54276,0
69,126.95,127,126.9,126.95,20101,0
70,126.8,126.95,126.75,126.9,50643,0
71,126.7,126.8,126.65,126.8,47226,0
72,126.65,126.8,126.6,126.7,20336,0
73,126.8,126.8,126.65,126.65,16696,0
74,126.85,126.85,126.75,126.75,21889,0
75,126.9,126.95,126.8,126.85,21506,0
76,126.75,126.9,126.75,126.9,16277,0
77,126.7,126.8,126.65,126.8,25262,0
78,126.6,126.75,126.55,126.75,61658,0
79,126.55,126.65,126.5,126.65,51697,0
80,126.7,126.7,126.5,126.5,46056,0
81,126.75,126.85,126.6,126.65,37143,0
82,126.8,126.85,126.8,126.85,20583,0
83,126.65,126.85,126.65,126.85,25745,0
84,126.55,126.7,126.55,126.7,42286,0
85,126.55,126.6,126.5,126.55,41530,0
86,126.6,126.65,126.5,126.5,47702,0
87,126.7,126.75,126.55,126.65,30786,0
88,126.65,126.75,126.6,126.75,13321,0
89,126.8,126.8,126.6,126.65,33837,0
90,126.75,126.85,126.7,126.8,24164,0
91,126.8,126.8,126.75,126.8,29447,0
92,127.1,127.15,126.8,126.85,82862,0
93,127,127.1,126.95,127.1,21831,0
94,126.9,126.95,126.85,126.95,23058,0
95,127,127.05,126.85,126.95,31395,0
96,126.95,127,126.9,127,14003,0
97,126.8,126.95,126.75,126.95,35316,0
98,126.7,126.8,126.7,126.8,10690,0
99,126.65,126.75,126.6,126.75,12156,0
100,126.65,126.65,126.55,126.6,39225,0
101,126.7,126.7,126.6,126.65,8525,0
102,126.65,126.75,126.65,126.7,10207,0
103,126.7,126.75,126.65,126.7,6464,0
104,126.75,126.75,126.7,126.75,10760,0
105,126.7,126.75,126.7,126.7,12999,0
