EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,2897.65,2897.7,2873.3,2897.6,107,0
1,2883.8,2895.55,2883.8,2895.55,88,0
2,2884.7,2884.7,2880,2880,41,0
3,2891.1,2892.5,2883,2883,19,0
4,2880,2880,2879.65,2879.65,47,0
5,2879.65,2879.65,2879.65,2879.65,1,0
6,2880,2880,2879.65,2879.65,198,0
7,2880.05,2880.05,2880,2880,45,0
8,2880.05,2885,2880.05,2885,161,0
9,2880.05,2880.05,2880.05,2880.05,3,0
10,2880,2880,2880,2880,19,0
11,2880.05,2880.05,2880.05,2880.05,10,0
12,2880,2880.05,2880,2880.05,63,0
14,2890.05,2890.05,2890.05,2890.05,85,0
16,2881,2889.95,2881,2889.95,10,0
17,2881,2881,2881,2881,13,0
18,2881,2881,2881,2881,2,0
19,2882.2,2890,2882.2,2882.2,125,0
20,2890,2890,2882.1,2883.05,19,0
21,2890,2890.05,2890,2890,59,0
22,2890,2890,2890,2890,31,0
23,2890.05,2890.25,2890,2890.25,19,0
24,2890,2891.4,2886,2890.05,451,0
25,2896,2896,2890.05,2890.05,961,0
26,2895.05,2896,2895.05,2895.05,63,0
27,2896,2896,2896,2896,50,0
28,2896,2896.05,2896,2896.05,35,0
29,2896,2896,2894.05,2896,406,0
30,2898,2898,2896,2896,51,0
31,2898,2898.05,2894.15,2898,283,0
32,2900,2900,2898,2898,325,0
33,2900.25,2902,2900,2900,449,0
34,2900.25,2905,2900.25,2902,623,0
35,2900.5,2902,2900.2,2900.2,92,0
36,2900.5,2900.5,2900.5,2900.5,6,0
37,2901.95,2901.95,2900.5,2900.5,16,0
38,2901.75,2901.75,2901.75,2901.75,14,0
39,2898,2900.5,2898,2900.5,440,0
40,2895.05,2900,2894.65,2898,121,0
42,2895.55,2897.85,2895.55,2897.85,55,0
43,2895.55,2895.55,2895.55,2895.55,1,0
44,2888,2888,2888,2888,649,0
45,2890.1,2890.1,2890,2890,172,0
50,2890,2890,2890,2890,100,0
51,2890,2890,2890,2890,37,0
52,2890,2890,2890,2890,10,0
53,2899.75,2900,2894.8,2894.8,101,0
54,2899.75,2899.75,2899.75,2899.75,1,0
55,2893,2893.35,2893,2893.35,125,0
57,2893,2893,2893,2893,5,0
60,2897.3,2897.3,2893,2893,11,0
61,2894.2,2899.45,2894.2,2899.45,45,0
62,2894.2,2894.2,2894.2,2894.2,1,0
63,2894.2,2894.2,2894.2,2894.2,1,0
64,2899.35,2899.35,2899.35,2899.35,2,0
65,2899,2899,2899,2899,10,0
67,2893.75,2893.75,2893.75,2893.75,25,0
70,2899,2899,2899,2899,10,0
71,2899,2899,2899,2899,169,0
72,2899,2899,2899,2899,2,0
73,2898.95,2898.95,2898.95,2898.95,11,0
74,2900,2900,2900,2900,41,0
75,2900,2900,2900,2900,1,0
77,2900,2900,2900,2900,1,0
78,2900,2900,2900,2900,4,0
79,2900,2900,2900,2900,1,0
80,2901.5,2901.5,2900,2900,116,0
81,2902,2902,2900,2901.5,16,0
82,2902,2902,2902,2902,1,0
83,2900,2900,2900,2900,50,0
