EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,646,646,642.5,642.5,6075,0
1,646.8,647.7,646.8,647,5462,0
2,651,651,647,647.8,5698,0
3,647,649.9,647,648.8,3252,0
4,645.25,647.5,644.45,647,12851,0
5,647.85,648,645.9,645.9,21682,0
6,647.4,647.85,647,647.85,9564,0
7,645.6,647.45,645.6,647.45,4835,0
8,646.95,646.95,645.2,645.35,9973,0
9,645.85,647.5,645.6,646.95,2505,0
10,645.6,646,645,645.6,4244,0
11,645.5,645.6,645,645.2,1185,0
12,645.5,645.5,645.45,645.45,279,0
13,645.15,645.5,645.1,645.5,1135,0
14,645,645.1,644.8,645,1990,0
15,644.95,645.3,644.65,645,1071,0
16,644.5,645,644.35,644.95,571,0
17,644.5,644.5,644.4,644.5,670,0
18,644.25,644.5,644.25,644.35,991,0
19,644.85,644.9,644.25,644.5,589,0
20,644,644.9,643.55,644.9,660,0
21,644,644,643.85,644,541,0
22,644,644,643.8,643.9,99,0
23,643.95,643.95,643.8,643.95,313,0
24,645,645,643.8,643.8,1597,0
25,644.65,645,644.35,644.95,2664,0
26,644.8,644.8,644,644.65,729,0
27,644.95,644.95,644.65,644.8,531,0
28,644.25,645,643.3,644.9,1435,0
29,645,645,644.5,644.8,1495,0
30,644.85,644.9,644,644.9,1184,0
31,644.75,644.85,644.65,644.85,525,0
32,644.85,644.85,644.75,644.75,1042,0
33,644.85,644.85,644.65,644.65,214,0
34,644.85,644.85,644.75,644.75,213,0
35,644.75,644.75,644.65,644.75,311,0
36,644.75,644.75,644.6,644.6,71,0
37,644.9,645,644.55,644.6,840,0
38,644.7,645,644.7,644.95,3080,0
39,645,645,644.35,644.65,1089,0
40,645,645,644.9,644.9,259,0
41,645,645,644.95,644.95,6777,0
42,645,645,644.95,645,3062,0
43,645,645,644.95,644.95,538,0
44,645,645,644.95,644.95,1545,0
45,645,645,644.95,644.95,437,0
46,645,645,644.95,645,173,0
47,645,645,644.85,644.95,368,0
48,644.85,645,644.35,645,863,0
49,644.6,644.85,644.1,644.1,1462,0
50,644.55,644.6,644.15,644.6,441,0
51,644.65,644.7,644.15,644.6,243,0
52,644.65,644.65,644.5,644.65,252,0
53,644.45,644.65,644.05,644.65,392,0
54,643.7,644.45,643.5,644.4,1302,0
55,643.7,643.7,643.6,643.7,186,0
56,644.9,644.95,643.6,643.6,12132,0
57,645,645,644.9,644.95,10471,0
58,645,645,644.9,645,8172,0
59,645,645,644.9,644.95,3143,0
60,645,645,644.8,645,590,0
61,645,645.25,644.95,645,2408,0
62,645.5,645.5,644.85,645,4756,0
63,646.7,647,645.65,645.65,6346,0
64,646.65,646.75,646.55,646.6,375,0
65,646.65,646.75,646.15,646.7,719,0
66,646.4,646.7,646.4,646.7,511,0
67,646.45,646.45,646.1,646.4,359,0
68,646.45,646.45,646.45,646.45,170,0
69,646.7,646.75,646.4,646.45,324,0
70,647.45,647.45,646.75,646.75,438,0
71,646.8,648,646.75,647.3,3391,0
72,647,647.5,646.95,646.95,1808,0
73,646.7,647,646.6,646.85,2057,0
74,646.1,646.75,646.1,646.7,838,0
75,644.55,646,644.05,645.95,1409,0
76,644.15,644.7,643.95,644.35,2957,0
77,644.95,645,643.5,643.5,6741,0
78,644.35,645,644.05,645,1510,0
79,645,645,644.9,644.9,3640,0
80,645,645,644.45,644.5,4029,0
81,644.55,645,644.55,645,188,0
82,644.55,644.55,644.55,644.55,8,0
83,644.7,645,644,645,2221,0
84,644.8,644.95,644.45,644.6,265,0
85,644.95,645,644.1,644.55,897,0
86,644.95,644.95,644.8,644.9,74,0
87,644.95,644.95,644.8,644.8,142,0
88,644.9,644.95,644.9,644.95,116,0
89,644.95,644.95,644.8,644.8,405,0
90,644.9,644.95,644.8,644.95,46,0
91,644.9,644.9,644.8,644.8,111,0
92,644.3,644.8,644.05,644.8,1528,0
93,644.45,644.85,644,644.85,557,0
94,644.1,644.1,643.75,643.75,7,0
95,644,644.25,644,644.25,15,0
96,644.65,644.85,643.7,643.75,846,0
97,644.75,644.8,644.55,644.55,161,0
98,644.75,644.75,644.7,644.7,25,0
100,644.75,644.75,644.7,644.7,45,0
101,645,645,645,645,1262,0
102,645,645,645,645,22,0
103,645,645,645,645,377,0
104,646.45,646.45,645,645,1403,0
105,648.45,648.8,646.45,646.45,9026,0
106,648.5,648.8,647.95,648.15,4615,0
107,647.65,648.65,647.65,648.5,1574,0
108,647.45,647.5,647.35,647.5,1899,0
109,647.9,648,647.35,647.35,582,0
110,648.1,648.45,647.7,647.7,1497,0
111,648.8,648.8,647.65,648.8,6679,0
112,648.8,648.8,648.65,648.8,1645,0
113,649.5,649.8,648.65,648.8,4270,0
114,649.2,649.55,648.75,649.5,1846,0
115,648.55,650,648.55,649.5,9794,0
116,649,649,648.6,648.9,110,0
117,648.85,649.05,648.5,649.05,15,0
