EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971900,579,579,579,579,2016,0
1,578.05,579.25,577.4,578.5,18790,0
2,578.35,578.35,577.5,578,16215,0
3,578.05,578.6,577.9,578.15,12046,0
4,579.9,580.75,577.9,578.4,17122,0
5,577.9,580.15,577.25,580.05,13083,0
6,578.3,578.5,577.3,577.95,5855,0
7,577.4,578.15,577,578.15,2896,0
8,575.85,577.45,575.65,577,13153,0
9,575.9,575.9,574.5,575.65,8568,0
10,576.55,576.85,575.2,575.7,8283,0
11,575.7,577.3,575.7,576.55,13696,0
12,574.6,575.95,574.6,575.5,8636,0
13,574.1,574.95,573.75,574.6,5602,0
14,575.25,575.45,574.1,574.1,4162,0
15,574.05,575.45,574.05,575.25,3330,0
16,574.2,574.55,573.75,574.15,5975,0
17,574.15,574.7,573.9,574.2,4509,0
18,574.55,574.95,574.25,574.45,3584,0
19,575.1,575.3,574.75,574.85,2897,0
20,574.7,575.4,574.35,575.2,5495,0
21,574.8,575.45,574.6,574.8,1834,0
22,572.85,574.55,572.8,574.55,9951,0
23,573.25,573.6,572.7,572.8,6976,0
24,572,573.5,572,573.25,9686,0
25,571.8,572.2,571.6,572.1,5510,0
26,571.05,572,571.05,571.8,7618,0
27,570.8,571.05,570.25,571.05,7887,0
28,571.9,572.75,570.8,570.8,6081,0
29,571.35,572.05,571.25,572.05,2264,0
30,570.8,571.65,570.65,571.2,2738,0
31,569.2,571.7,569.1,571.5,15018,0
32,569.35,570.3,569.25,570.15,4320,0
33,570.3,570.65,569.35,569.35,2864,0
34,570.4,570.7,570,570,2467,0
35,570.05,570.75,570.05,570.55,2858,0
36,571,571.45,570.2,570.35,3196,0
37,570.5,570.85,570.05,570.6,6161,0
38,571.85,572.35,570.5,570.65,5107,0
39,571.55,572.35,571.55,572,1627,0
40,571.25,571.8,571.25,571.8,2722,0
41,571,571.2,569.8,571.2,4358,0
42,571.05,571.25,570.65,570.65,2392,0
43,571,571,570.65,570.95,3296,0
44,571.55,571.55,571.05,571.05,564,0
45,572,572.8,571.5,571.85,4849,0
46,572.7,573,572.15,572.15,1803,0
47,572.75,572.85,572.5,572.5,1105,0
48,573.6,573.95,572.85,572.85,4682,0
49,573.4,573.8,572.6,573.6,1359,0
50,573.5,573.55,572.95,573.55,2527,0
51,573.45,574.05,573.4,573.6,2069,0
52,573.95,573.95,573.45,573.6,2032,0
53,573.35,573.85,573.35,573.75,2456,0
54,573.45,573.6,573.4,573.5,630,0
55,573.8,573.95,573.8,573.8,1825,0
56,573.7,573.95,573.65,573.85,1358,0
57,573.6,573.9,573.25,573.7,1307,0
58,575.1,575.1,573.4,573.4,5781,0
59,574.7,576.15,574.7,575.15,5322,0
60,575.05,575.1,574.25,574.9,956,0
61,575.65,575.7,575.05,575.05,3269,0
62,575.95,576.45,575.6,575.6,7722,0
63,576.7,577,576,576.15,5324,0
64,576.05,576.75,576.05,576.75,2377,0
65,576.1,576.5,576.05,576.1,2071,0
66,575.9,576.1,575.6,576.1,3858,0
67,575.2,575.85,575,575.85,4910,0
68,575,575.2,574.7,575.2,2692,0
69,574.85,575,574.6,574.65,1739,0
70,575.35,575.35,574.75,574.8,2055,0
71,575.25,575.5,575,575.4,2419,0
72,574.15,575.3,574.15,575.3,1379,0
73,574.4,574.5,574.2,574.2,336,0
74,575.5,575.5,574.35,574.35,931,0
75,575.75,576.05,575.05,575.75,8896,0
76,576.2,576.5,575.85,575.85,2203,0
77,575.6,576.35,575.55,576.3,1839,0
78,576.25,576.25,575.6,575.6,767,0
79,577.4,577.4,576.2,576.25,3917,0
80,577.9,578.75,577.4,577.4,12457,0
81,577.3,578.35,577,577.9,8653,0
82,576.05,577.4,576.05,577.25,2661,0
83,576.7,577.2,576,576.05,2014,0
84,576.2,576.9,576.2,576.9,1810,0
85,576.5,576.65,576,576.2,1536,0
86,577.45,577.5,576.8,577.05,7245,0
87,577.5,578,577.45,577.45,4119,0
88,577.1,577.5,577,577.45,1259,0
89,577.3,577.3,577,577.15,4940,0
90,578.45,578.45,577.3,577.6,4625,0
91,577.55,578.5,577.35,578.5,6639,0
92,577,577.75,577,577.55,3339,0
93,577.2,577.25,576.95,577.2,2257,0
94,577.2,577.3,577.2,577.2,660,0
95,577.55,577.55,576.8,577.25,1906,0
96,577.8,577.8,577.5,577.5,696,0
97,577.4,577.7,577.2,577.7,2623,0
98,576.9,577,576.5,577,848,0
99,577.8,577.9,576.85,576.9,2696,0
100,577.75,577.75,577.25,577.5,1605,0
101,577.8,578,577.35,577.7,2095,0
102,577.45,578,577.45,577.85,2726,0
103,576.8,577.55,576.8,577.25,1814,0
104,577.65,577.65,576.75,576.8,1413,0
105,577.3,577.95,577,577.95,395,0
106,577.05,577.75,577.05,577.25,770,0
107,577,577.5,576.6,577.5,1725,0
