EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,458.65,459,455.1,457.8,10481,0
1,463.85,464.9,458.95,458.95,16366,0
2,463,466.25,462.35,465,21284,0
3,460.05,463.5,460.05,463.5,8893,0
4,460.45,461.5,460.2,461.5,5926,0
5,462.15,462.2,459,460.05,4906,0
6,462.4,462.5,461.5,462.05,4113,0
7,463,464.95,462.25,462.4,6801,0
8,463.95,464.45,463.3,463.45,3715,0
9,463.45,464.25,462.15,463.65,7010,0
10,463.75,463.85,462,463,4105,0
11,463.6,463.8,463.1,463.15,2092,0
12,463.6,463.7,463.1,463.2,2702,0
13,462.3,463.75,462,463.6,3865,0
14,462.05,462.85,461.5,462,1450,0
15,460.45,462.1,460.3,461.85,2129,0
16,460.1,460.95,460.1,460.95,6310,0
17,459.5,461,459.5,460.05,5541,0
18,458.5,459.25,458,459.15,5316,0
19,458.45,458.45,456.6,458,7141,0
20,458.75,458.9,458,458,2748,0
21,459,459.9,458.95,459,2375,0
22,459.85,460,459,459,3634,0
23,459.6,460.8,459.55,460.05,3800,0
24,459.6,459.6,459.2,459.55,1076,0
25,459.55,460.1,459.25,459.3,481,0
26,460.8,461,460,460,955,0
27,461,461,460.6,460.8,3101,0
28,462,462.95,461,461,3718,0
29,462.1,463,462,462.5,2651,0
30,461.95,462,461,461.15,2948,0
31,460.75,461.8,460.65,461.8,1531,0
32,460.05,461,460,460.75,2755,0
33,460.3,461.2,460,461,1111,0
34,460.5,460.9,460.25,460.9,776,0
35,461.3,461.75,460.7,461.75,217,0
36,460.5,461.7,460.35,461.3,1618,0
37,460.7,460.8,460,460.55,1312,0
38,460,460.65,460,460.2,301,0
39,459.55,460,458.5,460,2105,0
40,458.95,459.55,458.95,459.55,388,0
41,458.35,459.35,458.15,459,1561,0
42,459.15,460.2,458.9,459.5,4548,0
43,459.8,460,459,459.1,1141,0
44,459.6,460.2,459.55,459.55,794,0
45,459.15,460.15,459.15,459.55,1792,0
46,458.7,459.4,458.7,459.15,1571,0
47,458.7,459,458.4,458.7,543,0
48,458.75,458.9,458.3,458.8,1103,0
49,458.1,459,458.1,458.95,1144,0
50,458.4,459,458.1,458.4,992,0
51,458.15,458.55,457.45,458.1,3152,0
52,457.6,458.5,457.6,457.85,563,0
53,457.75,458,457.3,458,593,0
54,455.4,457.7,455.1,457.7,6529,0
55,456.8,456.8,455.1,455.3,7259,0
56,458.95,458.95,456.2,456.65,4343,0
57,457,458.2,456.7,458.2,1985,0
58,456.7,456.7,456.45,456.45,171,0
59,456.95,457.05,456.3,456.7,1625,0
60,458.5,458.5,456.45,456.45,1736,0
61,457.85,459,457.15,458.6,1341,0
62,458.4,458.6,458,458.1,709,0
63,458.4,459,458.4,458.5,672,0
64,458.5,458.5,458.4,458.45,488,0
65,457.3,458.8,457.2,458.55,1427,0
66,457.8,457.8,457.25,457.3,247,0
67,457.4,457.95,457.2,457.75,860,0
68,458,458,457.45,457.45,510,0
69,457.4,458.4,457.4,458,1791,0
70,457.4,458,457.25,457.25,357,0
71,457.95,458,457.45,457.65,1146,0
72,457.45,458,457.45,457.45,693,0
73,457.5,457.95,457,457.45,828,0
74,457.2,458,457.2,457.8,595,0
75,458,458,457.45,457.95,751,0
76,457.5,458,457.45,457.5,390,0
77,457.25,458,457.2,458,553,0
78,457.75,457.9,457.2,457.2,588,0
79,458.25,458.8,457.5,457.5,3679,0
80,458.55,458.55,458.35,458.35,1857,0
81,458.55,458.75,458.55,458.75,85,0
82,458.8,458.8,458.6,458.75,132,0
83,458.8,459.9,458.65,459.9,1400,0
84,459.35,459.4,458.85,459,449,0
85,459.5,459.9,459.35,459.4,756,0
86,459.2,459.5,459.05,459.5,313,0
87,458.75,459.05,458.55,459.05,203,0
88,458.95,458.95,458.55,458.55,310,0
89,458.75,459,458.7,458.75,112,0
90,458.75,459,458.7,458.7,135,0
91,459.3,459.35,458.5,458.75,1014,0
92,459.35,459.35,459.05,459.2,184,0
93,459.4,459.5,459.35,459.35,317,0
94,458.75,459.5,458.75,459.5,203,0
95,458.85,458.85,458.85,458.85,12,0
96,459.2,459.2,459.15,459.15,90,0
97,458.9,459.55,458.9,459.55,396,0
98,458.7,459.5,457.9,459.25,1487,0
99,458.3,458.9,458.3,458.9,43,0
100,458.35,459,458.35,459,271,0
101,458.1,458.95,458.1,458.35,637,0
102,458.4,458.4,458,458,241,0
103,458.85,458.85,458.3,458.3,30,0
104,459.05,459.15,459.05,459.05,48,0
105,458.8,459.05,458.8,458.95,400,0
106,458.85,458.85,458.4,458.4,41,0
107,458.25,458.85,458.25,458.8,119,0
108,458.8,458.85,458.35,458.35,97,0
109,458.75,458.85,458.75,458.85,52,0
110,458.8,458.8,458.75,458.75,101,0
111,458.5,458.75,458.5,458.75,74,0
112,458.3,458.5,458.3,458.5,594,0
