EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530848760,513.45,513.8,509.5,511.6,35297,0
1,512.6,513.45,512.5,513.45,19726,0
2,512,512.85,511.95,512.8,7469,0
3,512.3,512.55,511.75,512,7031,0
4,513.7,513.7,512.3,512.3,13543,0
5,513.1,513.95,512.9,513.95,20095,0
6,513,513.3,512.75,513.15,6553,0
7,513,513.2,512.8,513,8097,0
8,513.8,513.85,512.65,513.05,12235,0
9,513.45,513.8,513.2,513.8,7188,0
10,513.2,513.45,513.2,513.2,3955,0
11,512.8,513.2,512.8,513.2,5840,0
12,512.8,513.35,512.65,512.8,5969,0
13,513,513.25,512.95,513.25,4519,0
14,513.45,513.5,513.1,513.1,6282,0
15,513.25,513.5,513.2,513.5,6934,0
16,513.25,513.4,513.2,513.25,4005,0
17,513.3,513.35,513.2,513.2,3967,0
18,513.45,513.55,513.05,513.35,4946,0
19,513.65,513.8,513.45,513.5,5171,0
20,513.8,513.95,513.65,513.65,3523,0
21,514.55,514.55,513.8,513.9,12741,0
22,515,515.2,514.35,514.6,19206,0
23,514.7,515.2,514.55,515.2,12094,0
24,514.1,514.75,514.1,514.75,4410,0
25,514.2,514.25,514,514.25,8028,0
26,513.95,514.2,513.6,514.2,7780,0
27,513.25,514,513.25,513.75,10040,0
28,513.15,514,513.15,513.9,4088,0
29,513.25,513.55,513.2,513.35,2528,0
30,513.45,513.5,513,513.3,12081,0
31,513.2,513.6,513.2,513.4,5766,0
32,513.15,513.3,513.1,513.15,4268,0
33,513,513.25,513,513.15,5121,0
34,513,513.05,512.6,513,12147,0
35,513.5,513.5,513.15,513.15,8254,0
36,513.05,513.45,513,513.45,5122,0
37,513.6,513.85,513.05,513.05,8133,0
38,513.9,513.9,513.6,513.6,5539,0
39,513.55,513.85,513.5,513.65,6806,0
40,513.85,514.1,513.35,513.85,11993,0
41,513.75,513.8,513.5,513.7,4385,0
42,513.45,513.75,513.4,513.55,4267,0
43,513.1,513.65,513.05,513.65,11963,0
44,512.6,513.4,512.55,513.1,19242,0
45,512.95,512.95,512.6,512.7,6840,0
46,513.25,513.45,512.8,512.95,4225,0
47,513.2,513.5,513.15,513.5,5082,0
48,513.9,513.9,513.45,513.45,3779,0
49,513.75,513.9,513.7,513.8,4334,0
50,514.05,514.5,513.8,513.8,11772,0
51,514,514.35,513.8,514.35,2783,0
52,514.4,514.8,514,514,6490,0
53,514.6,514.8,514.45,514.65,6860,0
54,514.5,514.8,514.4,514.6,3493,0
55,514.55,514.8,514.5,514.8,3425,0
56,514.3,514.65,514.05,514.45,5623,0
57,513.8,514.2,513.8,513.9,9457,0
58,514.55,514.75,513.75,514,9633,0
59,514.2,514.55,513.85,514.55,9381,0
60,514.2,514.3,513.6,513.95,9452,0
61,514.05,514.45,513.85,514.2,3288,0
62,514.5,514.5,514.05,514.05,3409,0
63,514.55,514.8,514.5,514.55,5263,0
64,514.6,514.9,514.55,514.8,9189,0
65,514.5,514.7,514.5,514.7,2537,0
66,515.5,515.95,514.5,514.5,46914,0
67,515.55,515.7,515.25,515.45,6809,0
68,515.15,515.6,515.1,515.5,4412,0
69,515.4,515.5,515.2,515.2,4095,0
70,515.25,515.5,515,515.35,8111,0
71,515.25,515.45,515.05,515.4,5371,0
72,514.85,515.25,514.7,515.25,3301,0
73,514.95,515.3,514.85,515.2,2948,0
74,514.95,515.2,514.7,515,2015,0
75,515.2,515.25,514.65,515,4978,0
76,515.95,515.95,515.5,515.5,15200,0
77,516.1,516.5,516,516,30110,0
78,516,516.5,516,516.2,11908,0
79,515.6,516,515.55,516,6174,0
80,516,516.05,515.55,515.75,6980,0
81,515.8,516,515.55,516,3724,0
82,515.85,516,515.55,515.85,3478,0
83,516.3,516.3,515.75,516,3865,0
84,516.4,516.85,516.3,516.35,12695,0
85,516.5,516.5,516.1,516.35,6013,0
86,516.15,516.5,516.15,516.35,5940,0
87,516.3,516.5,516,516.15,3129,0
88,516.05,516.3,515.75,516.05,5077,0
89,515.75,516.35,515.7,516.1,4363,0
90,515.5,515.9,515.3,515.7,5995,0
91,515.7,515.8,515.5,515.7,3868,0
92,515.45,515.8,515.2,515.7,11885,0
93,515.65,515.65,515.3,515.5,4084,0
94,515.65,515.65,515.5,515.6,5146,0
95,515.5,515.7,515.5,515.65,2662,0
96,515.6,515.7,515.5,515.55,3558,0
97,515.6,515.6,515.5,515.6,1528,0
98,515.4,515.6,515.25,515.6,2108,0
99,515.65,515.65,515.15,515.65,2743,0
100,515.4,515.65,515.4,515.65,1384,0
101,515.35,515.45,515,515.45,3649,0
102,515.65,515.65,515.35,515.35,2129,0
103,515.3,515.55,515.3,515.55,2065,0
104,515.2,515.5,515.05,515.4,1674,0
105,515.05,515.25,515,515.15,1852,0
106,515.25,515.45,515,515,5571,0
107,515,515.3,514.8,515,3275,0
