EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530848760,2981.35,2983,2950,2983,7912,0
1,2980.1,2990,2980,2982,9540,0
2,2983.9,2986.5,2975.85,2980.05,7925,0
3,2991.5,2994,2984.9,2984.9,10246,0
4,3002.95,3003.4,2993.35,2993.35,11255,0
5,2998.8,3007.6,2996,3002,20592,0
6,2993.05,2999.35,2993,2999.1,8523,0
7,2996.5,2998,2993.35,2993.5,2935,0
8,3002.95,3003.5,2997,2997,6126,0
9,3005,3009.4,3001.05,3001.8,25640,0
10,3010.25,3012.5,3007,3009.95,24251,0
11,3017.8,3018.5,3005.65,3007.05,20825,0
12,3020.1,3025.5,3017.7,3017.8,27759,0
13,3027,3027,3019.85,3020.4,48177,0
14,3023.65,3029,3022,3027,23546,0
15,3022.25,3024.7,3022,3023.65,19898,0
16,3021,3023,3020,3022.75,10701,0
17,3022.05,3024,3019,3021,7464,0
18,3026,3026,3021.25,3024,7233,0
19,3025,3027.55,3025,3026,7541,0
20,3026,3026.9,3022,3025,7587,0
21,3025,3026.9,3024,3026,10252,0
22,3024.8,3025.5,3023.3,3024.1,7478,0
23,3024.9,3025.55,3023.1,3024.8,7354,0
24,3024.9,3025.55,3023.1,3024.95,6747,0
25,3025.5,3025.5,3023.1,3023.15,4938,0
26,3023.1,3025.55,3023.1,3025.55,5278,0
27,3025,3025.9,3023.1,3025,2616,0
28,3025,3025.7,3024,3025.05,3410,0
29,3024.85,3026,3024.3,3025.5,4291,0
30,3023.3,3025,3021.25,3025,6687,0
31,3025.5,3025.5,3023.25,3024.8,4881,0
32,3025,3025.95,3024.95,3025.5,2488,0
33,3028.25,3028.6,3024.95,3025,4605,0
34,3026,3027.25,3025,3025.75,2335,0
35,3025.9,3026,3024.25,3026,3205,0
36,3024.25,3025.9,3024.25,3025.9,2575,0
37,3024.95,3025.5,3023.3,3024.35,3417,0
38,3024.9,3026.7,3023,3024.95,7704,0
39,3021,3026.2,3021,3025,6616,0
40,3024.6,3024.6,3020,3022.2,3019,0
41,3023,3024,3021.1,3024,2092,0
42,3020.55,3023.95,3020.55,3023,1636,0
43,3016.25,3021,3016.25,3021,5973,0
44,3015.85,3018.6,3011.2,3016.7,5628,0
45,3015,3017.55,3015,3016.95,2464,0
46,3016.8,3016.95,3015,3015,2463,0
47,3015.75,3016.1,3015.05,3016.1,2362,0
48,3015,3015.75,3015,3015.75,1665,0
49,3015.1,3017,3015,3015,1810,0
50,3016.05,3017.3,3015.45,3015.5,1168,0
51,3019.45,3019.45,3016,3016.05,4022,0
52,3019,3019.9,3019,3019,714,0
53,3017.05,3019,3017,3018.55,851,0
54,3015.05,3017.3,3015.05,3017.3,1256,0
55,3013.35,3015.6,3013,3015.2,2328,0
56,3009,3013.35,3007.5,3013,6030,0
57,3011.8,3012,3009,3009,2469,0
58,3012.95,3012.95,3009.8,3009.8,1156,0
59,3011,3015.85,3011,3012.95,1840,0
60,3010.6,3012.05,3010.6,3012,996,0
61,3010.2,3010.95,3010,3010.95,1962,0
62,3012.3,3012.45,3010.2,3010.3,1037,0
63,3010.75,3014.15,3010.65,3011.1,1013,0
64,3011,3012.95,3010.65,3012.3,815,0
65,3011,3014,3010.5,3011,1073,0
66,3010.8,3013,3010.5,3010.65,893,0
67,3011.4,3012.5,3010.85,3012.5,1542,0
68,3013.2,3013.2,3011,3011.25,834,0
69,3017.05,3020,3013.9,3013.9,3789,0
70,3018.55,3018.8,3015.8,3017.05,1698,0
71,3020,3021,3017.85,3018,5164,0
72,3020.6,3021.9,3020,3020,3275,0
73,3021,3021,3017.55,3020.25,3101,0
74,3022,3023,3020.4,3020.4,1845,0
75,3024.9,3024.9,3021.2,3021.95,3354,0
76,3025.95,3026.1,3024.85,3024.9,6511,0
77,3029.25,3030,3025.05,3026,14838,0
78,3040,3042.35,3030,3030,30097,0
79,3041.3,3044,3039.85,3040.1,16375,0
80,3046,3046,3041.35,3041.35,13042,0
81,3049.05,3050.95,3046,3046,21405,0
82,3044.15,3050,3043.7,3049,13472,0
83,3042,3045,3042,3044.15,5103,0
84,3044,3044,3042,3043.25,3179,0
85,3046.65,3046.65,3042.35,3043,4668,0
86,3049.05,3049.05,3045,3046,11346,0
87,3052.3,3052.6,3049,3050,11635,0
88,3050,3054.45,3050,3053,12783,0
89,3050,3051,3050,3051,12768,0
90,3050.6,3052,3049.1,3050,14431,0
91,3050,3050.5,3050,3050,2728,0
92,3045,3050.5,3045,3050,9346,0
93,3043.05,3047.45,3043,3046.05,4351,0
94,3048.95,3049,3043,3043.25,6536,0
95,3050,3050.9,3048,3048.1,8694,0
96,3049.05,3050.15,3048,3050,4908,0
97,3052.1,3052.1,3049.05,3049.05,2486,0
98,3057,3057.65,3051,3051,14140,0
99,3052.4,3057.25,3050.1,3057.25,6964,0
100,3051.45,3053.45,3050,3053.45,2522,0
