EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,404.6,405,404.6,404.6,104,0
1,404.85,405.5,404.85,405.5,80,0
5,404.8,404.8,404.8,404.8,1,0
6,404.3,404.3,403.6,403.6,159,0
7,404.1,404.9,404.05,404.9,244,0
8,404.1,404.1,404.1,404.1,2,0
9,405,405.05,404.75,404.75,516,0
10,404.9,405,404.9,405,52,0
11,404,404,404,404,79,0
12,403.95,403.95,403.95,403.95,10,0
13,403.8,403.8,403.4,403.8,53,0
15,405,405,403.8,403.8,367,0
16,404.5,404.8,404.5,404.8,71,0
17,403.55,404,403.55,404,50,0
18,403.45,403.5,403.45,403.5,13,0
19,403.4,403.4,403.4,403.4,25,0
20,403.35,403.4,403.35,403.4,91,0
21,403.35,403.35,403.35,403.35,10,0
22,403.25,403.25,403.25,403.25,5,0
23,403.25,403.25,403.25,403.25,10,0
31,403.4,403.4,403.4,403.4,10,0
34,403.2,403.25,403.2,403.25,25,0
35,403.35,403.35,403.3,403.3,180,0
36,403.25,403.4,403.25,403.4,145,0
37,403.25,403.25,403.2,403.25,93,0
39,403.75,404.3,403.25,403.25,151,0
40,403.85,403.85,403.75,403.75,87,0
41,403.75,404.45,403.5,403.9,160,0
42,402.5,403.15,402.5,403.15,172,0
43,402.4,402.45,402.35,402.35,83,0
44,402.5,402.5,402.5,402.5,114,0
45,402.5,403.35,402.5,402.9,243,0
46,402.5,402.5,402.1,402.1,55,0
47,402.45,402.45,402.1,402.1,65,0
51,402.4,402.4,402.4,402.4,13,0
52,402.25,402.4,402.25,402.4,12,0
53,402.3,402.3,402.3,402.3,13,0
54,402.3,402.3,402.3,402.3,3,0
55,402.5,403.5,402.5,403.5,383,0
56,402.5,402.5,402.1,402.1,19,0
58,402.5,402.5,402.5,402.5,26,0
60,402.5,402.5,402.5,402.5,9,0
61,402.15,402.5,402.15,402.5,14,0
62,402.3,402.5,402.3,402.5,13,0
63,402.1,402.1,402.1,402.1,16,0
64,402.9,402.9,402.3,402.3,13,0
65,402.05,402.9,402.05,402.9,201,0
67,402.1,403.5,402.05,402.8,223,0
68,402.05,402.05,402.05,402.05,20,0
69,402.6,402.6,402.6,402.6,9,0
70,402.65,402.65,402.65,402.65,15,0
71,402.65,402.65,402.65,402.65,12,0
72,402.65,402.65,402.65,402.65,7,0
73,402.65,402.65,402.65,402.65,19,0
74,402.7,402.7,402.7,402.7,14,0
75,402.45,402.7,402.25,402.7,17,0
76,402.7,402.7,402.7,402.7,8,0
77,402.55,402.7,402.4,402.7,38,0
78,402.05,402.55,402.05,402.2,24,0
79,402.55,402.55,402.05,402.55,32,0
80,402.55,402.55,402.55,402.55,8,0
81,402.55,402.55,402.55,402.55,9,0
82,402.55,402.55,402.55,402.55,7,0
83,402.55,402.55,402.55,402.55,10,0
84,402.55,402.55,402.55,402.55,7,0
85,402.55,402.55,402.55,402.55,11,0
86,402.5,402.5,402.5,402.5,7,0
87,402.5,402.5,402.5,402.5,30,0
88,402.7,402.7,402.7,402.7,10,0
89,402.6,402.6,402.5,402.6,37,0
90,402.5,402.6,402.5,402.6,129,0
91,402.6,402.6,402.6,402.6,19,0
92,402.6,402.6,402.6,402.6,7,0
93,402.6,402.6,402.6,402.6,11,0
94,402.6,402.6,402.6,402.6,4,0
95,402.8,402.8,402.8,402.8,3,0
96,402.75,402.75,402.75,402.75,9,0
97,402.75,402.75,402.75,402.75,10,0
98,402.95,402.95,402.75,402.75,69,0
99,402.8,402.8,402.8,402.8,9,0
100,402.8,402.8,402.8,402.8,8,0
101,402.55,402.8,402.25,402.8,33,0
102,402.55,402.8,402.55,402.8,10,0
103,402.8,402.8,402.8,402.8,7,0
104,402.8,402.95,402.8,402.8,17,0
105,402.45,402.9,402.45,402.9,19,0
106,402.25,402.6,402.25,402.6,10,0
107,402.6,402.9,402.25,402.75,52,0
108,402.25,402.8,402.25,402.8,7,0
109,402.75,402.75,402.75,402.75,8,0
110,402.75,402.75,402.75,402.75,9,0
111,402.95,402.95,402.75,402.75,12,0
112,402.9,402.95,402.9,402.95,16,0
113,402.95,402.95,402.85,402.85,36,0
114,402.95,402.95,402.95,402.95,9,0
115,402.9,402.95,402.9,402.95,40,0
116,403,403,402.3,402.55,140,0
117,404.15,404.2,403.2,403.2,235,0
118,404.2,404.2,404,404.2,430,0
120,404,404.2,404,404.2,151,0
121,403.4,403.4,403.4,403.4,10,0
122,403.25,403.75,403.25,403.75,20,0
123,403.75,403.75,403.75,403.75,3,0
124,403.6,403.75,403.6,403.75,80,0
125,403.6,403.6,403.6,403.6,7,0
126,403.25,403.6,403.15,403.6,117,0
127,403.4,403.4,403.4,403.4,30,0
128,403.6,403.6,403.6,403.6,9,0
129,403.8,403.9,403.55,403.55,213,0
130,403.9,403.9,403.9,403.9,7,0
131,403.9,403.9,403.9,403.9,10,0
