EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,555,557.05,554,554,12489,0
1,555,555,553.1,554.9,9290,0
2,556.8,556.8,554.25,555,5883,0
3,557,558.5,556.8,556.8,12192,0
4,557.5,557.95,556.5,556.5,5214,0
5,557.5,557.95,557.25,557.5,2883,0
6,557.5,557.65,556.7,557.65,6087,0
7,556,557.35,555.6,557.35,5010,0
8,555,556.5,555,555.55,1369,0
9,555.4,556,555,555,1797,0
10,552.9,556,552.15,556,5489,0
11,551.15,553,551.15,552.95,6336,0
12,551.8,552.4,551.35,551.35,4190,0
13,551.05,551.55,548.1,551.55,7849,0
14,552.1,552.5,551.2,551.5,8803,0
15,551.05,551.75,550.05,551.75,3092,0
16,552,553,551.7,552.05,10640,0
17,552.25,552.4,551.5,552,4308,0
18,552.05,552.2,551.5,552,7289,0
19,551.9,552.7,551.15,552.5,5487,0
20,551.45,551.9,551,551.9,2975,0
21,551.9,551.9,551,551,1136,0
22,551.45,551.9,550.55,551.7,2401,0
23,551.4,551.45,551,551.45,1644,0
24,551,551.45,550.6,551.05,983,0
25,551.45,551.45,550.2,551.15,4743,0
26,551.7,552,550.7,550.7,3934,0
27,552,552,551.7,551.7,1051,0
28,553.05,553.05,552,552.3,5901,0
29,553.5,553.9,552.55,553.5,2102,0
30,553.95,554,553.15,553.15,3429,0
31,554.75,555.05,554,554,6167,0
32,554.95,555.4,554.4,554.9,4100,0
33,553.7,554.95,553.7,554.95,1178,0
34,551.95,553.7,551.7,553.7,3581,0
35,551.55,552.25,551.55,552,1131,0
36,553,553,551.95,552,2214,0
37,553.35,553.45,552.75,553,631,0
38,552.5,553.5,552.3,553.5,1216,0
39,552.95,553,552.15,552.5,939,0
40,553,553,552.5,553,1158,0
41,553.1,553.5,552.95,552.95,992,0
42,553.45,553.65,553.1,553.1,305,0
43,553.2,553.8,553.2,553.45,221,0
44,553.25,553.9,553.25,553.45,1001,0
45,553,553.4,553,553.35,610,0
46,552.75,553.35,552.6,553.1,1791,0
47,552.6,553.5,552.55,553.5,1057,0
48,552.4,552.75,552,552.5,1779,0
49,554,554,552.4,552.4,3800,0
50,554,554.15,553.7,554,815,0
51,556.4,556.55,554.05,554.05,14148,0
52,555.05,556,554.65,555.95,2692,0
53,555.05,555.75,554.85,554.85,1979,0
54,554.95,555.55,554.5,555.55,1973,0
55,554.55,554.95,554.5,554.5,851,0
56,554.9,554.9,554.55,554.55,1649,0
57,554,554.35,554,554.3,1119,0
58,554.4,554.5,554.25,554.45,781,0
59,554,554.65,554,554.4,1410,0
60,554.3,554.45,553.65,554,860,0
61,554.65,554.65,554.3,554.3,1260,0
62,557.65,557.9,554.6,554.6,6752,0
63,556.4,557.8,556.2,557,3539,0
64,560.5,562.95,556.8,556.8,29051,0
65,563,564,559.8,560.5,16003,0
66,563.8,564.9,562.3,562.4,18564,0
67,563.3,564.35,562.5,563.8,9664,0
68,566,567.05,563,563,26585,0
69,566.9,567.9,565.5,565.9,15303,0
70,566.4,568,565.3,567.4,10135,0
71,564.5,566.4,562.65,565.95,8930,0
72,564.7,564.75,563.2,564.5,4975,0
73,567.5,567.8,564.55,565,9792,0
74,566.1,567.5,565,567.5,3121,0
75,566.7,567.2,566.4,566.4,5685,0
76,566.3,566.9,565.5,566.7,5004,0
77,565.85,566.75,565.85,566.3,2391,0
78,565.4,566.35,565.1,565.8,5217,0
79,565.4,565.9,565.1,565.1,1885,0
80,566,566.7,565.4,565.4,3350,0
81,565.75,566.2,565.5,566,1552,0
82,565.75,565.75,565.55,565.55,924,0
83,566,566,565.1,565.75,3174,0
