EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,6729.95,6730,6631.85,6631.85,2618,0
1,6760.05,6760.05,6713.9,6724.15,6571,0
2,6766.8,6770,6740.1,6767.8,4112,0
3,6793.2,6795.65,6766.15,6772.85,8025,0
4,6785.2,6795,6765.15,6792.8,6039,0
5,6773.9,6787.85,6771.45,6787.85,3010,0
6,6787.9,6789,6773,6782.65,4735,0
7,6782,6786.3,6770,6785,2112,0
8,6783.7,6817.7,6775.95,6780,7933,0
9,6816.65,6822.2,6785.6,6791.35,5551,0
10,6825,6828,6815.2,6817.65,6576,0
11,6815,6830,6804.5,6827.55,6140,0
12,6797.4,6815.7,6792.7,6815.7,4465,0
13,6811,6811,6793,6801,4893,0
14,6811.85,6821.15,6807.3,6807.3,3193,0
15,6810.65,6817.25,6805.2,6814.25,1936,0
16,6792.95,6810,6791,6808.95,5375,0
17,6770,6797.5,6770,6791,5848,0
18,6766.35,6779.9,6766.35,6770,2971,0
19,6751.45,6770.3,6742.95,6766.35,4116,0
20,6738.65,6753,6735,6750.35,5510,0
21,6722,6735,6710.4,6732.4,6189,0
22,6717.55,6730,6717.55,6722,3644,0
23,6745.7,6745.7,6713.5,6717.55,2623,0
24,6760,6760,6738.85,6741.8,3782,0
25,6766.65,6782.95,6759.2,6760,4630,0
26,6750,6766.8,6750,6766,1565,0
27,6750,6750,6730,6750,1567,0
28,6775,6775,6749.5,6755,1998,0
29,6765.45,6772,6752.15,6772,1112,0
30,6767.95,6767.95,6751.8,6764.4,1016,0
31,6751,6765,6751,6765,1012,0
32,6748.15,6755,6747.5,6751.1,1463,0
33,6737.8,6755,6737.8,6748.9,1295,0
34,6754.15,6755,6736,6736,1740,0
35,6753,6755,6750.4,6750.4,369,0
36,6745,6752.8,6741,6752.8,452,0
37,6754.95,6758.95,6742,6742,1132,0
38,6757.7,6760,6752.95,6760,481,0
39,6773.9,6775.3,6756.75,6757,1798,0
40,6769.75,6772.7,6760,6769.4,1005,0
41,6770,6774,6765,6774,1212,0
42,6762,6770,6760,6765.8,433,0
43,6772,6774,6760.5,6762,1065,0
44,6771,6772.9,6765.45,6768.3,757,0
45,6773.8,6773.8,6765,6766,1239,0
46,6793.3,6795.75,6777.25,6777.9,3151,0
47,6795,6797,6782.8,6793.4,1195,0
48,6779.4,6794,6778,6794,745,0
49,6779.55,6779.95,6772.95,6779.95,293,0
50,6780,6780,6775.05,6778.05,162,0
51,6778,6779.9,6775,6779.9,347,0
52,6789.25,6789.5,6778,6779,560,0
53,6786.7,6790,6781.8,6789.4,361,0
54,6791.45,6794.95,6785.8,6786.7,2435,0
55,6786.6,6793.95,6786.6,6793.95,706,0
56,6784.5,6795,6781.9,6787,809,0
57,6785,6790,6781.75,6781.95,493,0
58,6785,6785,6782,6785,355,0
59,6779,6790.95,6777.3,6784,1576,0
60,6778.9,6780,6775,6779,935,0
61,6789.65,6789.65,6776,6779,534,0
62,6790.3,6790.3,6784,6784,507,0
63,6779.1,6789.1,6774.05,6789.1,967,0
64,6776.7,6780.05,6774,6780.05,377,0
65,6775.05,6778,6775,6776.7,445,0
66,6777,6780,6773,6777,839,0
67,6779,6779,6774.55,6777,562,0
68,6779,6779.7,6775.35,6775.35,218,0
69,6786.4,6787,6780,6780,507,0
70,6781.1,6785.25,6781.1,6783.95,335,0
71,6785.9,6785.9,6779,6781.1,173,0
72,6786.7,6786.7,6780,6785.9,180,0
73,6784.85,6787.6,6780.05,6785.25,220,0
74,6782,6787.6,6781.1,6782.1,281,0
75,6784,6784,6780,6782.3,192,0
76,6775,6784.75,6773.95,6784,488,0
77,6778.3,6778.45,6775,6778.45,29,0
78,6778,6778,6773.8,6775.6,272,0
79,6780.2,6784,6775.35,6775.35,115,0
80,6788.55,6791.85,6778.3,6780.2,524,0
81,6790,6793,6786.55,6788.6,460,0
82,6790,6791,6786,6790.9,803,0
83,6792.5,6793,6785.95,6785.95,336,0
