EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490300,6.55,6.55,6.55,6.55,500,0
1,6.6,6.65,6.5,6.6,60107,0
2,6.5,6.6,6.5,6.6,39692,0
3,6.55,6.55,6.5,6.55,3500,0
4,6.55,6.55,6.5,6.55,7510,0
5,6.55,6.55,6.5,6.5,3476,0
6,6.6,6.6,6.55,6.55,12185,0
7,6.55,6.6,6.55,6.6,2403,0
8,6.6,6.6,6.6,6.6,8219,0
9,6.55,6.6,6.55,6.6,6001,0
10,6.6,6.6,6.55,6.55,4708,0
11,6.6,6.6,6.55,6.55,7400,0
12,6.6,6.65,6.55,6.6,4817,0
13,6.65,6.65,6.65,6.65,21398,0
14,6.65,6.7,6.65,6.65,40697,0
15,6.75,6.75,6.65,6.65,10222,0
16,6.7,6.75,6.7,6.75,32302,0
17,6.7,6.7,6.65,6.7,11324,0
18,6.7,6.7,6.7,6.7,5127,0
19,6.7,6.7,6.65,6.7,802,0
20,6.7,6.7,6.7,6.7,181,0
21,6.65,6.65,6.65,6.65,51587,0
22,6.6,6.6,6.55,6.6,18167,0
23,6.6,6.6,6.55,6.55,12595,0
24,6.65,6.65,6.6,6.6,2749,0
25,6.65,6.65,6.6,6.6,1702,0
26,6.65,6.65,6.6,6.65,157,0
27,6.65,6.65,6.6,6.6,5518,0
28,6.65,6.65,6.6,6.6,17916,0
29,6.65,6.65,6.65,6.65,6534,0
30,6.65,6.65,6.65,6.65,2550,0
31,6.65,6.65,6.65,6.65,100,0
32,6.65,6.65,6.65,6.65,102,0
33,6.65,6.65,6.6,6.6,1013,0
34,6.65,6.65,6.6,6.65,6400,0
35,6.65,6.65,6.6,6.6,8584,0
36,6.65,6.65,6.65,6.65,100,0
37,6.6,6.65,6.6,6.65,800,0
38,6.6,6.65,6.6,6.65,895,0
39,6.65,6.65,6.65,6.65,1660,0
40,6.55,6.6,6.55,6.6,30120,0
41,6.6,6.6,6.6,6.6,4218,0
43,6.55,6.6,6.55,6.55,27464,0
44,6.55,6.55,6.55,6.55,600,0
45,6.55,6.55,6.55,6.55,120,0
46,6.55,6.6,6.55,6.6,23578,0
47,6.55,6.6,6.55,6.6,201,0
48,6.6,6.6,6.6,6.6,5,0
49,6.6,6.6,6.55,6.55,1003,0
50,6.7,6.7,6.55,6.55,35061,0
51,6.65,6.7,6.65,6.7,34967,0
52,6.65,6.7,6.65,6.65,32468,0
53,6.75,6.8,6.7,6.7,148892,0
54,6.75,6.8,6.65,6.75,23921,0
55,6.7,6.8,6.7,6.75,12622,0
56,6.75,6.8,6.7,6.7,45541,0
57,6.75,6.8,6.7,6.8,20368,0
58,6.7,6.75,6.7,6.75,5067,0
59,6.85,6.85,6.75,6.8,91129,0
60,6.85,6.85,6.8,6.8,42574,0
61,6.8,6.85,6.8,6.85,29158,0
62,6.8,6.85,6.8,6.85,20638,0
63,6.75,6.8,6.75,6.8,10306,0
64,6.75,6.8,6.7,6.8,42696,0
65,6.75,6.75,6.7,6.7,15103,0
66,6.7,6.75,6.7,6.75,14891,0
67,6.75,6.75,6.75,6.75,1000,0
68,6.75,6.75,6.65,6.7,30062,0
69,6.7,6.75,6.65,6.75,5387,0
70,6.75,6.75,6.75,6.75,4038,0
71,6.65,6.7,6.65,6.7,17474,0
72,6.65,6.65,6.65,6.65,350,0
73,6.7,6.7,6.65,6.7,10975,0
74,6.7,6.7,6.7,6.7,1125,0
75,6.7,6.7,6.65,6.7,1775,0
76,6.7,6.75,6.7,6.7,8163,0
77,6.7,6.7,6.65,6.65,710,0
78,6.65,6.7,6.65,6.7,101,0
79,6.65,6.65,6.65,6.65,3000,0
80,6.65,6.7,6.65,6.65,4225,0
81,6.65,6.7,6.65,6.7,10361,0
82,6.7,6.7,6.7,6.7,1945,0
83,6.75,6.75,6.7,6.75,1142,0
84,6.65,6.65,6.65,6.65,11701,0
85,6.7,6.7,6.7,6.7,1001,0
86,6.65,6.7,6.65,6.7,10541,0
87,6.7,6.7,6.7,6.7,3300,0
88,6.7,6.7,6.7,6.7,5579,0
89,6.7,6.7,6.7,6.7,520,0
90,6.7,6.7,6.7,6.7,1120,0
91,6.7,6.7,6.65,6.65,5401,0
92,6.7,6.7,6.7,6.7,25,0
93,6.7,6.7,6.65,6.7,3161,0
94,6.7,6.7,6.7,6.7,9,0
95,6.7,6.7,6.65,6.7,202,0
96,6.7,6.7,6.65,6.65,15539,0
97,6.65,6.65,6.65,6.65,1,0
98,6.65,6.65,6.65,6.65,6665,0
99,6.65,6.65,6.6,6.65,2979,0
100,6.65,6.65,6.65,6.65,6754,0
101,6.65,6.7,6.65,6.65,19866,0
102,6.7,6.7,6.65,6.65,24664,0
104,6.65,6.65,6.65,6.65,2147,0
105,6.7,6.7,6.65,6.65,21500,0
106,6.7,6.7,6.7,6.7,9445,0
