EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,2718.45,2721.95,2714.7,2714.9,20692,0
1,2713.95,2718.15,2702.85,2717,18565,0
2,2713,2714.25,2710.25,2714.2,7430,0
3,2714,2717,2712,2712.95,6426,0
4,2715,2715,2713.25,2714,3629,0
5,2717.9,2719.25,2714.9,2715.9,5649,0
6,2715.85,2717.65,2713.1,2717.05,6448,0
7,2713.75,2715.85,2710.15,2715.85,6092,0
8,2713.75,2715,2712.9,2713.75,3331,0
9,2714.35,2715,2713,2713.85,1891,0
10,2714,2715,2713,2714.35,3215,0
11,2713.5,2715,2713.4,2714.45,2770,0
12,2714,2714.9,2713.1,2714.4,1216,0
13,2711.85,2715,2710.45,2715,2270,0
14,2710.9,2711.5,2706.05,2711.1,4288,0
15,2711.05,2711.9,2709.1,2710.85,5125,0
16,2709,2711.2,2707.6,2710.15,1822,0
17,2708,2709,2707,2709,3765,0
18,2708,2709,2707,2708.25,3236,0
19,2712.65,2712.65,2708,2708,3834,0
20,2712,2714.95,2712,2712.05,5785,0
21,2711.65,2712.5,2710,2711.25,6255,0
22,2709.85,2712,2709.3,2712,2600,0
23,2710.75,2711.35,2709.45,2710,1460,0
24,2709,2711.35,2709,2711,1209,0
25,2706,2708.85,2705.1,2708.85,4183,0
26,2709,2709,2705,2705.25,1171,0
27,2711.6,2711.6,2707.6,2708.9,1388,0
28,2708.9,2712,2708.1,2711.55,3284,0
29,2710,2711.65,2708.25,2708.25,1242,0
30,2710.9,2711.05,2707.6,2710,842,0
31,2709,2711.9,2708.05,2710.9,1342,0
32,2711.55,2712,2708.95,2709,1035,0
33,2714.4,2716,2711.6,2711.6,6086,0
34,2716.05,2717,2714,2714,3384,0
35,2711.55,2717,2711.55,2717,3299,0
36,2716.95,2719,2712.4,2712.4,11831,0
37,2720.55,2721.3,2716,2717.15,11176,0
38,2722.2,2724,2718,2720.55,12542,0
39,2728.95,2729,2721.8,2722.2,24300,0
40,2731.45,2735.8,2729,2729.35,27793,0
41,2735,2735.05,2732.55,2733,11497,0
42,2739.55,2739.8,2733.5,2735,16669,0
43,2741.9,2742,2737.15,2737.85,12287,0
44,2746.2,2747.8,2740.65,2741.75,28136,0
45,2748,2749.5,2745.8,2745.8,20498,0
46,2748,2750,2744.2,2748,21318,0
47,2751.75,2752,2746.05,2747.95,19627,0
48,2753.85,2754.7,2751,2751.95,22908,0
49,2753.6,2757.3,2753,2753.7,24466,0
50,2756.05,2757.45,2754,2754,12876,0
51,2759.85,2760,2756.3,2757,17609,0
52,2754.9,2761.5,2754,2759.8,19224,0
53,2752,2755,2749.1,2754.25,12430,0
54,2759.5,2759.5,2752,2752.05,20030,0
55,2763,2763,2758.1,2758.55,21259,0
56,2761,2762,2759.75,2760.6,15390,0
57,2760,2762,2758,2761.5,8221,0
58,2762.4,2763.7,2760,2761,12200,0
59,2765.75,2766,2760.3,2762.95,22230,0
60,2762,2766.05,2761,2764.5,19159,0
61,2757.15,2763.25,2754.05,2762.85,13826,0
62,2757,2759.7,2757,2757,4746,0
63,2754.95,2757.5,2754,2757.5,4884,0
64,2751,2754.95,2750.55,2754.95,5401,0
65,2752.5,2753,2750.1,2751,2709,0
66,2756.75,2756.75,2752.5,2752.5,8002,0
67,2755,2757.9,2754.1,2756,4151,0
68,2755.85,2756,2754,2755.05,2104,0
69,2755,2755.3,2754.5,2755,2675,0
70,2756.1,2756.1,2754,2755.1,4489,0
71,2754.15,2756.1,2754.05,2756.1,1669,0
72,2756.9,2757,2754.1,2755.55,2118,0
73,2757,2757.6,2755.5,2756.95,1473,0
74,2757.1,2758,2757,2757.7,2651,0
75,2759.55,2759.55,2757.1,2758,2037,0
76,2759,2759.9,2758,2759.05,3238,0
77,2762,2762,2758.95,2758.95,7624,0
78,2764.05,2765.45,2761.85,2761.85,18785,0
79,2766,2766,2763,2763.65,4338,0
80,2766.75,2768.95,2764.95,2764.95,24948,0
81,2765.45,2767,2764.5,2765.35,5664,0
82,2766.85,2771.2,2766.15,2766.15,24681,0
83,2766.9,2768,2765.45,2768,3549,0
84,2767,2767.7,2765.6,2766.9,2127,0
85,2763.4,2768,2763,2767,6334,0
86,2763.4,2765,2762,2763,5047,0
87,2757.7,2763.4,2753.25,2763.4,9475,0
88,2761,2761.35,2758,2758.45,3894,0
89,2761.65,2762,2760,2761.05,2882,0
90,2761,2762,2761,2761.65,1398,0
91,2760.85,2761,2760,2761,1388,0
92,2763.9,2764,2760.6,2760.6,2571,0
93,2764.8,2764.9,2763.2,2763.9,1539,0
94,2766,2767,2763.5,2764.7,4164,0
95,2762.05,2766.95,2760.6,2766.7,3480,0
96,2761.3,2762.5,2760.5,2762.5,1299,0
97,2760.5,2763,2760.5,2761.3,2303,0
98,2759,2760.95,2757.2,2760.95,4431,0
