EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1191.4,1197,1190.45,1197,1009,0
1,1193.2,1193.2,1191.95,1192,1128,0
2,1194.25,1194.95,1192,1194.75,361,0
3,1192.45,1193.95,1191.75,1193.2,1055,0
4,1188.4,1193.1,1188.1,1191.75,663,0
5,1186.35,1187.8,1185.15,1187.8,1600,0
6,1186.95,1187.5,1186.05,1186.05,394,0
7,1185.1,1187,1185.1,1186.15,389,0
8,1188,1189,1185.15,1185.95,809,0
9,1186.2,1188,1185.85,1188,382,0
10,1185,1187,1185,1187,573,0
11,1186,1187,1185.9,1187,545,0
12,1182.45,1185.8,1181.75,1185.8,1343,0
13,1181.25,1182.65,1181.25,1182,440,0
14,1182.2,1182.2,1181.25,1181.25,617,0
15,1182.65,1182.65,1181.25,1182,793,0
16,1182.55,1184.3,1182.5,1183,299,0
17,1183.8,1183.8,1182.5,1182.55,255,0
18,1185.95,1187.45,1183.95,1183.95,707,0
19,1184.4,1185.95,1184,1185.95,272,0
20,1184.65,1185,1184.65,1185,227,0
21,1186.7,1186.7,1184.4,1184.4,614,0
22,1187,1187,1187,1187,1,0
23,1185.75,1186.1,1185.2,1186,219,0
24,1186.65,1186.7,1185.3,1185.3,274,0
25,1186.35,1187.05,1185.2,1186.5,324,0
26,1186,1188.05,1186,1188,849,0
27,1185.85,1186,1185.05,1186,282,0
28,1186.35,1186.65,1185.95,1185.95,89,0
29,1186.75,1186.75,1186.35,1186.35,135,0
30,1187.65,1187.95,1187,1187.95,81,0
31,1186,1187.35,1185.9,1187.35,258,0
32,1185.75,1186.7,1185.75,1186.7,119,0
33,1185.3,1186.75,1185.15,1186.45,240,0
34,1187,1187,1185.75,1186.6,539,0
35,1186.15,1187.3,1185.95,1187,231,0
36,1183,1185.5,1183,1185.5,1566,0
37,1178.1,1182.1,1178.1,1182.1,3526,0
38,1183.6,1183.6,1180,1180.45,509,0
39,1181.5,1182.2,1181,1182.2,401,0
40,1182,1182.1,1181.5,1181.5,465,0
41,1182.4,1182.4,1181.8,1182.15,158,0
42,1182.05,1183.9,1182.05,1183.2,264,0
43,1182.25,1183.5,1182.25,1183.5,109,0
44,1184.05,1184.95,1183.4,1183.4,241,0
45,1182,1184,1182,1184,458,0
46,1183,1183,1182.05,1182.05,60,0
47,1183.85,1183.85,1182.3,1182.3,158,0
48,1185,1185,1183.85,1183.85,224,0
49,1186.85,1186.85,1185,1185,442,0
50,1186.6,1187.15,1186.6,1186.9,428,0
51,1186.55,1187.45,1186.55,1187,163,0
52,1187.15,1187.8,1187,1187,76,0
53,1187.9,1187.9,1187.6,1187.75,95,0
54,1188.15,1189.25,1188.1,1189.25,1853,0
55,1185.05,1187.9,1185.05,1187.9,663,0
56,1187.9,1187.9,1182.8,1185.7,1459,0
57,1187.25,1189.25,1186.5,1187.9,794,0
58,1185.95,1186.85,1185.6,1186.85,471,0
59,1182.45,1185.75,1182.1,1185.75,1412,0
60,1181.85,1183.3,1181.85,1183.3,172,0
61,1182.5,1182.5,1181.85,1181.85,461,0
62,1183.15,1183.15,1182.25,1182.25,29,0
63,1183.05,1183.4,1183.05,1183.05,179,0
64,1181.5,1182.1,1181,1182,575,0
65,1180.95,1181.25,1179.1,1181.25,1958,0
66,1180,1180.85,1179.05,1180.85,188,0
67,1178.3,1180.5,1178.3,1180.5,1026,0
68,1179.85,1179.9,1178.35,1178.35,57,0
69,1179.35,1179.85,1178.1,1179.85,426,0
70,1177.45,1179.5,1177.45,1179.25,2127,0
71,1177.15,1178.35,1175.45,1178.3,761,0
72,1178.7,1178.7,1176.65,1176.65,117,0
73,1178.95,1178.95,1178.95,1178.95,45,0
74,1179.1,1179.5,1179,1179,610,0
75,1177.8,1179.1,1177.75,1179.1,274,0
76,1176.65,1177.85,1176.65,1177.8,175,0
77,1178.8,1178.8,1176.65,1176.65,407,0
78,1179.75,1179.75,1178.65,1178.65,115,0
79,1179,1183,1179,1179.75,1061,0
80,1179.7,1179.7,1179.7,1179.7,500,0
81,1179.45,1179.85,1179.35,1179.85,630,0
82,1179.2,1179.45,1178.85,1179.45,917,0
83,1180.55,1180.75,1178.5,1179,2005,0
