EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317680,8.25,8.25,8.25,8.25,5,0
1,8.35,8.35,8.3,8.3,70,0
3,8.3,8.3,8.3,8.3,100,0
4,8.35,8.35,8.35,8.35,3500,0
5,8.3,8.35,8.3,8.3,3069,0
6,8.35,8.35,8.3,8.35,2672,0
7,8.35,8.4,8.3,8.3,13202,0
9,8.35,8.35,8.35,8.35,1530,0
10,8.4,8.4,8.4,8.4,20,0
11,8.4,8.4,8.4,8.4,101,0
13,8.35,8.35,8.35,8.35,1700,0
16,8.45,8.45,8.45,8.45,12,0
17,8.45,8.45,8.4,8.4,5825,0
19,8.45,8.45,8.45,8.45,500,0
21,8.4,8.45,8.4,8.45,150,0
25,8.4,8.4,8.4,8.4,300,0
26,8.4,8.4,8.4,8.4,50,0
29,8.4,8.4,8.35,8.35,2015,0
30,8.4,8.4,8.4,8.4,100,0
34,8.45,8.45,8.35,8.35,904,0
35,8.5,8.5,8.45,8.45,8642,0
36,8.55,8.55,8.55,8.55,1074,0
37,8.55,8.55,8.55,8.55,100,0
38,8.5,8.5,8.5,8.5,1,0
40,8.55,8.55,8.5,8.5,4760,0
41,8.5,8.55,8.5,8.55,201,0
42,8.55,8.55,8.55,8.55,2,0
44,8.55,8.55,8.55,8.55,500,0
46,8.55,8.55,8.55,8.55,635,0
48,8.5,8.5,8.5,8.5,568,0
52,8.55,8.55,8.55,8.55,100,0
53,8.5,8.5,8.5,8.5,250,0
54,8.5,8.5,8.5,8.5,625,0
55,8.5,8.5,8.5,8.5,5222,0
56,8.55,8.6,8.5,8.5,23745,0
57,8.55,8.55,8.5,8.55,9864,0
58,8.6,8.6,8.55,8.55,5294,0
61,8.7,8.7,8.55,8.55,5025,0
62,8.65,8.75,8.65,8.7,9395,0
63,8.65,8.65,8.6,8.65,3505,0
64,8.9,9.05,8.9,8.95,70652,0
65,9.05,9.25,9.05,9.05,48329,0
66,9.15,9.2,9.15,9.15,8075,0
67,9.05,9.15,9,9.1,13976,0
68,9.05,9.05,8.95,9.05,10752,0
69,8.95,9.05,8.95,9.05,5303,0
70,8.95,8.95,8.95,8.95,1351,0
71,8.95,9,8.95,9,2200,0
72,9,9,8.95,8.95,2527,0
73,8.95,9,8.9,8.9,514,0
74,9,9,9,9,55,0
75,9,9,9,9,5,0
76,8.95,8.95,8.95,8.95,369,0
77,9,9,8.9,8.95,4971,0
78,9,9.05,8.95,8.95,5032,0
79,9,9.05,9,9,150,0
80,9.05,9.05,9,9,6700,0
81,9,9,9,9,4983,0
