EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,65.9,66.3,65.9,66.15,19429,0
1,65.8,66,65.8,65.95,13278,0
2,66.1,66.1,65.8,65.8,11234,0
3,66.35,66.35,66,66.1,20243,0
4,66.1,66.9,66.1,66.4,31172,0
5,65.9,66.3,65.9,66.3,30736,0
6,65.6,65.9,65.6,65.8,22197,0
7,65.65,65.7,65.6,65.7,6495,0
8,65.7,65.75,65.55,65.65,7834,0
9,65.8,65.85,65.65,65.65,8802,0
10,65.65,65.7,65.65,65.7,2911,0
11,65.65,65.8,65.6,65.7,3841,0
12,65.9,65.9,65.65,65.65,73851,0
13,66.1,66.1,65.85,65.95,6041,0
14,66.3,66.3,66.05,66.1,12839,0
15,66.2,66.4,66.1,66.3,12357,0
16,66,66.1,66,66.1,3101,0
17,65.65,66.1,65.6,66.05,14551,0
18,65.7,65.8,65.7,65.7,7059,0
19,65.8,65.8,65.7,65.7,841,0
20,65.85,65.85,65.85,65.85,901,0
21,65.8,65.8,65.75,65.75,228,0
22,65.7,65.75,65.7,65.75,2003,0
23,65.75,65.8,65.75,65.75,2899,0
24,65.75,65.8,65.75,65.8,1610,0
25,65.75,65.75,65.7,65.7,2934,0
26,65.75,65.85,65.75,65.85,1836,0
27,65.8,65.85,65.7,65.75,6896,0
28,65.9,65.9,65.8,65.8,3574,0
29,66,66,65.8,65.9,22041,0
30,66.05,66.1,66.05,66.05,1582,0
31,66.3,66.4,66.2,66.2,12860,0
32,66.15,66.45,66.15,66.4,56793,0
33,66.1,66.15,66.1,66.15,905,0
34,66.2,66.2,66.1,66.15,2950,0
35,66.55,66.65,66.35,66.4,9369,0
36,66.65,66.7,66.5,66.55,15206,0
37,66.6,66.65,66.55,66.55,5325,0
38,66.6,66.65,66.55,66.65,3987,0
39,66.45,66.65,66.45,66.6,17612,0
40,66.5,66.5,66.35,66.5,7600,0
41,66.45,66.5,66.4,66.4,1105,0
42,66.45,66.45,66.35,66.45,2150,0
43,66.45,66.45,66.45,66.45,200,0
44,66.4,66.45,66.4,66.4,568,0
45,66.15,66.45,66.1,66.45,6719,0
46,66,66.1,65.9,66.1,10157,0
47,65.9,66,65.9,66,12868,0
48,65.9,65.9,65.9,65.9,3850,0
49,65.9,65.9,65.8,65.9,3301,0
50,65.95,66,65.9,65.9,10519,0
51,65.9,65.95,65.9,65.9,2425,0
52,66.15,66.15,65.95,66,21639,0
53,66.35,66.35,66,66.15,26477,0
54,66.4,66.4,66.25,66.35,10203,0
55,66.45,66.5,66.05,66.4,83819,0
56,66.4,66.5,66.15,66.45,63036,0
57,66.35,66.4,66.3,66.35,8776,0
58,66.4,66.5,66.35,66.35,9544,0
59,66.4,66.45,66.4,66.4,5360,0
60,66.5,66.5,66.4,66.45,3846,0
61,66.5,66.55,66.4,66.55,5128,0
62,66.55,66.55,66.4,66.4,3040,0
63,66.45,66.55,66.45,66.5,1905,0
64,66.5,66.5,66.45,66.45,437,0
65,66.5,66.55,66.4,66.4,6240,0
66,66.5,66.55,66.5,66.5,3274,0
67,66.55,66.6,66.5,66.5,2208,0
68,66.65,66.65,66.6,66.6,3528,0
69,66.65,66.65,66.6,66.6,790,0
70,66.6,66.65,66.6,66.6,1480,0
71,66.6,66.65,66.6,66.6,5136,0
72,66.7,66.7,66.65,66.65,1950,0
73,66.6,66.65,66.6,66.6,825,0
74,66.45,66.6,66.45,66.6,11219,0
75,66.5,66.55,66.5,66.5,467,0
76,66.55,66.55,66.5,66.55,4823,0
77,66.9,66.95,66.5,66.55,47965,0
78,66.75,66.9,66.75,66.9,12280,0
79,67.1,67.25,66.75,66.75,58685,0
80,67.45,67.5,67.05,67.05,102448,0
81,67.65,67.7,67.35,67.4,52694,0
82,67.3,67.85,67.2,67.7,70151,0
83,67.25,67.4,67.25,67.3,5737,0
84,67.3,67.3,67.25,67.25,2537,0
85,67.35,67.35,67.25,67.3,3715,0
86,67.35,67.4,67.25,67.25,4350,0
87,67.25,67.35,67.25,67.35,913,0
88,67.25,67.3,67.2,67.3,13649,0
89,67.15,67.25,67.1,67.25,3384,0
90,67.2,67.2,67.1,67.1,11562,0
91,67.1,67.2,67.1,67.15,8032,0
92,67.2,67.2,67.1,67.1,1541,0
93,67.1,67.2,67.1,67.1,1565,0
94,67.25,67.4,67.2,67.2,5513,0
95,67.2,67.3,67.2,67.25,2897,0
96,67.15,67.25,67.15,67.2,1210,0
97,67.15,67.35,67.15,67.2,8780,0
98,67.15,67.3,67.15,67.15,3380,0
99,67.25,67.25,67.15,67.15,557,0
100,67.25,67.25,67.25,67.25,1119,0
101,67.25,67.3,67.25,67.25,2277,0
102,67.35,67.35,67.2,67.3,2076,0
103,67.2,67.3,67.2,67.3,1383,0
104,67.3,67.3,67.3,67.3,1500,0
105,67.2,67.35,67.2,67.35,1040,0
