EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,87.65,88.25,87.55,87.9,44254,0
1,87.45,87.7,87.45,87.7,30319,0
2,87.8,87.8,87.45,87.55,27685,0
3,88.15,88.15,87.65,87.7,26991,0
4,88.25,88.4,88.05,88.2,51961,0
5,88.45,88.6,88.35,88.35,33789,0
6,88.7,88.7,88.4,88.4,44356,0
7,88.9,89,88.75,88.85,79976,0
8,89.1,89.2,88.9,88.95,47062,0
9,89.15,89.2,89.05,89.1,96179,0
10,89,89.1,88.9,89.1,40465,0
11,89.25,89.25,88.9,88.9,49236,0
12,89.15,89.25,89.1,89.25,20238,0
13,89.35,89.4,89.1,89.2,32054,0
14,89.2,89.4,89.2,89.35,21267,0
15,88.9,89.25,88.9,89.2,47505,0
16,89,89.1,88.9,88.95,25340,0
17,88.9,89,88.8,88.95,35056,0
18,88.75,88.8,88.7,88.8,18958,0
19,88.8,88.95,88.8,88.85,12552,0
20,88.75,88.85,88.75,88.8,13959,0
21,88.75,88.8,88.75,88.75,3732,0
22,88.7,88.75,88.6,88.75,15691,0
23,88.9,88.9,88.7,88.7,9303,0
24,88.65,88.9,88.65,88.85,27158,0
25,88.8,88.8,88.65,88.75,18825,0
26,88.85,88.85,88.65,88.8,55990,0
27,88.85,88.85,88.75,88.85,10825,0
28,88.75,88.85,88.75,88.8,12004,0
29,88.55,88.75,88.55,88.75,18179,0
30,88.45,88.55,88.25,88.55,43988,0
31,88.35,88.45,88.35,88.4,16825,0
32,88.25,88.3,88.15,88.25,23383,0
33,88.3,88.3,88.2,88.25,17840,0
34,88.15,88.35,88.15,88.25,10732,0
35,88.2,88.2,88.05,88.2,24227,0
36,88,88.15,87.95,88.1,40869,0
37,88.15,88.15,87.9,87.95,33003,0
38,88.4,88.6,88.2,88.2,25310,0
39,88.4,88.45,88.3,88.4,14908,0
40,88.45,88.5,88.4,88.45,5667,0
41,88.6,88.6,88.45,88.45,13969,0
42,88.45,88.6,88.4,88.6,4142,0
43,88.5,88.55,88.5,88.5,6414,0
44,88.5,88.5,88.45,88.5,893,0
45,88.4,88.5,88.3,88.5,7309,0
46,88.3,88.4,88.3,88.3,18562,0
47,88.25,88.4,88.25,88.3,27493,0
48,88.35,88.35,88.15,88.25,20440,0
49,88.25,88.3,88.2,88.3,12666,0
50,88.1,88.3,88.1,88.25,21399,0
51,88.3,88.35,88.05,88.1,6926,0
52,88.3,88.35,88.25,88.3,9315,0
53,88.35,88.35,88.3,88.35,2545,0
54,88.25,88.3,88.15,88.3,25156,0
55,88.15,88.25,88.15,88.25,2794,0
56,88.15,88.25,88.15,88.25,4958,0
57,88.2,88.35,88.05,88.25,72728,0
58,88.3,88.4,88.2,88.25,48450,0
59,88.3,88.4,88.25,88.4,11353,0
60,88.5,88.5,88.3,88.3,6185,0
61,88.4,88.5,88.35,88.5,6921,0
62,88.15,88.4,88.15,88.4,30051,0
63,88.15,88.2,88.1,88.15,14239,0
64,88.15,88.2,88.1,88.15,5369,0
65,88.1,88.25,88.1,88.15,2587,0
66,88.2,88.2,88.15,88.2,3089,0
67,88.05,88.2,88.05,88.15,38415,0
68,87.95,88.05,87.95,88.05,19732,0
69,87.95,88,87.9,88,18808,0
70,87.9,87.9,87.7,87.85,39572,0
71,88,88,87.9,87.95,3825,0
72,87.95,88,87.9,88,2728,0
73,87.9,87.9,87.75,87.8,7148,0
74,87.75,87.9,87.7,87.9,20455,0
75,87.8,87.8,87.75,87.75,2615,0
76,87.75,87.75,87.7,87.75,5792,0
77,87.65,87.75,87.6,87.75,42591,0
78,87.7,87.75,87.6,87.65,15609,0
79,87.9,87.95,87.75,87.75,30113,0
80,88,88.05,87.95,88,4498,0
81,88,88.1,87.95,87.95,16420,0
82,88.15,88.2,88.1,88.1,21651,0
83,88.15,88.15,88.1,88.15,8498,0
84,88.2,88.25,88.1,88.15,24182,0
85,88.35,88.4,88.2,88.3,4969,0
86,88.3,88.35,88.3,88.35,3640,0
87,88.3,88.4,88.25,88.3,2879,0
88,88.3,88.4,88.3,88.35,3150,0
89,88.3,88.4,88.3,88.3,14264,0
90,88.4,88.4,88.35,88.35,2746,0
91,88.6,88.65,88.35,88.35,59275,0
92,88.85,88.9,88.6,88.65,52750,0
93,88.75,88.9,88.75,88.85,38771,0
94,88.9,88.9,88.8,88.8,22962,0
95,88.85,88.85,88.75,88.8,10184,0
96,88.8,88.9,88.75,88.9,7666,0
97,88.65,88.8,88.65,88.75,9580,0
98,88.8,88.8,88.65,88.65,2776,0
99,88.65,88.8,88.65,88.75,4269,0
100,88.6,88.7,88.6,88.65,1488,0
101,88.6,88.7,88.6,88.6,6107,0
102,88.75,88.75,88.65,88.7,14327,0
103,88.85,88.9,88.7,88.75,13206,0
104,89.1,89.2,88.95,88.95,106516,0
105,89.05,89.1,88.95,89.1,21145,0
