EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1780.15,1800,1780.15,1800,11,0
3,1788,1788,1788,1788,1,0
5,1791.55,1791.55,1791.55,1791.55,2,0
6,1792,1792,1792,1792,5,0
7,1790,1793.7,1790,1793.7,11,0
11,1785,1785.5,1785,1785.5,2,0
12,1781.55,1781.55,1781.55,1781.55,1,0
14,1787.55,1787.55,1785,1785,10,0
20,1781.5,1781.5,1781.5,1781.5,8,0
21,1781.5,1781.5,1781.5,1781.5,2,0
22,1781.5,1781.5,1781.5,1781.5,1,0
24,1785.95,1785.95,1785.95,1785.95,2,0
28,1781.95,1781.95,1781.95,1781.95,1,0
34,1781.9,1781.9,1781.9,1781.9,26,0
36,1785.5,1785.5,1785.5,1785.5,10,0
39,1778.1,1778.1,1778.1,1778.1,50,0
40,1785.45,1785.45,1785.45,1785.45,2,0
50,1784,1784,1784,1784,1,0
52,1777.85,1777.85,1777.85,1777.85,1,0
55,1777.85,1777.85,1777.85,1777.85,2,0
56,1780,1780,1780,1780,4,0
83,1780,1780,1780,1780,10,0
