EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1461.35,1470,1458,1460.05,809,0
1,1461,1464.95,1460.45,1460.45,277,0
2,1461,1465,1461,1465,608,0
3,1459.95,1461.05,1459.95,1461.05,217,0
4,1463.95,1467.4,1459.95,1459.95,533,0
5,1460.25,1463.95,1460.1,1463.4,137,0
6,1465,1465,1456,1462,1065,0
7,1467.2,1467.2,1460.35,1465,608,0
8,1467.25,1467.25,1466.2,1467,200,0
9,1466,1467,1466,1467,168,0
10,1463,1466,1463,1466,170,0
11,1463.5,1463.75,1463.1,1463.1,144,0
12,1463.5,1463.5,1463.5,1463.5,7,0
13,1464.6,1464.65,1463.5,1463.5,144,0
14,1466.35,1468.55,1463.5,1464.55,319,0
15,1463.5,1464.1,1463.5,1464,51,0
16,1467.95,1468,1467.95,1468,107,0
17,1463.5,1467.9,1463.5,1467,534,0
18,1467,1467.7,1466,1466,107,0
19,1464.45,1464.45,1464.45,1464.45,50,0
20,1465,1467,1464.45,1464.45,137,0
21,1466.95,1466.95,1465,1465,27,0
22,1466.85,1466.85,1466,1466.85,285,0
23,1466,1467,1464.6,1464.6,229,0
24,1470,1470,1467,1467,310,0
25,1477.95,1477.95,1472,1472,612,0
26,1475.2,1478,1472.85,1472.85,598,0
27,1479.2,1479.2,1476.6,1476.6,857,0
28,1480,1483.25,1480,1480,1310,0
29,1477.5,1480.8,1477.5,1480.8,401,0
30,1475,1478,1475,1477.5,250,0
31,1475.65,1477.1,1473.7,1475,356,0
32,1478,1478,1474.05,1474.05,192,0
33,1478,1478,1478,1478,109,0
34,1480,1480,1478.05,1478.5,408,0
35,1476.05,1479,1476.05,1478.5,64,0
36,1476.25,1477.95,1474.95,1475.25,154,0
37,1475,1476.25,1474.05,1476.25,45,0
38,1473.5,1475.05,1473.5,1475,191,0
39,1471.1,1472,1470.05,1472,38,0
40,1470.4,1471,1470.1,1471,24,0
41,1470,1472,1470,1470.4,324,0
42,1471.85,1471.85,1470,1470,48,0
43,1471.4,1471.85,1470.05,1470.05,218,0
44,1467,1471.4,1467,1471.4,262,0
45,1465.25,1469.1,1465.25,1467,175,0
46,1467.75,1467.75,1465.95,1466,27,0
47,1465.25,1465.3,1465.25,1465.3,46,0
48,1465.25,1466,1465.25,1465.95,103,0
49,1466.05,1471.25,1465.9,1465.9,176,0
50,1466.55,1468.25,1465.3,1466.1,133,0
51,1469.9,1469.9,1467.75,1467.75,161,0
52,1468.55,1469.9,1468.55,1469.9,112,0
53,1467.85,1468.55,1465.9,1468.55,68,0
54,1467.5,1468,1465.55,1468,53,0
55,1468.1,1468.1,1468.1,1468.1,14,0
56,1468.1,1468.1,1468.1,1468.1,106,0
58,1467.15,1467.15,1466.05,1466.05,65,0
59,1466,1466,1466,1466,39,0
60,1467.1,1467.1,1467.1,1467.1,25,0
62,1466.4,1468.5,1466.4,1468.5,14,0
63,1466.15,1466.15,1466.15,1466.15,8,0
64,1468.1,1468.1,1468.1,1468.1,5,0
65,1466.25,1467.5,1466.25,1467.5,8,0
66,1466.2,1466.2,1466.2,1466.2,1,0
67,1465.05,1466.2,1465.05,1466.2,61,0
68,1465,1465,1465,1465,66,0
69,1465.4,1465.4,1465.4,1465.4,41,0
70,1465.4,1465.4,1465.4,1465.4,150,0
71,1465.4,1465.4,1465.4,1465.4,5,0
72,1468,1468,1468,1468,91,0
74,1467,1467,1467,1467,183,0
76,1468,1468,1468,1468,50,0
77,1465.9,1465.9,1465.9,1465.9,10,0
78,1469.95,1469.95,1465.9,1465.9,73,0
79,1470,1470,1470,1470,100,0
81,1469.9,1469.9,1467.3,1469.45,24,0
82,1468.05,1468.05,1467.25,1467.25,30,0
83,1467,1467,1467,1467,89,0
