EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,275.4,275.6,275,275.5,2413,0
1,277,277,275.05,275.4,2980,0
2,276,277.4,276,277.4,1077,0
3,277,277,276.25,276.25,1517,0
4,277.25,278.35,277.2,277.4,1814,0
5,278.5,279,277.7,277.7,468,0
6,278.6,279.2,278.15,278.15,1332,0
7,278.75,278.8,278.6,278.7,2137,0
8,279.25,279.85,278.8,278.8,920,0
9,277.7,279.25,277.7,279.15,2043,0
10,278.55,279,278,278,773,0
11,279.35,279.9,278.75,278.75,1832,0
12,278.55,279.05,278.55,279.05,703,0
13,278.1,278.75,277.7,278.1,505,0
14,278.25,278.9,278.25,278.9,616,0
15,279.5,280,278.2,278.2,1971,0
16,279.85,279.85,278.75,279.3,490,0
17,279.35,279.55,279.35,279.55,60,0
18,279,279,279,279,100,0
19,279.25,279.35,279.1,279.3,167,0
20,278.3,278.5,277.75,278.5,835,0
21,278.35,278.35,278.05,278.05,223,0
22,277.55,278.35,277.55,278.35,332,0
23,278.65,278.95,277.4,277.4,1020,0
24,278.55,278.55,278.3,278.3,84,0
25,282,282,278.75,278.75,5528,0
26,282.1,282.7,282,282.7,3789,0
27,281.8,282.25,281.8,282.15,2239,0
28,281,281.5,281,281.5,574,0
29,281,281,280.6,280.75,991,0
30,281.55,281.8,281.15,281.15,182,0
31,280.3,281.5,280.3,281.5,456,0
32,280.7,280.7,280.25,280.25,191,0
33,280.7,280.95,280.6,280.7,222,0
34,280.7,280.7,280.7,280.7,35,0
35,280.7,280.7,280.7,280.7,280,0
36,280.65,280.7,280.5,280.7,155,0
37,280.45,280.5,280.25,280.5,234,0
38,279.25,280.35,279,280.35,868,0
39,279.6,279.7,279,279,777,0
40,279.55,279.6,279.3,279.6,744,0
41,279.55,279.55,279.55,279.55,218,0
42,280,280.25,279.75,280,1177,0
43,280.3,280.3,279.9,280,616,0
44,280.7,280.7,280.2,280.35,388,0
45,280,280.4,279.65,280.2,182,0
46,279.5,279.95,279.5,279.95,757,0
47,279.55,279.55,279.1,279.1,382,0
48,279.5,279.65,279.15,279.4,1049,0
49,279.3,279.35,279.15,279.15,196,0
50,278.65,279.4,278.65,279.4,654,0
51,278.35,278.75,278.1,278.55,372,0
52,277.95,278.15,277.7,278.15,662,0
53,277.85,277.95,277.65,277.9,159,0
54,278.1,278.4,277.65,277.65,490,0
55,278.45,278.5,278.1,278.1,219,0
56,277.8,278.35,277.8,278.35,42,0
57,277.65,277.8,277.65,277.8,368,0
58,276.75,277.2,276.6,277,1373,0
59,276.9,277.05,276.75,276.9,406,0
60,276.9,276.9,276.9,276.9,114,0
61,277,277.2,276.6,276.6,796,0
62,278,278.45,277,277,813,0
63,277.35,277.6,277.35,277.35,87,0
64,277.55,277.6,277.5,277.5,421,0
65,277.6,277.6,277.6,277.6,100,0
66,277.2,277.3,277.15,277.3,820,0
68,277.85,278.25,277.85,278,256,0
69,277.8,277.8,277.8,277.8,25,0
71,277.25,277.25,277.25,277.25,96,0
72,277.5,277.5,277.25,277.25,170,0
73,277.55,277.55,277.55,277.55,42,0
75,277.8,277.8,277.8,277.8,118,0
77,277.5,277.5,277.5,277.5,82,0
80,278.4,278.5,277.55,277.55,400,0
81,278,278,278,278,99,0
