EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,83.75,83.75,83.75,83.75,1,0
1,83.55,83.7,83.55,83.7,18,0
2,83.55,83.6,83.5,83.6,644,0
3,83.6,83.6,83.6,83.6,76,0
4,83.15,83.15,83.1,83.1,585,0
5,83.2,83.2,83.15,83.15,7,0
8,83.5,83.5,83.4,83.4,98,0
9,84.9,84.9,83.6,83.65,5402,0
10,85.65,85.9,85.1,85.55,2688,0
11,85.7,86,85.7,86,335,0
12,85.7,85.75,85.6,85.75,954,0
13,85.5,85.7,85.45,85.7,636,0
14,85.5,85.6,85.5,85.6,111,0
15,85.45,85.6,85.45,85.6,370,0
16,84.95,85.45,84.95,85.45,2498,0
17,85.4,85.4,85,85,936,0
18,85.1,85.1,85.1,85.1,122,0
20,85.05,85.05,85.05,85.05,6,0
21,85.05,85.05,85.05,85.05,10,0
22,84.8,85.05,84.8,85.05,1766,0
23,84.8,84.8,84.8,84.8,55,0
26,85.1,85.1,85,85,99,0
27,85.1,85.1,85.1,85.1,150,0
28,85.1,85.1,85.1,85.1,200,0
29,85.3,85.3,85.2,85.2,11,0
30,85,85.3,85,85.3,510,0
31,85,85,85,85,1000,0
32,85,85,85,85,102,0
33,85.3,85.3,85,85,191,0
34,85.3,85.3,85.1,85.1,210,0
35,85.35,85.35,85.35,85.35,1,0
38,84.7,85.35,84.7,85.35,2130,0
39,84.6,84.6,84.6,84.6,122,0
40,85.05,85.05,85.05,85.05,3005,0
41,85.1,85.25,85.1,85.25,69,0
42,85.05,85.1,85.05,85.1,30,0
43,85,85.05,85,85.05,67,0
44,85.25,85.25,85.25,85.25,4,0
46,85.25,85.25,85.2,85.2,69,0
47,84.95,85.25,84.95,85.25,615,0
48,85,85.15,84.95,85.15,124,0
51,84.75,84.95,84.65,84.95,2436,0
52,83.45,84.1,83.15,83.95,8021,0
53,83.2,83.45,83.2,83.4,932,0
54,82.2,83,82,82.75,1510,0
55,82.9,82.9,82.25,82.25,1039,0
56,82.8,82.85,82.7,82.8,2421,0
57,82.95,82.95,82.8,82.8,494,0
58,83,83,82.9,83,289,0
59,82.95,82.95,82.9,82.95,1620,0
60,82.85,82.95,82.85,82.95,173,0
61,82.8,82.85,82.8,82.85,300,0
62,82.85,82.85,82.8,82.85,62,0
63,82.85,82.85,82.8,82.8,362,0
64,82.85,82.85,82.85,82.85,10,0
65,82.85,82.85,82.85,82.85,112,0
66,82.55,82.55,82.55,82.55,211,0
67,82.8,82.8,82.8,82.8,12,0
68,82.8,82.8,82.55,82.55,22,0
69,82.85,82.85,82.85,82.85,610,0
70,82.6,82.8,82.6,82.8,248,0
71,82.8,82.8,82.8,82.8,31,0
72,82.65,82.65,82.65,82.65,1,0
75,82.6,82.6,82.6,82.6,44,0
76,82.6,82.6,82.55,82.55,221,0
77,82.6,82.6,82.6,82.6,50,0
78,82.6,82.6,82.6,82.6,200,0
79,82.6,82.6,82.6,82.6,25,0
81,82.6,82.6,82.6,82.6,230,0
82,82.6,82.6,82.6,82.6,10,0
83,82.6,82.65,82.6,82.65,491,0
