EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,1192.1,1193,1191.05,1191.6,665,0
1,1191.45,1192.65,1190.9,1192.65,278,0
2,1189.45,1190.65,1187.85,1190.65,530,0
3,1191.7,1192,1190.4,1190.45,457,0
4,1193.4,1193.95,1191.7,1191.7,812,0
5,1193.4,1194.8,1193.4,1194,2356,0
6,1194,1194,1191.45,1193.4,768,0
7,1194.95,1194.95,1193.6,1193.9,332,0
8,1193.8,1194.35,1193.25,1194.35,130,0
9,1193.8,1194.2,1193.35,1194.2,198,0
10,1194.95,1194.95,1193.2,1193.2,797,0
11,1194.3,1195,1194.2,1194.2,646,0
12,1195,1195,1194.5,1194.5,1200,0
13,1196,1196,1195.4,1195.6,3045,0
14,1195.5,1196,1195.5,1196,2018,0
15,1195,1195.5,1194.5,1195.5,1462,0
16,1192.15,1194.05,1192.15,1194.05,1269,0
17,1192.4,1192.5,1192.4,1192.5,156,0
18,1192.2,1192.8,1191.4,1192.65,1896,0
19,1193.1,1194.7,1191.95,1192,1027,0
20,1192.35,1193,1192.25,1193,2194,0
21,1192.4,1192.4,1192,1192,3,0
22,1192.65,1193,1192.65,1193,3,0
23,1193.6,1193.6,1193,1193,631,0
24,1192.9,1193.05,1192.9,1192.95,209,0
25,1193.55,1193.55,1193.55,1193.55,25,0
26,1193.65,1193.65,1193.65,1193.65,66,0
27,1193.65,1193.65,1193.65,1193.65,203,0
28,1193.65,1193.65,1193.1,1193.5,1429,0
29,1192.85,1192.85,1192.85,1192.85,10,0
30,1192.6,1193.4,1192.6,1192.85,263,0
31,1191.45,1192.7,1191.15,1192.5,798,0
32,1191.4,1191.65,1191.3,1191.65,1026,0
33,1192.9,1192.9,1191.8,1191.8,262,0
35,1191.15,1192.35,1191.15,1192.1,269,0
36,1191.75,1191.75,1191,1191,128,0
37,1192.35,1193.05,1191.55,1191.8,624,0
38,1191.6,1192.35,1191.6,1192.35,274,0
39,1189.45,1191.3,1189.45,1191.3,845,0
40,1191.4,1191.45,1190,1190,60,0
41,1187.95,1191.3,1187.95,1191.3,1886,0
42,1189.9,1190.8,1189.9,1190.55,1247,0
43,1190.25,1190.5,1189.3,1189.85,232,0
44,1188.3,1190.4,1188.3,1190.25,3253,0
45,1187.55,1188.65,1187.55,1188.3,567,0
46,1189.25,1189.25,1188,1188,246,0
47,1189.05,1189.95,1189.05,1189.95,208,0
48,1189.5,1189.95,1189.3,1189.3,106,0
50,1189.7,1190,1189.6,1189.7,190,0
51,1188.5,1189.05,1188.35,1189.05,1577,0
52,1188.5,1188.5,1188.5,1188.5,8,0
53,1188.25,1188.25,1188.25,1188.25,5,0
54,1187.45,1188.2,1186.55,1188.2,836,0
55,1188.7,1188.7,1188,1188,188,0
56,1188,1188.95,1188,1188.95,88,0
57,1189.5,1189.55,1188.2,1188.4,170,0
58,1189.8,1189.8,1188.7,1188.7,501,0
59,1189.3,1189.3,1188.75,1189.05,203,0
60,1190,1190,1190,1190,50,0
61,1189.5,1189.5,1189.5,1189.5,24,0
62,1188.5,1189.3,1188.5,1189.3,58,0
63,1188.05,1188.1,1188,1188.1,35,0
64,1188.15,1188.75,1188.15,1188.75,13,0
65,1190,1190,1188.5,1188.5,358,0
66,1189.75,1190.7,1189.75,1190.5,211,0
67,1189.7,1190.2,1189.7,1189.9,215,0
68,1189.65,1190.45,1189.25,1189.25,1405,0
69,1188.4,1188.8,1187.25,1187.9,2555,0
70,1187.75,1187.75,1187.55,1187.6,350,0
71,1187.85,1187.85,1187.65,1187.65,31,0
72,1186.65,1187.55,1186,1187.55,1797,0
73,1185.55,1185.55,1185.55,1185.55,73,0
74,1187.45,1187.45,1186.2,1186.2,523,0
75,1187.3,1187.3,1186.8,1186.8,44,0
76,1188,1188.5,1188,1188,104,0
77,1187.8,1188,1187.8,1188,472,0
78,1188,1188,1187.45,1187.45,30,0
79,1188.65,1188.65,1187.75,1188.6,579,0
80,1188.45,1188.95,1188.45,1188.95,29,0
81,1188.4,1189,1187.65,1189,628,0
82,1185.8,1187.6,1185.8,1187.6,4381,0
83,1186.05,1187.8,1184.9,1185.5,6643,0
84,1186.5,1189,1185.35,1185.95,3658,0
85,1189.75,1189.85,1186.9,1188.9,7628,0
86,1189.25,1191.2,1187.95,1189,4765,0
87,1188.4,1190.85,1188.1,1189.1,4996,0
88,1190.9,1190.9,1189,1189,323,0
89,1192.25,1192.9,1190.45,1190.5,16778,0
90,1192.35,1193.05,1192.35,1193,222,0
91,1192.2,1192.35,1192.2,1192.2,140,0
92,1190.3,1190.9,1190.3,1190.6,1679,0
93,1191.95,1191.95,1191.95,1191.95,1,0
96,1191.25,1191.25,1191.25,1191.25,15,0
97,1190.25,1191.2,1190.25,1191.2,25,0
98,1191.2,1191.25,1190.3,1190.3,140,0
99,1192.15,1192.2,1192,1192,224,0
