EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762360,69.15,69.2,69.1,69.15,33037,0
1,69.25,69.25,69.1,69.2,29502,0
2,69.05,69.2,69.05,69.2,41814,0
3,69.05,69.1,69,69.05,22141,0
4,69,69.1,69,69,37904,0
5,68.95,69.05,68.85,69.05,26591,0
6,68.9,68.95,68.85,68.9,14453,0
7,68.9,68.95,68.85,68.9,13056,0
8,68.95,68.95,68.9,68.95,23840,0
9,68.85,68.95,68.85,68.95,15223,0
10,68.85,68.9,68.8,68.9,16267,0
11,68.75,68.85,68.75,68.85,28605,0
12,68.8,68.85,68.8,68.85,12009,0
13,68.75,68.85,68.75,68.75,9462,0
14,68.8,68.8,68.75,68.75,8940,0
15,68.75,68.8,68.7,68.8,14863,0
16,68.75,68.75,68.6,68.75,95320,0
17,68.8,68.8,68.7,68.75,16105,0
18,68.75,68.8,68.75,68.8,4423,0
19,68.8,68.8,68.75,68.75,4026,0
20,68.75,68.8,68.7,68.75,4164,0
21,68.75,68.8,68.7,68.75,18744,0
22,68.85,68.95,68.75,68.75,41949,0
23,68.85,68.9,68.8,68.85,7228,0
24,68.85,68.95,68.8,68.85,8606,0
25,68.9,68.95,68.9,68.95,3931,0
26,68.95,69,68.9,68.9,15478,0
27,69,69,68.95,68.95,11172,0
28,69.05,69.05,68.95,69,28745,0
29,69.05,69.05,69,69.05,17587,0
30,69.05,69.05,69,69.05,2393,0
31,68.9,69.05,68.9,69.05,34998,0
32,68.9,68.9,68.85,68.9,2695,0
33,68.85,68.9,68.85,68.9,16295,0
34,68.85,68.9,68.85,68.85,4745,0
35,68.95,68.95,68.9,68.9,27556,0
36,69,69,68.9,68.95,5367,0
37,69,69,68.9,69,5365,0
38,69,69.05,68.9,69,11307,0
39,69.15,69.15,69,69,11301,0
40,69.15,69.15,69.1,69.1,7471,0
41,69,69.2,68.95,69.15,153364,0
42,68.95,69,68.95,69,4371,0
43,68.95,69,68.9,68.95,14883,0
44,68.9,69,68.9,69,2221,0
45,68.95,68.95,68.9,68.95,5513,0
46,68.9,69,68.85,68.95,12608,0
47,68.85,69,68.85,69,13368,0
48,68.95,68.95,68.85,68.85,3798,0
49,68.85,68.95,68.85,68.95,734,0
50,68.85,68.95,68.85,68.85,5655,0
51,68.95,68.95,68.85,68.85,2733,0
52,68.95,68.95,68.9,68.95,6353,0
53,68.9,68.95,68.85,68.9,4153,0
54,68.75,68.9,68.7,68.9,116626,0
55,68.7,68.75,68.7,68.7,15123,0
56,68.75,68.75,68.7,68.75,41514,0
57,68.55,68.75,68.5,68.75,145055,0
58,68.55,68.55,68.45,68.5,62534,0
59,68.55,68.55,68.5,68.55,17002,0
60,68.55,68.65,68.5,68.6,33847,0
61,68.65,68.65,68.55,68.65,17401,0
62,68.65,68.65,68.55,68.65,12477,0
63,68.55,68.7,68.55,68.65,51371,0
64,68.5,68.6,68.45,68.55,94175,0
65,68.45,68.5,68.45,68.5,29714,0
66,68.4,68.5,68.3,68.5,131195,0
67,68.4,68.4,68.35,68.4,6992,0
68,68.45,68.45,68.35,68.4,5708,0
69,68.5,68.5,68.45,68.45,2982,0
70,68.5,68.5,68.45,68.5,23034,0
71,68.5,68.5,68.45,68.5,53508,0
72,68.45,68.5,68.45,68.5,23109,0
73,68.5,68.5,68.45,68.5,10237,0
74,68.45,68.5,68.45,68.5,7545,0
75,68.45,68.5,68.4,68.5,9820,0
76,68.45,68.5,68.45,68.5,13138,0
77,68.45,68.5,68.4,68.45,5419,0
78,68.35,68.45,68.35,68.45,16507,0
79,68.25,68.35,68.2,68.35,48724,0
80,68.4,68.4,68.3,68.3,19335,0
81,68.3,68.4,68.3,68.4,3920,0
82,68.4,68.4,68.3,68.35,13664,0
83,68.35,68.4,68.25,68.4,23280,0
84,68.35,68.4,68.3,68.4,8103,0
85,68.3,68.3,68.25,68.3,2242,0
86,68.35,68.35,68.3,68.3,9207,0
87,68.35,68.35,68.3,68.3,8102,0
88,68.3,68.4,68.25,68.35,13431,0
89,68.45,68.45,68.35,68.35,6675,0
90,68.5,68.5,68.45,68.45,14784,0
91,68.4,68.45,68.4,68.45,15552,0
92,68.45,68.45,68.35,68.45,10578,0
93,68.5,68.5,68.45,68.45,2195,0
94,68.45,68.5,68.45,68.5,9021,0
95,68.5,68.5,68.5,68.5,2924,0
96,68.45,68.5,68.4,68.45,10074,0
97,68.4,68.45,68.4,68.45,14443,0
98,68.4,68.4,68.35,68.4,2178,0
99,68.3,68.4,68.3,68.4,9486,0
100,68.35,68.35,68.3,68.35,6909,0
101,68.3,68.35,68.3,68.35,12673,0
102,68.15,68.35,68.15,68.35,65789,0
103,68.15,68.15,68.05,68.1,51095,0
104,68.25,68.25,68.1,68.15,14617,0
105,68.2,68.25,68.15,68.25,6979,0
106,68.25,68.25,68.2,68.25,5079,0
