EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,23.85,23.95,23.7,23.75,31544,0
1,23.85,24.05,23.85,23.85,3074,0
2,24.1,24.1,24,24,20145,0
3,24,24.15,24,24.1,5700,0
4,24.1,24.1,24,24,8546,0
5,23.95,24.1,23.9,24.1,25856,0
6,23.95,23.95,23.9,23.95,10424,0
7,23.8,23.9,23.8,23.9,6852,0
8,23.75,23.8,23.7,23.8,9679,0
9,24,24,23.75,23.75,18882,0
10,24,24.05,24,24,9184,0
11,24.05,24.05,24,24,561,0
12,24,24.05,24,24.05,2272,0
13,24.05,24.05,24,24.05,22656,0
14,24,24.05,24,24,2116,0
15,24,24.05,24,24.05,4970,0
16,24,24.05,24,24,5603,0
17,24.05,24.05,24.05,24.05,3220,0
18,24.05,24.05,24,24.05,2398,0
19,24.05,24.05,24,24.05,5353,0
20,24.05,24.05,24,24.05,1305,0
21,24.05,24.05,24,24.05,12234,0
22,24,24.05,24,24,2455,0
23,24,24.05,24,24,883,0
24,24.05,24.05,24,24,3550,0
25,24.05,24.05,24,24,3001,0
26,24.1,24.1,24.05,24.05,3901,0
27,24.05,24.1,24.05,24.05,1159,0
28,24.1,24.1,24.1,24.1,2640,0
29,24.1,24.1,24.05,24.1,351,0
30,24.1,24.1,24.05,24.1,2980,0
31,24.05,24.1,24,24.1,2700,0
32,24.05,24.1,24.05,24.1,1406,0
33,24.1,24.1,24.1,24.1,2540,0
34,24.05,24.05,24.05,24.05,450,0
35,24.05,24.1,24.05,24.05,1851,0
36,24.1,24.1,24.05,24.05,1603,0
37,24,24.05,24,24.05,872,0
38,24,24.05,24,24,3181,0
39,24,24.05,24,24,4988,0
40,23.9,24,23.9,24,7424,0
41,23.9,24,23.9,23.9,1286,0
42,23.95,24,23.9,23.9,7931,0
43,24,24,23.95,23.95,5075,0
44,23.95,23.95,23.9,23.95,1065,0
45,23.85,23.95,23.85,23.95,3483,0
46,23.9,23.9,23.85,23.85,1411,0
47,23.85,23.85,23.85,23.85,4095,0
48,23.8,23.9,23.8,23.9,2943,0
49,23.8,23.85,23.8,23.85,6295,0
50,23.75,23.8,23.75,23.8,3959,0
51,23.75,23.85,23.75,23.8,5136,0
52,23.8,23.85,23.75,23.75,2175,0
53,23.75,23.85,23.75,23.8,5960,0
54,23.8,23.85,23.75,23.85,1606,0
55,23.75,23.75,23.75,23.75,1788,0
56,23.75,23.8,23.75,23.75,350,0
57,23.8,23.8,23.8,23.8,500,0
58,23.8,23.8,23.75,23.8,1753,0
59,23.85,23.85,23.8,23.8,57,0
60,23.7,23.85,23.7,23.8,22532,0
61,23.85,23.85,23.85,23.85,101,0
62,23.8,23.85,23.75,23.75,1359,0
63,23.75,23.8,23.75,23.8,1758,0
64,24,24,23.8,23.8,22418,0
65,24,24.05,23.9,23.9,11467,0
66,24.1,24.1,24,24.05,25352,0
67,24.2,24.3,24.1,24.1,43116,0
68,24.25,24.3,24.2,24.2,5605,0
69,24.25,24.3,24.25,24.25,4303,0
70,24.25,24.3,24.25,24.25,5953,0
71,24.25,24.3,24.25,24.3,3308,0
72,24.25,24.3,24.25,24.3,695,0
73,24.25,24.3,24.25,24.25,855,0
74,24.25,24.3,24.25,24.3,3635,0
75,24.1,24.25,24.1,24.25,3254,0
76,24.4,24.45,24.1,24.15,56427,0
77,24.4,24.45,24.3,24.45,1431,0
78,24.3,24.4,24.3,24.4,19194,0
79,24.35,24.4,24.3,24.4,9584,0
80,24.4,24.45,24.35,24.4,7235,0
81,24.35,24.45,24.35,24.45,3290,0
82,24.3,24.35,24.3,24.35,5442,0
83,24.35,24.35,24.3,24.35,1387,0
