EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317620,688.45,690,688.4,690,854,0
1,698,698,688.45,688.95,267,0
2,699.15,699.55,697,699.55,204,0
3,698.5,699.2,698.05,699,395,0
4,697.45,699,697.4,698,1151,0
5,697.4,699,697,697.4,1342,0
6,697.5,697.5,697,697.05,93,0
7,696,698,696,698,988,0
8,693.95,695.95,693.15,695.95,361,0
9,693.8,694,693,693.6,1109,0
10,694.9,694.9,693.65,693.75,1331,0
11,695.05,695.05,693.95,695,1269,0
12,698,698.15,694.95,695.1,815,0
13,697.55,698.9,697.35,698.5,276,0
14,697,697.55,697,697.55,420,0
15,698.3,698.9,696.7,697,1258,0
16,698,698.5,698,698.5,1145,0
17,700.65,701.95,698.4,698.4,223,0
18,700,702,699.95,701,130,0
19,700,700.45,700,700.45,289,0
20,702.5,702.5,700,700.3,546,0
21,708.35,709,702.5,702.5,738,0
22,708,708.45,707,708.4,265,0
23,707.7,708.9,707.7,707.95,584,0
24,706.7,707.8,705.7,707.7,1082,0
25,706.2,706.7,706.2,706.7,132,0
26,706.6,707,706.6,706.7,68,0
27,706.4,706.75,706.4,706.75,292,0
28,707,707,706.35,706.5,151,0
29,706.65,706.65,706.5,706.65,42,0
30,707,707,706.65,706.7,27,0
31,707.45,707.75,707.4,707.4,923,0
32,707.5,707.75,707.45,707.45,204,0
33,707.5,707.5,707.45,707.5,85,0
34,707.4,707.5,707.3,707.4,60,0
35,705.45,707.45,705.45,707.45,274,0
36,706.9,707.3,705.5,707.2,148,0
37,706.5,706.95,706.3,706.75,293,0
38,706.55,706.95,706.5,706.65,132,0
39,706.75,706.9,706.55,706.55,75,0
40,706.7,706.75,705.35,706.75,339,0
41,706.7,706.75,706.7,706.7,316,0
42,706.25,706.7,706.25,706.7,242,0
43,706.45,706.45,706.25,706.35,75,0
44,706.35,706.45,706.2,706.35,157,0
45,706.3,706.4,706.2,706.35,65,0
46,706,706.25,705,705.05,499,0
47,706.4,706.9,706.1,706.1,99,0
48,703.75,706.85,703.75,706.8,114,0
49,706.4,706.75,704.95,704.95,128,0
50,706.6,706.6,705.05,706.4,122,0
51,706.4,706.6,706.3,706.35,37,0
52,705.5,706.4,704.25,706.4,180,0
53,705.55,705.55,705.4,705.5,81,0
54,704.25,705.5,704.25,705.5,168,0
55,705.5,705.6,705,705,10,0
56,705.45,705.5,705.35,705.45,61,0
57,705.35,705.4,705.3,705.3,104,0
59,705,705.45,705,705.35,260,0
60,706.35,706.4,705.5,705.5,573,0
61,706.25,706.3,706.2,706.2,20,0
62,706.4,706.4,706.05,706.05,88,0
63,706.3,706.3,706.1,706.25,76,0
64,704.95,706.2,704.95,706.1,72,0
65,706,706,704,704.9,83,0
66,705.95,705.95,705.5,705.65,59,0
67,705.85,706,705.85,706,29,0
68,703,705.85,701.1,705.85,1024,0
69,701.1,703.55,701.1,703,481,0
71,703,703,702,702,3,0
76,703.45,703.45,701.2,701.2,3,0
77,701.2,701.2,701.2,701.2,141,0
78,701,701.1,701,701.1,100,0
81,702.95,702.95,702.95,702.95,10,0
