EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,3547,3547,3547,3547,5,0
1,3550.15,3550.15,3550.05,3550.05,7,0
3,3579.25,3579.25,3579.25,3579.25,8,0
5,3541.1,3542.45,3541.1,3542.45,55,0
6,3547.3,3547.3,3547.3,3547.3,3,0
9,3550.05,3550.05,3550.05,3550.05,2,0
17,3562.7,3562.7,3562.7,3562.7,5,0
26,3553.1,3570.95,3553.1,3570.95,2,0
46,3554.35,3554.35,3554,3554,4,0
74,3558.7,3558.7,3558.7,3558.7,1,0
81,3551.65,3551.65,3551.65,3551.65,5,0
