EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,669,669,665,665,714,0
1,672,674.35,668.1,669,470,0
2,672.95,673,669.2,673,275,0
3,670.95,672.85,669,669,230,0
4,669.5,670,669.1,669.15,86,0
5,671,671,670,670,37,0
6,673.45,673.45,671.2,671.2,133,0
7,673.5,673.5,673.4,673.4,302,0
8,672.05,672.05,672.05,672.05,5,0
9,673,673,672.8,672.8,30,0
10,683.6,683.6,673.5,673.5,1290,0
11,676.15,681.55,676.15,681.55,250,0
12,674.95,676.5,673.05,676.45,198,0
13,674,674,672.95,672.95,15,0
14,674,674,674,674,50,0
15,673.15,673.15,673.15,673.15,20,0
16,674.7,674.7,674.7,674.7,9,0
17,674.8,674.8,674.8,674.8,54,0
18,673.2,675.95,673.2,674,180,0
19,673.3,673.3,673.3,673.3,25,0
20,673.15,673.3,673.15,673.3,10,0
21,674.65,674.65,674.65,674.65,3,0
24,673,673.2,673,673.15,86,0
25,674.4,674.4,674.35,674.35,60,0
27,674.4,674.4,674.4,674.4,10,0
29,672.8,674.35,672.8,674.35,56,0
30,673.95,673.95,673.95,673.95,4,0
31,673.9,673.9,673.9,673.9,1,0
32,673.5,673.5,673.5,673.5,10,0
33,673.55,673.55,673.5,673.5,105,0
34,671.05,672.5,671,672.5,201,0
35,672.45,672.45,671,671,26,0
36,669.05,671,669.05,671,246,0
37,668.15,669.05,668.1,669.05,80,0
38,668.85,669.15,668.2,668.2,250,0
39,669.05,669.75,668.85,668.85,49,0
40,669.05,669.05,669,669,865,0
41,668.95,668.95,668.65,668.95,208,0
42,670,670,668.9,668.9,46,0
43,673.45,673.45,670.8,670.8,28,0
44,673.25,673.45,672.9,673.45,458,0
45,673.8,673.9,673.25,673.25,220,0
46,673.7,673.85,673.5,673.85,506,0
47,671.9,673.8,671.9,673.8,628,0
48,673.2,673.8,673.2,673.8,53,0
49,670,671.05,670,671.05,20,0
50,671.15,671.15,670,670,180,0
51,670.25,671.35,670.25,671.25,21,0
52,672.5,672.5,670.2,670.25,498,0
53,672.5,672.5,672.5,672.5,34,0
54,672.5,672.75,672.5,672.65,107,0
55,670.6,671.75,670.55,670.55,145,0
56,671.35,671.35,670.6,670.6,476,0
57,671.1,671.6,670.75,671.6,21,0
58,671.8,671.8,671.1,671.2,239,0
59,672.95,672.95,672.95,672.95,5,0
61,671.4,671.4,671.4,671.4,27,0
62,671.95,671.95,671.95,671.95,1,0
64,671.95,671.95,671.95,671.95,3,0
65,671.7,671.9,671.7,671.9,13,0
66,670,671.35,670,671.35,43,0
67,669,670,669,670,101,0
69,672.8,672.8,672.8,672.8,14,0
71,671.7,671.7,671.7,671.7,10,0
73,671.7,671.7,670.45,670.45,39,0
74,668.85,668.85,668.85,668.85,115,0
75,671.8,671.8,671.8,671.8,35,0
76,672.75,672.75,669.65,672.65,403,0
77,672.75,672.8,672.2,672.75,140,0
78,670.4,672.8,670.4,670.9,503,0
79,675,675,671.85,671.85,921,0
80,679,679,674.9,675,302,0
81,680.1,681.9,678.45,679,498,0
82,681.4,681.4,678.55,679.3,334,0
83,678.7,680.9,678.7,680.9,157,0
