EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,17759.1,17785.5,17743.35,17785.5,130,0
1,17760.8,17776.5,17710.95,17776.5,25,0
2,17755.35,17786.55,17733.65,17786.55,80,0
3,17767,17767,17720.75,17750.55,40,0
4,17756.5,17811,17740.5,17762,283,0
5,17774.15,17800.05,17760.75,17761.1,100,0
6,17758.4,17777.75,17757.95,17777.75,35,0
7,17709.5,17758.4,17701.6,17758.4,56,0
8,17699.45,17721.05,17678,17700,60,0
9,17706.2,17722,17699.95,17699.95,49,0
10,17706.15,17706.15,17699.95,17699.95,2,0
11,17687.8,17706.15,17687.8,17703.45,27,0
12,17688,17688,17678,17687.8,11,0
13,17722,17722,17686.7,17701,44,0
16,17728.45,17772.9,17728.45,17772.9,8,0
18,17773.3,17773.3,17765.4,17765.4,3,0
19,17773.15,17773.25,17771.65,17771.65,18,0
20,17779.95,17779.95,17750,17771.65,95,0
21,17797.95,17797.95,17779.95,17779.95,20,0
22,17767.45,17768.65,17767.45,17768.65,11,0
23,17795,17795,17767.45,17767.45,11,0
24,17760.7,17789.85,17740.05,17789.85,23,0
25,17717.6,17764.95,17700,17760.05,71,0
26,17717.95,17752,17717.95,17718.8,55,0
27,17748.7,17748.7,17748.7,17748.7,1,0
28,17748.1,17748.1,17748.1,17748.1,3,0
29,17774.95,17774.95,17748.85,17748.85,9,0
30,17770.05,17774.95,17770,17770,6,0
31,17770.05,17775,17770.05,17775,2,0
32,17749.75,17764.85,17749.75,17764.85,19,0
33,17765,17765,17751.8,17751.8,12,0
34,17764.85,17764.85,17751.3,17751.3,2,0
35,17750.5,17750.5,17750.5,17750.5,1,0
36,17748.1,17763.75,17748.1,17750.5,13,0
37,17722,17750,17722,17750,45,0
38,17730,17730,17730,17730,2,0
39,17730,17730,17730,17730,14,0
40,17724.95,17724.95,17720,17720,24,0
41,17716.2,17716.2,17715.4,17715.4,3,0
42,17720,17726,17720,17726,7,0
43,17720,17720,17710,17720,40,0
45,17763.35,17763.35,17720,17720,98,0
46,17741.1,17763.9,17741.1,17763.9,16,0
47,17765,17765,17756.75,17756.75,17,0
48,17753.7,17753.7,17753.7,17753.7,3,0
49,17749.95,17749.95,17749.95,17749.95,5,0
55,17732.4,17732.4,17732.4,17732.4,1,0
57,17754.05,17754.05,17754.05,17754.05,12,0
58,17755,17755,17739.85,17739.85,8,0
59,17772.85,17772.95,17751.95,17761.65,105,0
60,17760.8,17760.8,17760.75,17760.75,12,0
61,17780.3,17780.3,17771.2,17771.2,26,0
62,17772.75,17786,17769.9,17784.25,8,0
63,17784.2,17784.2,17776.2,17776.2,3,0
64,17780,17780,17776.2,17776.2,3,0
65,17776.3,17776.3,17776.3,17776.3,1,0
68,17776.3,17776.3,17776.3,17776.3,8,0
69,17776.3,17779,17776.3,17779,2,0
70,17748.35,17776.3,17748.35,17776.3,10,0
71,17730,17750,17730,17748.35,27,0
72,17750.85,17750.85,17722.95,17722.95,74,0
73,17766.2,17769.7,17749.5,17749.5,8,0
74,17724.4,17759.4,17712.5,17759.4,69,0
75,17748.95,17748.95,17729.85,17729.85,17,0
77,17725,17725,17720.05,17720.05,7,0
78,17764.9,17764.9,17732.45,17732.45,11,0
79,17752.5,17765,17752.5,17765,8,0
80,17761.6,17766.2,17755.55,17764.75,35,0
81,17737.25,17761.6,17737.25,17761.6,9,0
82,17750,17754.9,17728.25,17733.45,62,0
