EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,398.35,399,397.75,397.75,22140,0
1,400.65,401.9,398.35,398.35,41995,0
2,400.55,401,399,400.6,25531,0
3,401,401.55,400.4,400.75,17113,0
4,400,401,399.75,401,15105,0
5,400.2,400.9,400,400,17165,0
6,399.55,400.7,399.55,400.2,11581,0
7,400.45,400.75,399.9,400,26414,0
8,400.25,401,400.1,400.5,16270,0
9,400.35,400.75,399.75,400.05,16508,0
10,400.1,400.7,400.1,400.1,10961,0
11,399.75,400.45,399.25,400.2,19449,0
12,400.25,400.5,399.7,399.7,8285,0
13,400.5,400.7,400.25,400.25,8338,0
14,399.9,401,399.9,400.5,16621,0
15,399.3,399.7,399.15,399.7,10068,0
16,400.15,400.4,399.35,399.35,11417,0
17,402.5,402.6,400,400.25,59043,0
18,403.2,403.7,402.4,402.5,49813,0
19,404.2,404.2,402.8,403.3,42312,0
20,404.45,404.75,404,404.35,60273,0
21,403.6,404.5,403.55,404.25,40635,0
22,404,404,403.3,403.6,26136,0
23,404.5,404.8,403.75,403.75,27358,0
24,405.4,405.85,404.65,404.65,81586,0
25,406,407.4,404.65,405.55,135580,0
26,406.15,406.5,405.9,406.45,36371,0
27,405.7,406.35,405.5,406.1,25833,0
28,406.25,406.5,405.5,405.5,24515,0
29,406.7,406.9,405.75,406.1,22758,0
30,406.45,407,406.1,406.85,21015,0
31,405.5,406.4,405.1,406.3,24276,0
32,404.95,405.5,404.55,405.45,29153,0
33,405.45,405.5,405,405,4439,0
34,405.5,405.9,405.3,405.45,16706,0
35,405.5,405.9,405.3,405.35,6464,0
36,405.05,405.4,405,405.4,17915,0
37,404,405,403.55,404.8,30338,0
38,404.2,404.4,403.85,403.85,17299,0
39,404.25,404.4,404.1,404.1,8409,0
40,403.5,404.25,403.4,404.25,18358,0
41,403.05,403.45,403.05,403.35,11898,0
42,402.55,403.1,402.3,403,18969,0
43,403.05,403.15,402.6,402.65,17065,0
44,403.15,403.35,403,403,6831,0
45,403.45,403.45,403.1,403.1,5062,0
46,403.05,403.5,403.05,403.4,25201,0
47,402,403,402,403,18954,0
48,401.3,402.15,400.6,402.15,52601,0
49,400.85,401.4,400.7,401.35,18113,0
50,401.2,401.3,400.75,400.8,15048,0
51,401.3,401.4,401,401.1,9761,0
52,401.3,401.4,401,401.2,4779,0
53,400.95,401.4,400.95,401.25,12917,0
54,400.4,400.9,400.4,400.9,16826,0
55,400.7,400.9,400.4,400.6,6235,0
56,400.6,400.8,400.2,400.75,7278,0
57,399.15,400.5,399.15,400.5,27771,0
58,399.55,399.65,399.15,399.15,17897,0
59,399.5,399.55,399.2,399.5,11913,0
60,398.85,399.5,398.6,399.5,16997,0
61,398.6,399,398.2,399,26048,0
62,399.4,399.6,398.55,398.65,13012,0
63,400.25,400.4,399.45,399.45,15082,0
64,400.15,400.35,399.65,400,11515,0
65,400.85,400.9,400.05,400.1,9337,0
66,400.75,401,400.6,400.85,8856,0
67,400.1,400.75,400.05,400.75,7152,0
68,399.9,400.3,399.7,400.3,5690,0
69,399.6,399.95,399.5,399.9,6183,0
70,399.15,399.5,399,399.5,8312,0
71,399.6,399.65,399.1,399.1,9655,0
72,399.5,400.25,399.5,399.6,8795,0
73,399.7,400.55,398.9,399.5,14893,0
74,399.75,400.15,399.25,399.7,11804,0
75,399.1,399.8,399.1,399.8,4745,0
76,399.85,399.9,399,399.2,3620,0
77,399.9,400,399.7,399.85,3716,0
78,400.2,400.45,399.9,399.9,5085,0
79,400.85,400.9,400.2,400.35,5409,0
80,400.5,400.85,400.3,400.75,3938,0
81,400,400.7,400,400.5,5985,0
82,400.7,400.7,400,400,5110,0
83,401.4,401.6,400.35,400.35,10176,0
84,401.2,401.4,400.65,401.4,5439,0
85,401.5,401.75,401.2,401.25,6024,0
86,401.2,401.5,400.85,401.4,3812,0
87,401,401.5,401,401.2,2522,0
88,401,401.3,400.75,400.95,3381,0
89,401.25,401.25,400.85,401.25,1963,0
90,401.05,401.2,400.85,401.2,2372,0
91,401.1,401.2,400.85,400.85,2429,0
