EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490480,19.25,19.25,19.25,19.25,1500,0
3,20,20,20,20,150,0
6,20,20,20,20,20,0
9,20.25,20.25,20,20,146,0
10,20.25,20.25,20.25,20.25,2,0
11,20,20,20,20,50,0
13,19.3,20,19.3,20,154,0
18,19.75,19.75,19.75,19.75,5,0
27,19.75,19.75,19.75,19.75,184,0
34,19.75,19.75,19.75,19.75,75,0
37,19.75,19.75,19.75,19.75,76,0
38,19.75,19.75,19.75,19.75,31,0
48,19.85,19.85,19.85,19.85,50,0
58,19.3,19.3,19.3,19.3,1900,0
68,19.95,19.95,19.95,19.95,10,0
69,19.4,19.4,19.4,19.4,150,0
70,19.95,19.95,19.95,19.95,110,0
78,19.9,19.9,19.9,19.9,1,0
84,19.9,19.9,19.9,19.9,20,0
86,19.9,19.9,19.9,19.9,200,0
92,19.3,19.3,19.3,19.3,1810,0
100,19.9,19.9,19.9,19.9,35,0
103,19.9,19.9,19.9,19.9,10,0
106,19.35,19.35,19.35,19.35,100,0
109,19.35,19.35,19.35,19.35,40,0
110,19.9,19.9,19.9,19.9,200,0
126,19.9,19.9,19.9,19.9,10,0
127,19.9,19.9,19.9,19.9,3,0
138,19.5,19.5,19.5,19.5,5,0
141,19.5,19.5,19.5,19.5,97,0
142,19.9,19.9,19.9,19.9,100,0
148,19.95,19.95,19.95,19.95,1050,0
161,19.5,19.5,19.5,19.5,5,0
168,19.95,19.95,19.95,19.95,20,0
169,19.5,19.5,19.5,19.5,100,0
177,19.6,19.6,19.6,19.6,100,0
197,19.95,19.95,19.95,19.95,10,0
207,19.75,19.75,19.75,19.75,10,0
213,19.6,19.6,19.6,19.6,1,0
223,19.95,19.95,19.95,19.95,200,0
225,19.95,19.95,19.95,19.95,500,0
237,19.95,19.95,19.95,19.95,250,0
241,19.95,19.95,19.95,19.95,600,0
242,19.95,19.95,19.95,19.95,10,0
250,19.95,19.95,19.95,19.95,50,0
252,19.95,19.95,19.95,19.95,10,0
254,19.65,19.65,19.65,19.65,1,0
256,19.65,19.65,19.65,19.65,13,0
264,19.65,19.95,19.65,19.95,4,0
265,19.55,19.65,19.55,19.65,142,0
