EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,803.95,804.85,802.2,804.85,2949,0
1,802.55,803.9,802.55,803.9,533,0
2,804.65,804.95,803.2,803.2,3266,0
3,804.8,804.8,804.5,804.8,679,0
4,805.85,805.9,804.8,804.8,1147,0
5,806.9,806.9,805.55,805.55,1747,0
6,807,807.6,806,806.4,724,0
7,808.65,809.2,807.4,807.4,1037,0
8,808.15,809,806.45,809,847,0
9,807.1,809.7,807.1,808.15,808,0
10,808.2,808.3,806.6,807.05,310,0
11,808,808.95,808,808,1317,0
12,809.15,809.15,808,808,757,0
13,809.3,809.65,809,809,325,0
14,808.9,809.5,808.65,809.5,434,0
15,809,809.7,808.6,808.9,426,0
16,809,809.65,808.6,809,343,0
17,810.9,810.9,809.5,809.5,1398,0
18,810.85,810.9,810.65,810.9,445,0
19,811.7,811.7,810.5,810.8,1344,0
20,811.5,811.9,811.5,811.7,234,0
21,812.75,812.9,811.65,812.05,654,0
22,813.8,813.8,812.75,812.75,359,0
23,814.35,814.6,813.8,813.8,793,0
24,814.5,815,814,814.65,1053,0
25,814.8,814.85,814.5,814.5,490,0
26,817.75,817.75,814.8,814.8,1710,0
27,818.4,818.9,817.7,818.35,391,0
28,816.75,818.9,816.75,818.4,725,0
29,816.4,816.4,815.55,816.15,239,0
30,816.5,817.1,816.1,817.1,250,0
31,816.5,816.6,816.5,816.5,229,0
32,816.55,816.55,816.15,816.5,559,0
33,815.15,816.55,815,816.15,522,0
34,815.2,815.5,815.15,815.5,75,0
35,815.7,815.7,815.35,815.5,88,0
36,815.55,815.65,815.25,815.25,688,0
37,815.35,815.5,815.25,815.5,368,0
38,814.3,815.25,814,815.25,838,0
39,812.7,813.85,812.25,813.85,926,0
40,812.45,812.65,812.4,812.65,224,0
41,811.35,812.45,811.35,812.45,1294,0
42,809.35,811.35,809.35,811.35,2158,0
43,809,809.3,809,809.1,450,0
44,809.75,810.25,809,809,245,0
45,811.45,811.5,809.7,809.7,280,0
46,812.8,812.85,811.8,811.9,146,0
47,813,813,811.75,811.95,71,0
48,812.2,812.9,812.2,812.2,159,0
49,814.15,814.15,812.8,813.25,235,0
50,813.6,815,812.75,814.85,512,0
51,815.45,815.45,814.45,814.45,187,0
52,815.6,817.95,815,815.7,981,0
53,815.35,816.15,814.1,815,497,0
54,816,816.15,815.15,815.15,207,0
55,813.7,815.55,813.65,815.5,182,0
56,813.7,815,813.15,813.7,294,0
57,812.55,814.6,812.55,814.6,282,0
58,812.9,812.9,812.55,812.55,25,0
59,812.6,813.95,812.6,813,329,0
60,814.9,814.9,812.6,812.6,180,0
61,813.95,813.95,813.4,813.9,157,0
62,813.8,813.8,813.65,813.65,41,0
63,814,814.05,813.8,813.8,170,0
64,814.3,814.3,814,814,811,0
65,813.95,814.65,813.95,814.65,124,0
66,814.05,814.05,814.05,814.05,125,0
67,814.5,814.5,814.05,814.5,65,0
68,814,814,814,814,65,0
69,814,814.35,814,814.35,68,0
70,813.5,814,813,814,631,0
71,813,813,813,813,32,0
72,812.7,813,812.7,813,135,0
73,810.6,812.5,810.4,812.5,1127,0
74,810.5,810.6,810.5,810.6,297,0
75,811.25,811.25,810.15,810.15,162,0
76,810.3,811.25,810.3,811.25,66,0
77,811.65,811.65,811.25,811.25,49,0
78,811.95,811.95,810.85,811.25,102,0
79,811,811.9,810.45,811.9,182,0
81,811.05,811.05,811.05,811.05,10,0
82,810.45,811,810.35,811,135,0
83,810.35,811.1,810.35,811.05,38,0
84,810.85,810.85,810.3,810.35,33,0
85,810,810.35,810,810.35,132,0
86,810,810.9,810,810.5,360,0
87,810.5,810.5,810.5,810.5,124,0
88,810.3,810.4,810,810,95,0
89,810.3,810.7,810.3,810.5,97,0
90,810.3,810.3,810.3,810.3,20,0
91,810.3,810.8,810.3,810.8,17,0
92,811,811,810.3,810.3,120,0
93,811.15,811.15,811.15,811.15,45,0
94,812.35,812.35,811.75,811.75,232,0
95,811.8,811.8,811.8,811.8,2,0
96,812.2,812.2,811.65,811.65,125,0
97,812.2,812.2,812.2,812.2,30,0
98,812.2,812.2,812.2,812.2,7,0
99,812.2,812.9,812.2,812.9,94,0
100,811.5,812,811.5,812,24,0
101,811.75,811.95,811.35,811.35,220,0
102,811.55,811.75,811.05,811.2,254,0
103,812.5,812.7,811.2,811.55,133,0
104,811,812.65,811,812.65,312,0
105,811,811,810.2,810.5,187,0
106,812.3,812.3,811.25,811.25,132,0
107,812.9,812.9,812.4,812.45,231,0
108,812.4,812.4,812.4,812.4,2,0
109,812.1,812.1,812.1,812.1,1,0
110,812.05,812.05,812.05,812.05,20,0
111,812.05,812.05,812,812,214,0
112,812.35,812.35,812.05,812.05,98,0
113,814,815,813.05,813.05,622,0
114,813.8,814.9,813.7,813.7,16,0
115,812.8,813.75,812.45,813.75,661,0
