EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,379.65,381.75,379.05,381.75,9736,0
1,381.5,381.55,379.4,379.4,7819,0
2,382.1,382.4,381.65,381.95,4530,0
3,382.35,383.5,382.2,382.45,16402,0
4,382.4,382.75,381.85,382.75,10132,0
5,382.35,382.6,382,382.55,7238,0
6,381.8,382.45,381.65,382,2426,0
7,381.8,382.05,381.2,381.95,2739,0
8,382.1,382.9,381.4,382,5984,0
9,381.55,382.35,381.5,381.7,2812,0
10,381.9,381.9,381.4,381.5,2165,0
11,381.3,382,381.2,381.85,1634,0
12,381.6,381.9,381.1,381.1,1177,0
13,381.9,381.9,381.3,381.55,2157,0
14,382.05,382.4,381.6,381.6,2366,0
15,382.45,382.45,381.9,381.9,5820,0
16,382.5,382.55,382.2,382.55,1243,0
17,381.65,382.5,381.45,382.2,2890,0
18,381,382,381,381.9,3922,0
19,381.55,381.7,381.35,381.35,1206,0
20,381.5,381.8,381.4,381.55,784,0
21,380.05,381,380,381,5931,0
22,380.45,380.85,380,380.2,2044,0
23,381,381.25,380.5,380.5,457,0
24,380.95,380.95,380.6,380.6,93,0
25,381.25,381.25,380.45,381,1222,0
26,380.6,381.15,380.6,381.15,295,0
27,379.75,380.45,379.6,380.45,2303,0
28,380,380,379.5,379.6,4164,0
29,379.5,380,379.25,379.7,1673,0
30,379,379.7,379,379.7,2836,0
31,378.3,379,378.3,379,3601,0
32,378.2,378.9,378.2,378.55,1355,0
33,378,378.3,377.65,378.3,5084,0
34,377.9,377.9,377.7,377.8,1236,0
35,378.1,378.45,378,378,2244,0
36,378.6,378.6,378.1,378.15,874,0
37,378,378.85,377.85,378.85,13253,0
38,378.4,378.85,377.9,378,34908,0
39,378.5,378.7,378.15,378.45,3370,0
40,379,379.35,378.7,378.7,3624,0
41,378.8,379.25,378.55,379.15,1507,0
42,379.15,379.45,378.8,378.9,926,0
43,379.35,379.4,379.15,379.15,2230,0
44,379.6,379.6,379.3,379.6,1711,0
45,379.8,379.8,379.35,379.6,436,0
46,380.85,380.85,379.7,379.7,2954,0
47,380.35,381.35,380.35,380.9,10944,0
48,381,381,380.35,380.55,4992,0
49,380.35,381.3,380.25,381,4593,0
50,381.1,381.2,380.5,380.55,3271,0
51,381.7,381.7,381.1,381.1,7144,0
52,382,382,381.5,381.5,4815,0
53,382.05,382.65,381.8,382,4555,0
54,382.15,382.65,381.95,382.05,872,0
55,382.6,383,382,382.35,2710,0
56,382.7,383,382.6,382.6,2118,0
57,382.95,383,382.7,382.9,1485,0
58,383.3,383.3,382.2,382.8,9520,0
59,382.65,383.35,382.65,383.15,9830,0
60,382.1,383,381.9,382.65,9782,0
61,381.45,381.9,381.3,381.7,1840,0
62,382.05,382.55,381.3,381.3,14594,0
63,382.1,382.6,382.05,382.05,11440,0
64,381.6,382.15,381.6,382.1,3144,0
65,381.5,381.8,381.5,381.6,2611,0
66,381.1,381.6,381.1,381.6,1784,0
67,381.45,381.45,381.1,381.25,281,0
68,381.3,381.4,381.3,381.3,241,0
69,381,381.4,380.7,381.3,2532,0
70,380.65,381.2,380.65,381,3933,0
71,380.15,380.9,380.15,380.65,1664,0
72,380.65,380.65,380.15,380.15,636,0
73,380.85,381.1,380.55,380.55,1715,0
74,381,381.25,380.85,380.85,325,0
75,381,381.3,381,381.25,553,0
76,381,381.3,380.85,381.3,780,0
77,381,381,380.9,381,275,0
78,381.2,381.3,381,381.3,330,0
79,381,381.2,381,381.2,424,0
80,381.05,381.05,381.05,381.05,11,0
81,380.8,381.05,380.8,381.05,2793,0
82,380.8,380.85,380.75,380.8,399,0
83,381,381,380.7,380.8,849,0
84,381,381.5,381,381,1015,0
85,380.3,381,380.2,381,5474,0
86,380.45,380.6,380.3,380.3,1360,0
87,380.6,381,380.25,380.45,1504,0
88,380.65,380.95,380.6,380.6,443,0
89,380.65,380.65,380.6,380.6,12,0
90,380.95,380.95,380.9,380.9,281,0
91,381.25,381.25,380.9,380.9,727,0
92,381.25,381.25,381.25,381.25,2,0
93,381.3,381.3,381.25,381.3,424,0
94,381,381.45,380.95,381.3,490,0
95,381.4,381.4,381.05,381.05,201,0
96,381.3,381.4,381.2,381.4,504,0
97,382.2,382.2,381.3,381.3,4957,0
98,382.7,382.9,382.4,382.4,1371,0
99,382.7,383,382.4,382.7,3344,0
100,383.3,383.4,382.85,382.85,3792,0
101,383.05,383.5,383,383.25,5250,0
102,382.65,383,382.25,383,1328,0
103,382.3,382.95,382.3,382.7,1004,0
104,381.8,382.2,381.55,382.2,3156,0
105,382,382.1,381.6,381.6,1210,0
106,381.9,382,381.9,382,127,0
107,381.85,382,381.85,382,116,0
108,382.25,382.25,381.8,381.85,732,0
109,382.75,383,382.25,382.25,1923,0
110,382.95,383,382.75,382.95,592,0
111,383.2,383.2,382.95,383,4693,0
