EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,237.1,237.85,235.65,237,43415,0
1,237.95,237.95,237.15,237.4,37932,0
2,237.25,237.9,237,237.9,25403,0
3,237.45,237.45,236.95,237.25,24964,0
4,237.75,238.3,237.2,237.2,47490,0
5,237.8,237.95,237.45,237.6,21196,0
6,237.7,238,237.55,237.8,13216,0
7,237.8,237.9,237.15,237.8,22822,0
8,237,237.8,237,237.8,15155,0
9,237.5,237.55,236.8,237.1,14099,0
10,236.75,237.55,236.45,237.55,18043,0
11,236.65,237.15,236.55,236.75,6026,0
12,236.25,236.75,236.15,236.6,17440,0
13,235.95,236.25,235.35,236.25,26354,0
14,237.25,237.7,236,236,40674,0
15,237.1,237.3,237,237,9956,0
16,236.55,237.1,236.45,237.1,8847,0
17,237,237.05,236.6,236.75,9436,0
18,237.1,237.2,236.75,236.9,11390,0
19,237.2,237.2,237,237.1,3233,0
20,237.65,237.75,236.9,237.15,28319,0
21,238.55,238.7,237.45,237.6,55150,0
22,238.3,238.9,238.2,238.55,28852,0
23,238.3,238.5,238.1,238.2,6047,0
24,237.6,238.25,237.55,238.2,14489,0
25,237.7,237.75,237.6,237.7,4627,0
26,237.4,237.7,237.4,237.6,10019,0
27,237.3,237.4,237.25,237.4,6476,0
28,237.45,237.45,237.35,237.4,1969,0
29,238.05,238.2,237.5,237.7,13767,0
30,238.1,238.1,238,238,4135,0
31,237.85,238.1,237.8,238,6057,0
32,237.95,238,237.8,237.85,4646,0
33,237.95,238.05,237.85,237.95,6685,0
34,237.5,238.05,237.4,238,10998,0
35,236.85,237.65,236.45,237.6,25312,0
36,236.4,236.85,236.4,236.65,21238,0
37,236.6,236.65,236.35,236.35,12420,0
38,237.05,237.2,236.5,236.6,13876,0
39,237.15,237.15,236.75,237.1,12505,0
40,237.4,237.65,236.75,237,9465,0
41,237.35,237.55,237.25,237.55,15682,0
42,237.4,237.4,237.25,237.25,1802,0
43,237.5,237.65,237.3,237.4,10118,0
44,237.55,237.8,237.25,237.5,9454,0
45,237.2,237.55,237.2,237.2,4569,0
46,237.25,237.5,237.2,237.3,1715,0
47,237.5,237.5,237.2,237.4,2325,0
48,237.55,237.85,237.35,237.35,5375,0
49,237.75,237.8,237.75,237.75,3756,0
50,237.85,237.95,237.65,237.65,6032,0
51,237.6,237.9,237.45,237.9,8344,0
52,237.6,237.85,237.6,237.7,3828,0
53,237.3,237.6,237.25,237.6,4776,0
54,237,237.35,237,237.25,4488,0
55,236.65,237,236.65,237,7618,0
56,236.35,236.75,236.05,236.6,15021,0
57,236,236.5,236,236.3,24027,0
58,235.95,236,235.65,235.95,23903,0
59,235.55,235.95,235.1,235.95,39286,0
60,235.45,235.75,235.3,235.55,15730,0
61,235.8,236,235.3,235.3,21840,0
62,236.4,236.65,235.8,235.8,19851,0
63,235.95,236.35,235.9,236.3,7657,0
64,235.8,236,235.8,236,4735,0
65,235.65,235.9,235.6,235.8,4489,0
66,235.85,235.85,235.5,235.65,9092,0
67,235.2,235.75,235.1,235.6,16689,0
68,235.6,235.6,235.05,235.1,11596,0
69,235.4,235.6,235.2,235.6,4328,0
70,234.7,235.4,234.6,235.25,30788,0
71,234.5,234.75,234.45,234.75,19571,0
72,235.1,235.1,234.55,234.55,10033,0
73,234.9,235.2,234.9,235.1,5720,0
74,235.1,235.1,234.9,235,4097,0
75,234.7,235.1,234.65,234.9,3204,0
76,234.15,234.6,233.8,234.6,41645,0
77,234.2,234.3,234.05,234.15,7769,0
78,234.8,234.8,234.2,234.2,6763,0
79,235.15,235.35,234.75,234.8,17790,0
80,234.75,235.15,234.75,235.15,6704,0
81,234.6,234.7,234.2,234.65,8671,0
82,234.7,234.7,234.35,234.5,3591,0
83,234.45,234.75,234.45,234.7,2460,0
