EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490300,346.95,346.95,346.95,346.95,31,0
1,348.05,348.05,345.85,346.4,4726,0
2,349,349.1,347.55,348.45,9815,0
3,348,348.4,347.25,348.4,4315,0
4,348.9,349.55,347.75,347.95,4141,0
5,349.4,349.6,348.65,349,5291,0
6,349.85,350.2,349,349,11189,0
7,349.5,350.05,349.3,349.85,6213,0
8,350,350.85,349.35,350.5,8031,0
9,349.6,349.65,349.1,349.3,3036,0
10,348.25,349.55,348.05,349.35,4804,0
11,348.75,348.75,347.6,348.3,4483,0
12,349.45,349.6,348.65,348.8,5265,0
13,349.3,349.8,348.8,349.6,3354,0
14,349.8,350,349.25,349.65,2181,0
15,349.35,349.85,349.15,349.85,1359,0
16,348.85,349.35,348.4,349.05,4185,0
17,348.3,348.35,348.25,348.25,911,0
18,347.6,348.35,347.3,348.35,4455,0
19,347,347.6,346.9,347.6,3686,0
20,346.9,347,346.5,347,4506,0
21,347.3,347.35,346.9,347,2285,0
22,347.45,347.5,347,347,982,0
23,347.45,347.6,346.95,347.6,3939,0
24,347.2,347.35,347.05,347.05,250,0
25,347.6,347.6,347.2,347.45,1563,0
26,347.6,347.6,347.35,347.6,686,0
27,347.3,347.65,347.3,347.65,546,0
28,347.4,347.6,347.3,347.4,427,0
29,347.9,347.9,347.4,347.4,905,0
30,347.7,347.7,347.65,347.7,209,0
31,347.6,347.8,347.4,347.8,944,0
32,347.35,347.55,347.15,347.55,1846,0
33,347,347.2,347,347.15,917,0
34,347.5,347.5,347.1,347.1,286,0
35,347.2,347.6,347.15,347.5,765,0
36,347.5,347.5,347.2,347.25,353,0
37,347.9,348.3,347.5,347.8,2006,0
38,348.15,348.2,347.9,347.9,1100,0
39,347.9,348.65,347.9,348.25,5259,0
40,348.1,348.5,348,348,13440,0
41,348.5,348.5,348.45,348.5,1305,0
42,348.55,349,348.55,348.65,3203,0
43,348.7,349,348.55,348.55,3617,0
44,348.9,348.9,348.6,348.7,3999,0
45,348.55,348.9,348.55,348.6,378,0
46,348.85,348.85,348.55,348.55,169,0
47,348.1,348.9,348.1,348.7,1325,0
48,348.6,348.7,348.15,348.55,539,0
49,348,348.7,348,348.7,4332,0
50,348,348.15,348,348,845,0
51,348.2,348.55,348.2,348.25,1768,0
52,348.4,348.7,347.95,348.55,1141,0
53,348,348.35,348,348.35,2811,0
54,347.2,348,347.2,348,1486,0
55,347.3,347.3,347.1,347.15,355,0
56,347.45,347.45,347.3,347.3,355,0
57,347.15,347.45,347.15,347.45,520,0
58,347.2,347.5,347.15,347.15,115,0
59,347.45,347.5,347.2,347.2,807,0
60,347.5,347.5,347,347.45,3039,0
61,347.35,347.5,346.95,347.2,517,0
62,347.45,347.45,347.35,347.35,1267,0
63,347.65,347.7,346.85,347.45,2810,0
64,347.6,347.95,347.5,347.95,403,0
65,347.8,347.85,347.5,347.6,429,0
66,347.85,347.85,347.8,347.8,79,0
67,347.7,347.7,347.35,347.35,5241,0
68,347.9,347.9,347.4,347.7,867,0
69,347.7,347.9,347.45,347.5,318,0
70,347.45,347.6,347.45,347.45,331,0
71,347.5,347.5,347.05,347.45,742,0
72,347.5,347.5,347.2,347.2,383,0
73,347.5,347.5,347.1,347.15,597,0
74,347.35,347.5,347,347.2,735,0
75,347.3,347.3,347,347.3,295,0
76,347.45,347.45,347.45,347.45,33,0
77,347.55,347.55,347.45,347.45,566,0
78,347.45,347.55,347,347.55,541,0
79,347.25,347.6,347.05,347.4,1490,0
80,347.25,347.25,347.1,347.1,26,0
81,347.6,347.6,347.05,347.05,376,0
82,348.2,348.3,347.6,347.6,2326,0
83,348.2,348.2,348.2,348.2,136,0
84,347.8,348.2,347.55,347.9,1004,0
85,348.1,348.2,347.5,348.2,468,0
86,347.9,347.9,347.1,347.8,2827,0
87,348,348.2,347.85,347.9,344,0
88,348.2,348.2,347.75,347.75,35,0
89,348.35,348.35,348,348,2480,0
90,348.35,348.6,348.35,348.5,2018,0
91,348.35,348.5,348.35,348.5,51,0
92,348,348.35,348,348.35,308,0
93,348.4,348.4,348.05,348.05,364,0
94,349,349.3,348.6,348.6,3443,0
95,349.25,349.25,348.95,348.95,930,0
96,348.9,349.3,348.85,349.25,360,0
97,349,349.3,349,349.3,135,0
98,349,349.3,349,349.3,390,0
99,349,349.3,349,349.05,197,0
100,349.15,349.15,349,349.1,707,0
101,349.65,349.65,349.15,349.15,3383,0
102,349.65,349.65,349.1,349.5,1487,0
103,349.5,349.5,349,349.1,1083,0
104,349.5,349.6,349,349.5,1845,0
105,349.05,349.6,348.85,349.5,5157,0
106,348.65,348.75,348.25,348.75,6451,0
107,348.75,348.75,348.25,348.25,432,0
108,349.25,349.25,348.9,348.9,3208,0
109,349.5,349.5,349.25,349.25,314,0
110,349.45,349.65,349.2,349.5,2191,0
