EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,434.75,434.8,426.5,426.5,1540,0
1,427.4,436.85,427.4,434.8,1137,0
2,430.85,431,429.9,431,1231,0
3,428.05,430,428.05,430,443,0
4,430,430.15,429.8,429.8,2829,0
5,434.25,437.95,434.25,435.95,1435,0
7,440,440,435.4,435.4,4560,0
8,439.8,440,439.8,440,11,0
9,435.6,439.8,435.6,439.8,15,0
10,438.95,439.7,435.85,435.9,340,0
11,440.05,440.05,438.95,438.95,2162,0
12,436.05,440.05,435.6,440.05,265,0
13,437.05,440,437.05,440,21,0
14,440.05,440.05,437.1,439.95,3353,0
15,440.05,440.05,440.05,440.05,487,0
16,440.05,440.05,440.05,440.05,260,0
17,440.05,440.05,440.05,440.05,100,0
18,440.05,440.05,440.05,440.05,104,0
19,440.05,440.05,440.05,440.05,130,0
20,440.05,440.05,440.05,440.05,60,0
21,440.05,440.05,440.05,440.05,2954,0
22,439.95,440.05,438.05,440.05,5980,0
23,440.05,440.05,439.9,439.9,506,0
30,440.05,440.05,440.05,440.05,5,0
31,440.05,440.05,440.05,440.05,210,0
32,440.05,440.05,440.05,440.05,301,0
33,440.05,440.05,440.05,440.05,149,0
34,440.05,440.05,440.05,440.05,30,0
38,440.05,440.05,440.05,440.05,33,0
39,440.05,440.05,440.05,440.05,125,0
42,440.05,440.05,440.05,440.05,70,0
43,440.05,440.05,440.05,440.05,4,0
45,440.05,440.05,440.05,440.05,5,0
46,440.05,440.05,440.05,440.05,15,0
48,440.05,440.05,440.05,440.05,4,0
50,440.05,440.05,440.05,440.05,50,0
51,440.05,440.05,440.05,440.05,10,0
52,440.05,440.05,440.05,440.05,2,0
53,440.05,440.05,440.05,440.05,108,0
54,440.05,440.05,440.05,440.05,7,0
58,440.05,440.05,440.05,440.05,5,0
60,440.05,440.05,440.05,440.05,11,0
62,440.05,440.05,440.05,440.05,91,0
64,440.05,440.05,440.05,440.05,52,0
65,440.05,440.05,440.05,440.05,4,0
66,440.05,440.05,440.05,440.05,28,0
67,440.05,440.05,440.05,440.05,6,0
68,440.05,440.05,440.05,440.05,2,0
71,440.05,440.05,440.05,440.05,1574,0
72,440.05,440.05,440.05,440.05,6,0
73,440.05,440.05,440.05,440.05,51,0
74,440.05,440.05,440.05,440.05,32,0
76,440.05,440.05,440.05,440.05,1024,0
77,440.05,440.05,440.05,440.05,3425,0
78,440.05,440.05,440.05,440.05,600,0
79,440.05,440.05,440.05,440.05,5,0
80,440.05,440.05,440.05,440.05,1,0
81,440.05,440.05,440.05,440.05,4,0
82,440.05,440.05,440.05,440.05,1,0
83,440.05,440.05,440.05,440.05,6,0
84,440.05,440.05,440.05,440.05,3,0
85,440.05,440.05,440.05,440.05,5,0
86,440.05,440.05,440.05,440.05,101,0
87,440.05,440.05,440.05,440.05,5,0
89,440.05,440.05,440.05,440.05,6662,0
90,440.05,440.05,440.05,440.05,1410,0
98,440.05,440.05,440.05,440.05,23,0
101,440.05,440.05,440.05,440.05,34,0
108,440.05,440.05,440.05,440.05,1,0
112,440.05,440.05,440.05,440.05,50,0
114,440.05,440.05,440.05,440.05,8,0
120,440.05,440.05,440.05,440.05,30,0
124,440.05,440.05,440.05,440.05,70,0
125,440.05,440.05,440.05,440.05,1,0
126,440.05,440.05,440.05,440.05,100,0
127,440.05,440.05,440.05,440.05,9,0
128,440.05,440.05,440.05,440.05,120,0
129,440.05,440.05,440.05,440.05,16,0
132,440.05,440.05,440.05,440.05,51,0
139,440.05,440.05,440.05,440.05,10,0
150,440.05,440.05,440.05,440.05,50,0
169,440.05,440.05,440.05,440.05,3,0
171,440.05,440.05,440.05,440.05,5,0
193,440.05,440.05,440.05,440.05,60,0
227,440.05,440.05,440.05,440.05,28,0
228,440.05,440.05,440.05,440.05,44,0
233,440.05,440.05,440.05,440.05,2,0
234,440.05,440.05,440.05,440.05,2,0
237,440.05,440.05,440.05,440.05,120,0
245,440.05,440.05,440.05,440.05,45,0
254,440.05,440.05,440.05,440.05,2,0
259,440.05,440.05,440.05,440.05,30,0
267,440.05,440.05,440.05,440.05,87,0
277,440.05,440.05,440.05,440.05,7,0
279,440.05,440.05,440.05,440.05,1,0
