EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,349.4,351,346.95,347,653,0
1,350.95,351,349.4,349.4,383,0
2,350.95,350.95,350.75,350.75,19,0
3,350.05,350.9,350,350,338,0
4,350.9,350.9,350,350.05,56,0
5,352,352.75,350.6,350.8,1033,0
6,351.55,351.55,351.55,351.55,2,0
7,351.2,352,351.05,351.05,265,0
8,351.7,351.7,351.2,351.65,127,0
9,351.35,351.65,351,351.2,1316,0
10,351.35,351.35,351,351.05,45,0
11,351.35,351.35,351,351,33,0
13,351.3,351.3,351,351,110,0
14,354,354,351.3,351.3,923,0
15,353.75,353.75,352.5,352.5,27,0
16,352.35,354,352.35,353.8,122,0
17,353.9,353.9,353.9,353.9,1,0
18,353.35,353.35,353.35,353.35,2,0
20,352.8,352.9,352.05,352.05,50,0
21,352.45,352.75,352,352.75,94,0
22,352.05,352.05,351.55,351.55,151,0
23,352.05,352.05,352.05,352.05,5,0
24,351.6,352,351.5,352,27,0
25,351.05,351.15,351,351.15,70,0
26,351,351.15,351,351,24,0
27,352.25,352.5,351,351.15,409,0
28,352.5,352.5,351.5,351.95,214,0
29,352.7,352.8,352.7,352.8,16,0
31,352.45,352.7,352.45,352.7,25,0
32,352.25,352.7,352.25,352.25,106,0
33,352.25,352.25,352.25,352.25,5,0
38,352.2,352.2,352.05,352.05,31,0
39,352.25,352.25,351.05,351.05,298,0
40,351.45,352.2,351.45,351.55,92,0
41,353,354,350.95,351.45,955,0
42,352.45,352.45,352.45,352.45,57,0
43,352.45,352.45,352.45,352.45,12,0
44,351.95,352.45,351.95,352.45,36,0
45,351.95,351.95,351.95,351.95,2,0
47,351.8,351.8,350.3,351.15,66,0
48,350.1,351.3,350.05,350.7,11,0
49,351,352,350.35,350.35,281,0
52,351,351,350.2,350.2,78,0
53,352,352,351,351,542,0
54,352,352,351.05,351.05,396,0
55,351.85,351.85,351.15,351.15,8,0
56,351,352,350,351.05,1032,0
57,350.75,350.85,350,350.3,721,0
58,351.45,351.5,350.05,350.85,429,0
59,351,351.45,350,351.3,178,0
60,351.95,352,351,351,459,0
61,351,351.95,351,351.95,101,0
62,352,352,351.75,352,54,0
63,352,352.35,352,352,46,0
64,354,354.4,352,352,1233,0
65,353.5,354,352.75,354,569,0
66,353.15,353.5,352.05,353.5,20,0
67,353,353,352,352,82,0
68,352.95,353,352.55,352.55,10,0
70,352.45,352.95,351.1,352.05,88,0
72,351.95,352.5,351.2,351.2,1216,0
73,351.5,351.5,351.5,351.5,2,0
74,352,352,351.2,351.2,154,0
75,351.95,351.95,351.1,351.1,16,0
76,352,352,350.85,350.95,2639,0
77,351.85,352,351.6,352,94,0
78,351.7,351.7,351,351,39,0
80,351.65,351.65,351.05,351.05,5,0
82,351.9,352,351.8,351.8,41,0
83,351.95,351.95,351,351.8,112,0
92,351.4,351.4,351,351,5,0
93,351,351.5,351,351.4,352,0
94,351.9,351.9,351,351.5,275,0
96,352,352,351.35,351.35,78,0
98,352,352,352,352,1,0
99,352,352,352,352,1,0
100,351.9,351.95,351.4,351.4,27,0
102,351.85,352,351.65,351.65,16,0
103,352,352,351.65,351.65,3,0
105,351.85,352,351.65,351.65,16,0
106,352,352,351.85,352,472,0
107,352,352,352,352,117,0
108,352,352,351.65,351.65,63,0
109,352,352,351.65,351.65,18,0
110,352,352,351.5,351.5,10,0
111,351.9,352,351.4,351.4,78,0
112,352,352,351.25,351.9,284,0
113,351.85,351.85,351.15,351.15,38,0
114,351.7,351.7,351.15,351.15,81,0
115,352.5,352.5,351.45,352,359,0
116,352.7,352.7,352.3,352.7,5,0
121,351.9,351.95,351.15,351.15,39,0
122,351.95,351.95,351.55,351.9,4,0
124,351.5,351.5,351.5,351.5,9,0
127,351.4,351.4,351.15,351.15,5,0
129,351.3,351.3,351.3,351.3,10,0
130,351.65,351.7,351.15,351.65,21,0
131,351.65,351.65,351.15,351.15,9,0
132,352,352,351,351.65,183,0
133,352,352,352,352,9,0
134,351.95,352,351.05,351.05,354,0
135,352,352,351.95,351.95,21,0
144,351.75,352,351.5,351.5,8,0
147,352,352,351.5,351.5,5,0
150,351.7,351.85,351.5,351.5,54,0
151,351.8,351.8,351.8,351.8,5,0
153,351.8,351.8,351.5,351.5,8,0
156,351.5,351.5,351.5,351.5,5,0
157,351.7,351.7,351.6,351.7,4,0
160,351.5,351.65,351.5,351.5,49,0
161,351.65,351.65,351.65,351.65,5,0
163,351.55,351.55,351.5,351.5,14,0
164,351.6,351.6,351.55,351.55,102,0
165,352,352,351.55,351.55,256,0
166,352,352,352,352,6,0
175,351.95,351.95,351.5,351.5,8,0
177,351.85,351.85,351.5,351.5,4,0
182,351.5,351.5,351.5,351.5,3,0
183,351.95,351.95,351.75,351.75,4,0
186,351.95,351.95,351.5,351.5,8,0
190,353.9,353.9,352.05,352.05,3381,0
