EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,1224,1224,1222,1222,2,0
1,1223.95,1224,1223.95,1224,20,0
2,1224,1224,1224,1224,29,0
3,1221.1,1221.1,1221.1,1221.1,200,0
4,1226.95,1226.95,1226.95,1226.95,20,0
6,1226.9,1226.9,1226.9,1226.9,6,0
8,1222.5,1222.5,1222.5,1222.5,20,0
9,1223.75,1223.75,1222.55,1222.55,12,0
11,1223.75,1223.75,1223.75,1223.75,3,0
13,1222.6,1222.6,1222.6,1222.6,50,0
14,1225.75,1225.75,1225.7,1225.7,59,0
15,1225.15,1226,1225.15,1226,82,0
17,1225.2,1225.2,1225.2,1225.2,5,0
19,1227,1227,1227,1227,59,0
20,1226,1226,1226,1226,5,0
22,1227,1227,1227,1227,441,0
23,1231,1231,1230,1230,86,0
26,1229.05,1229.05,1229.05,1229.05,3,0
29,1230,1230,1230,1230,15,0
30,1231,1231.85,1231,1231.85,60,0
32,1229.05,1229.05,1229.05,1229.05,72,0
35,1225,1229,1225,1229,200,0
38,1229,1229,1229,1229,13,0
39,1225.2,1225.2,1225.2,1225.2,10,0
47,1227.15,1227.15,1226.05,1226.05,24,0
48,1228.4,1228.4,1228.4,1228.4,9,0
54,1228.95,1228.95,1228.95,1228.95,5,0
55,1229,1229,1228.95,1228.95,7,0
59,1229.6,1229.6,1229.6,1229.6,15,0
63,1226.35,1226.35,1226.35,1226.35,10,0
64,1226.35,1226.35,1226.35,1226.35,10,0
66,1228.25,1228.25,1228.25,1228.25,10,0
72,1229.55,1229.55,1229.55,1229.55,2,0
75,1226.7,1226.7,1226.65,1226.7,25,0
80,1229.6,1229.6,1229.6,1229.6,18,0
85,1229.6,1229.6,1229.6,1229.6,18,0
92,1227,1227,1227,1227,4,0
95,1227.9,1227.9,1226,1226.1,111,0
96,1227.95,1227.95,1227.45,1227.45,2,0
97,1229.5,1229.5,1229,1229,59,0
111,1226.55,1226.55,1226.55,1226.55,5,0
113,1226,1226.5,1226,1226.5,290,0
114,1226.75,1226.75,1226,1226,37,0
119,1226.65,1226.65,1226.65,1226.65,1,0
120,1228.45,1228.45,1228.45,1228.45,30,0
130,1225.75,1226.05,1225.75,1226.05,188,0
135,1225.95,1225.95,1225.95,1225.95,5,0
137,1225.95,1225.95,1225.95,1225.95,2,0
138,1225.95,1225.95,1225.95,1225.95,1,0
142,1225.75,1225.75,1225.75,1225.75,1,0
143,1226,1226,1226,1226,7,0
144,1225.9,1226,1225.85,1226,103,0
145,1226,1226,1225.9,1226,78,0
146,1226,1226,1225.9,1226,70,0
147,1227.25,1228.35,1226,1226,198,0
148,1228.35,1228.5,1226,1226,121,0
149,1229.3,1229.95,1228.35,1228.35,45,0
150,1231,1231,1228.7,1228.7,76,0
152,1231.9,1231.9,1231.9,1231.9,103,0
153,1231.9,1231.9,1231.9,1231.9,7,0
154,1231,1231,1231,1231,10,0
155,1233.05,1233.05,1232.95,1232.95,19,0
156,1232.55,1235,1232.55,1233.35,127,0
158,1234,1234,1232.55,1232.55,16,0
159,1234.05,1234.05,1233.3,1233.4,30,0
160,1235.25,1235.25,1234.2,1234.2,47,0
161,1238.8,1238.8,1235.25,1235.25,49,0
162,1238.8,1238.95,1238.15,1238.15,48,0
163,1238.8,1238.8,1238.75,1238.75,45,0
164,1238.8,1238.8,1238.8,1238.8,46,0
165,1238,1238.8,1235.25,1235.25,53,0
166,1239,1239,1238,1238.15,47,0
167,1239,1239,1239,1239,45,0
168,1239,1239,1237.7,1239,46,0
169,1239,1239,1237.1,1238.35,46,0
170,1237.5,1239,1236.45,1237.7,241,0
171,1239.65,1239.65,1237.7,1237.7,111,0
172,1241.95,1241.95,1239.65,1239.65,195,0
173,1230.95,1237.1,1229.25,1236.9,678,0
174,1230.05,1230.1,1230.05,1230.1,54,0
175,1236.25,1236.25,1230.1,1230.1,59,0
176,1236.15,1239.9,1232.55,1235.6,367,0
177,1236.15,1236.15,1233.95,1233.95,46,0
178,1237.4,1237.9,1236,1236.2,39,0
179,1237.9,1237.9,1236.55,1237.55,54,0
180,1238.1,1240.15,1238,1238,109,0
181,1239.25,1240.05,1239,1240.05,77,0
182,1239.1,1239.95,1238.9,1239.25,45,0
183,1239.15,1240,1238.3,1239,55,0
184,1239.05,1239.25,1238.35,1239.25,66,0
185,1238.6,1239.85,1238.15,1239,79,0
186,1243.95,1243.95,1239.85,1239.85,179,0
187,1241.7,1243.7,1241.45,1243.1,192,0
188,1242.95,1243,1241.05,1243,1648,0
189,1245.35,1245.35,1241.6,1241.6,55,0
190,1246.2,1246.95,1245,1246.4,110,0
191,1245.25,1248,1244.95,1244.95,94,0
192,1248.4,1248.7,1241.15,1246.55,147,0
193,1248.55,1248.7,1247.45,1248.7,54,0
194,1248,1248.7,1247.1,1248.7,52,0
195,1247.5,1248.7,1244.65,1247.95,1713,0
