EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,278.2,278.2,278.2,278.2,13,0
1,278.7,278.7,278.7,278.7,2,0
2,278.35,278.65,278.35,278.65,156,0
3,279.2,279.45,278.35,278.35,301,0
4,278.8,279.4,278.05,279.25,622,0
5,278.3,278.75,278.3,278.75,41,0
6,278.75,278.75,278.35,278.75,232,0
8,278.75,278.75,278.75,278.75,25,0
10,279.25,279.25,278.55,278.75,171,0
11,279.1,279.35,279,279,155,0
12,279.15,279.25,278.65,279,504,0
13,279.15,279.5,278.6,279.15,1808,0
14,279.4,279.4,279.15,279.15,129,0
15,279.15,279.15,279.15,279.15,142,0
16,279.15,279.5,279.15,279.4,117,0
21,279.3,279.3,279.15,279.15,146,0
22,278.8,279.15,278.8,279,205,0
24,279,279,279,279,1,0
26,279.25,279.25,279,279.05,224,0
28,278.8,279.15,278.6,279.05,1654,0
32,279,279,279,279,18,0
33,278.85,279.4,278.85,279.4,614,0
34,279.1,279.1,279.1,279.1,1,0
35,279,279.35,278.05,278.05,657,0
38,279,279,279,279,25,0
39,278.8,279,278.8,279,97,0
40,278.6,278.9,278.6,278.8,214,0
41,278.6,278.85,278.6,278.85,127,0
45,278.6,278.6,278.6,278.6,7,0
55,278.5,278.95,278.4,278.8,1132,0
56,278.5,278.85,278.5,278.5,280,0
58,278.5,278.8,278.5,278.5,219,0
59,278.5,278.65,278.5,278.5,48,0
60,278.05,278.55,278.05,278.5,578,0
61,278.05,278.35,278.05,278.05,153,0
62,278.1,278.5,278.05,278.05,30,0
64,278.15,278.4,278,278.15,462,0
65,278,278.15,278,278.05,315,0
66,277.3,278,277.25,278,582,0
67,277.7,277.7,277,277.3,698,0
68,277.3,277.85,277.1,277.1,493,0
69,277.35,277.75,277.35,277.4,42,0
75,277.1,277.8,277.05,277.35,1057,0
76,277.1,277.8,277.1,277.8,623,0
77,277.1,277.25,277.1,277.25,17,0
83,277.1,277.5,277,277,420,0
