EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,877.7,881.85,873.05,873.05,4343,0
1,879.5,879.8,877.15,877.15,479,0
2,879.6,881.15,878.25,879.8,2989,0
3,882.7,883,878.75,879.6,2967,0
4,882,882,880.45,880.45,2715,0
5,881.9,882.4,881.15,882.3,722,0
6,879.1,881.7,878.3,881.7,2432,0
7,878.6,879.7,877.15,879,2165,0
8,879,879.5,878.35,878.75,535,0
9,878.3,879.15,878.2,879,255,0
10,878.9,878.9,878.25,878.3,323,0
11,878,879,878,878,1128,0
12,876,876.85,875.15,876.5,840,0
13,877,877,876,876.5,471,0
14,876.9,877,876.9,877,155,0
15,876.6,876.6,876.3,876.3,488,0
16,875.1,876.3,875,876.3,1007,0
17,874.8,875.7,873.55,875.5,1443,0
18,875.4,875.85,874,874.25,482,0
19,876.4,876.5,875.55,875.9,435,0
20,874.95,877,874.95,876.2,1304,0
21,878,878,875.8,875.8,493,0
22,878.5,879.1,878,878,1171,0
23,880,880,878.4,878.45,739,0
24,882.45,882.45,879.65,880,2598,0
25,881.6,882.7,881.6,882.3,731,0
26,880.85,882.7,880.85,882.7,764,0
27,882,882,880.5,880.65,1164,0
28,882.5,882.5,882,882.4,1171,0
29,884.9,884.9,882.25,882.7,1843,0
30,885.65,887,884.3,884.9,3466,0
31,885.45,886.1,885.25,885.65,1208,0
32,886.4,887,885.85,886.2,1435,0
33,886.5,886.75,886,886.75,1079,0
34,886.65,887,885.45,886.5,2744,0
35,886.4,886.85,885.85,886.3,1215,0
36,884,886,884,886,2839,0
37,885.7,885.7,884.05,884.05,409,0
38,884.4,885,884.4,884.5,1313,0
39,882.1,885.5,882.1,885.5,1730,0
40,881.8,882.8,881.8,882.4,1191,0
41,884,884,881.15,881.15,1227,0
42,883.35,883.35,883.05,883.05,391,0
43,884.35,885,883.3,883.3,2024,0
44,884.35,884.45,883.8,884.15,135,0
45,884.3,884.45,883.55,884.25,323,0
46,883,883.9,883,883.9,288,0
47,881.8,882.5,881.8,881.85,1052,0
48,881.8,881.8,881.8,881.8,300,0
49,883.7,883.7,882.75,882.75,171,0
50,883.4,883.9,883.25,883.7,423,0
51,883.1,884,883.1,884,155,0
52,883.05,883.05,881.8,883.05,293,0
53,881.45,882.6,881.45,882.6,1533,0
54,881,881.25,880.55,880.6,583,0
55,880.65,881,880.65,880.7,362,0
56,879.95,879.95,878.35,879.95,2951,0
57,880.8,880.8,878.6,878.65,230,0
58,878.6,880.1,878.6,880.1,776,0
59,879,879.55,878.5,878.6,908,0
60,875.9,878.7,874.05,878.7,3194,0
61,875.6,876.25,874.85,876.25,437,0
62,876.25,876.25,875,875,1249,0
63,875.45,876.35,875,876.35,1159,0
64,876.3,876.3,875.5,875.85,729,0
65,875.35,875.6,875,875.5,1298,0
66,873.6,875.3,871.55,875.3,5370,0
67,872.6,873.6,872.5,873,291,0
68,873.95,873.95,872.55,872.55,329,0
69,874,874.65,874,874.65,1872,0
70,873,874.2,873,874,497,0
71,872.45,873.3,872,873,905,0
72,875.55,875.55,871.7,872.9,1573,0
73,875.05,875.6,875,875.45,51,0
74,875.5,875.5,875,875,65,0
75,875,875,875,875,26,0
76,875.05,875.5,875,875.5,233,0
77,875.45,875.45,875.05,875.05,310,0
78,875.5,875.5,874.45,874.85,1372,0
79,874.8,875.95,874.8,875.95,377,0
81,875.4,875.4,875.4,875.4,5,0
82,874.7,875.75,874.7,875.35,992,0
83,874.75,875.25,874.5,874.7,999,0
