EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,2670,2674.4,2670,2674.4,36,0
1,2661,2674.4,2661,2674.4,15,0
3,2674.4,2674.4,2674,2674,25,0
6,2681.45,2681.45,2681.45,2681.45,2,0
8,2684.55,2684.55,2681.45,2681.45,10,0
9,2678.45,2678.45,2678.45,2678.45,6,0
10,2679,2679,2679,2679,10,0
12,2680,2680,2680,2680,24,0
13,2680,2680,2680,2680,1,0
15,2680,2680,2680,2680,7,0
16,2684.55,2684.55,2684.55,2684.55,1,0
18,2680.05,2680.05,2680.05,2680.05,1,0
19,2680.05,2680.05,2680.05,2680.05,2,0
22,2679.05,2683.6,2679.05,2680,30,0
25,2685,2685,2685,2685,10,0
28,2678.6,2678.6,2678.6,2678.6,1,0
31,2684.95,2684.95,2680.05,2680.05,2,0
34,2685,2685,2685,2685,3,0
36,2685,2685,2685,2685,2,0
37,2685,2685,2685,2685,1,0
49,2687.65,2687.65,2687.65,2687.65,5,0
51,2690,2690,2690,2690,2,0
52,2690,2690,2690,2690,2,0
55,2687.95,2687.95,2687.95,2687.95,2,0
61,2687.9,2687.9,2687.9,2687.9,1,0
62,2684.65,2686.95,2684.65,2686.95,11,0
70,2684.65,2689.95,2684.65,2689.95,13,0
71,2675.4,2684.7,2655,2655,254,0
72,2684.6,2684.6,2675,2675,17,0
76,2687,2687,2687,2687,5,0
