EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,62.4,62.8,62,62,644534,0
1,61.65,62.25,61.55,62.25,141505,0
2,61.4,61.75,61.35,61.6,100284,0
3,61.75,61.9,61.4,61.4,105947,0
4,61.8,61.9,61.5,61.75,77449,0
5,61.9,62,61.65,61.75,70372,0
6,61.5,61.85,61.45,61.8,99538,0
7,61.6,61.6,61.25,61.5,90711,0
8,61.4,61.6,61.3,61.6,77555,0
9,61.4,61.45,61.3,61.4,25533,0
10,61.2,61.4,61.15,61.4,69656,0
11,61.1,61.5,61.1,61.3,128067,0
12,60.8,61.2,60.55,61.2,276220,0
13,60.8,60.95,60.7,60.8,66562,0
14,60.75,60.9,60.7,60.75,60178,0
15,60.65,60.75,60.55,60.75,37910,0
16,60.8,60.8,60.65,60.7,49890,0
17,60.8,60.9,60.7,60.7,41276,0
18,61,61.2,60.8,60.9,89188,0
19,60.95,61,60.9,61,13284,0
20,60.9,60.95,60.85,60.9,13250,0
21,60.85,60.95,60.8,60.9,5412,0
22,60.7,60.9,60.7,60.85,21360,0
23,60.9,61.05,60.55,60.8,117410,0
24,61.15,61.15,60.8,60.9,18043,0
25,61.25,61.3,61.1,61.1,13020,0
26,61.8,61.8,61.1,61.25,200843,0
27,62,62,61.6,61.6,787864,0
28,61.95,62,61.9,61.95,289249,0
29,61.9,62,61.9,62,44647,0
30,61.9,62,61.8,61.9,69204,0
31,61.95,62,61.85,61.95,49381,0
32,61.8,61.95,61.8,61.9,31516,0
33,61.75,61.9,61.75,61.8,34001,0
34,61.5,61.75,61.45,61.75,121814,0
35,61.5,61.55,61.4,61.5,43177,0
36,61.6,61.65,61.45,61.5,45109,0
37,61.5,61.6,61.5,61.55,20138,0
38,61.35,61.55,61.3,61.55,38343,0
39,61.3,61.4,61.25,61.35,32777,0
40,61.1,61.3,61,61.3,62054,0
41,60.95,61.1,60.9,61.1,32104,0
42,61.15,61.15,60.9,60.95,32430,0
43,61.15,61.2,61.1,61.15,24202,0
44,61.15,61.15,61.05,61.1,7429,0
45,61.15,61.15,61.1,61.15,6675,0
46,61.05,61.15,61,61.15,22263,0
47,60.8,61.1,60.8,61.05,27765,0
48,60.9,61,60.9,60.9,17781,0
49,61.1,61.1,60.9,60.9,7469,0
50,61.15,61.15,61,61,17835,0
51,61.15,61.25,61.05,61.2,9153,0
52,61.1,61.2,61.1,61.1,8284,0
53,60.9,61.15,60.9,61.1,38766,0
54,60.85,60.95,60.85,60.95,7984,0
55,60.95,61,60.9,60.9,1733,0
56,60.9,61,60.85,60.95,13563,0
57,61.15,61.15,60.9,60.9,41574,0
58,61.2,61.3,61.05,61.15,42608,0
59,61.2,61.25,61.2,61.2,24269,0
60,61.05,61.25,61.05,61.2,32765,0
61,61.15,61.2,61.05,61.05,20155,0
62,61.25,61.3,61.2,61.25,10658,0
63,61.25,61.3,61.2,61.2,8053,0
64,61.2,61.3,61.15,61.25,6996,0
65,61.1,61.2,61.1,61.2,9369,0
66,60.8,61.05,60.55,61.05,100100,0
67,60.8,60.9,60.8,60.85,11127,0
68,60.8,60.8,60.75,60.8,12023,0
69,60.6,60.75,60.5,60.7,26615,0
70,60.6,60.7,60.55,60.55,27285,0
71,60.35,60.65,60.3,60.55,88373,0
72,60.4,60.4,60.25,60.35,34159,0
73,60.4,60.55,60.3,60.45,40492,0
74,60.4,60.65,60.4,60.4,20103,0
75,60.45,60.55,60.45,60.45,30145,0
76,60.35,60.45,60.3,60.4,24447,0
77,60.3,60.35,60.15,60.35,52413,0
78,59.95,60.3,59.9,60.3,94815,0
79,60,60.1,59.9,60,35575,0
80,59.9,60.1,59.9,60,30754,0
81,59.85,59.95,59.85,59.95,22352,0
82,59.7,59.9,59.7,59.9,53195,0
83,59.7,59.8,59.65,59.7,35760,0
