EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,142.8,144,142.8,144,3761,0
1,142.5,143,142.1,142.8,3080,0
2,142.05,142.05,141.85,141.85,552,0
3,142.2,143.3,141.85,141.85,1970,0
4,142.8,143.4,142.75,142.75,2464,0
5,142.5,142.75,142.1,142.75,1918,0
6,141.8,142.5,141.8,142.5,1499,0
7,141.8,142.15,141.8,141.8,1622,0
8,142.75,142.75,142,142,1809,0
9,142.2,142.7,142.05,142.7,832,0
10,142.95,142.95,142.5,142.5,800,0
11,143,143,142.75,142.75,204,0
12,142.8,143.1,142.8,143.1,1155,0
13,142.75,142.75,142.75,142.75,465,0
14,142.35,142.35,142.35,142.35,100,0
15,142.4,142.4,142.4,142.4,212,0
16,142.55,142.55,142.4,142.4,318,0
17,142.5,142.5,142.5,142.5,95,0
18,142.65,142.65,142.65,142.65,1,0
19,142.55,142.55,142.55,142.55,25,0
20,142.35,142.45,142.35,142.45,301,0
21,142.15,142.35,142.15,142.3,1919,0
22,142.05,142.15,142.05,142.1,532,0
23,142.05,142.15,141.9,142.15,1258,0
24,142.05,142.05,141.95,142,777,0
25,141.9,142.15,141.9,141.95,610,0
26,141.9,141.9,141.9,141.9,239,0
27,141.9,141.9,141.9,141.9,2,0
28,142,142,142,142,100,0
29,142,142.15,142,142.05,682,0
30,142.2,142.2,142.2,142.2,80,0
31,142.3,142.3,142.3,142.3,218,0
32,142.3,142.3,142.3,142.3,60,0
33,142.4,142.4,142.4,142.4,20,0
35,142.3,142.3,142.3,142.3,25,0
37,142.35,142.4,142.35,142.4,51,0
38,142.2,142.3,142.1,142.3,461,0
40,142.05,142.2,142.05,142.2,452,0
41,142.3,142.45,142,142.05,2359,0
42,142.3,142.3,142.3,142.3,185,0
43,142.5,142.7,142,142,1404,0
44,142.5,142.5,142.5,142.5,1,0
45,142.5,142.7,142.5,142.5,90,0
46,142.8,142.8,142.7,142.75,342,0
47,142.7,142.75,142.7,142.75,78,0
48,142.5,142.5,142.5,142.5,75,0
49,142.75,142.75,142.75,142.75,5,0
50,142.7,142.7,142.7,142.7,1,0
51,142.75,142.75,142.7,142.7,166,0
52,142.7,142.7,142.7,142.7,30,0
53,142.7,142.7,142.7,142.7,71,0
54,142.75,142.75,142.65,142.65,85,0
55,142.8,142.8,142.8,142.8,405,0
56,142.7,142.95,142.7,142.95,715,0
58,142.55,142.55,142.55,142.55,25,0
59,142.55,142.55,142.55,142.55,80,0
60,142.5,142.5,142.5,142.5,1,0
62,142.3,142.3,142.3,142.3,1,0
63,142.15,142.4,142.15,142.3,233,0
65,142.1,142.15,142.1,142.15,65,0
67,141.8,141.9,141.8,141.9,1051,0
68,142.1,142.1,142.1,142.1,238,0
71,142.1,142.35,142.1,142.1,267,0
72,142.1,142.1,142.1,142.1,200,0
73,142.05,142.05,142.05,142.05,1,0
74,142.1,142.35,142.1,142.35,300,0
75,142.3,142.3,142.3,142.3,25,0
77,142.3,142.3,142.05,142.05,90,0
78,142.05,142.05,142.05,142.05,100,0
81,142.05,142.05,142.05,142.05,25,0
82,142.05,142.05,142.05,142.05,10,0
83,142.2,142.2,142.2,142.2,3,0
