EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490300,1520.7,1520.7,1520.7,1520.7,25,0
1,1524.95,1529.45,1520,1520,1604,0
2,1520.95,1527,1520,1527,808,0
3,1523.65,1525.5,1521.45,1521.55,1362,0
4,1527,1527,1523.7,1524.1,320,0
5,1528.9,1529.85,1527.75,1527.75,525,0
6,1526.3,1529.25,1524.7,1528,1438,0
7,1525.9,1526.15,1524.35,1524.35,1497,0
8,1526.75,1526.8,1525.95,1526.15,627,0
9,1526,1527.65,1525.85,1527.65,674,0
10,1526.6,1527.25,1525.5,1526,376,0
11,1526.25,1526.6,1525.9,1526.6,311,0
12,1524.5,1526.15,1524.5,1526.15,35,0
13,1523.05,1526,1523.05,1525.35,1373,0
14,1524.1,1525.7,1524.1,1524.95,33,0
15,1528,1528,1524.05,1524.1,2447,0
16,1523.55,1528.4,1523.55,1528.4,1461,0
17,1521.2,1524.05,1521.2,1523.55,4486,0
18,1515.05,1521.85,1515,1521.2,5042,0
19,1516,1517,1514.45,1515.6,2390,0
20,1516,1516.7,1514.55,1516,1474,0
21,1515,1516,1514.85,1516,549,0
22,1513,1515.85,1512.65,1515,1657,0
23,1512.4,1514.25,1510.55,1513.9,994,0
24,1512.8,1513,1511,1512.65,1055,0
25,1511.25,1512.3,1510.9,1512.3,915,0
26,1508.7,1512.7,1508,1510.5,6749,0
27,1509.45,1511.8,1509,1510.7,1066,0
28,1510,1511.35,1509.4,1509.45,1375,0
29,1511.65,1511.95,1510.5,1510.7,454,0
30,1509.95,1512,1508.5,1511.45,1094,0
31,1507,1508.5,1506,1508.5,1258,0
32,1508.15,1508.5,1506.5,1506.5,1297,0
33,1509.3,1510.8,1508,1508.15,3231,0
34,1510.85,1512.6,1508.25,1508.25,409,0
35,1511,1511.2,1510,1510.5,1046,0
36,1510.5,1511.35,1509.8,1509.8,1400,0
37,1508.45,1510.6,1508.45,1510.05,735,0
38,1509.3,1509.9,1508.45,1509.9,366,0
39,1508.55,1508.95,1508.55,1508.95,136,0
40,1509,1509.15,1508,1509.15,374,0
41,1508.95,1508.95,1508,1508,70,0
42,1508.6,1509.35,1508.6,1509,799,0
43,1509.85,1511.45,1508.1,1508.6,3104,0
44,1509.5,1509.6,1509,1509.6,256,0
45,1509,1509.5,1508,1509.5,405,0
46,1508,1508.5,1508,1508,1088,0
47,1505.65,1508.15,1505.05,1508.15,3540,0
48,1505.7,1506.75,1504,1504,1495,0
49,1507,1507,1505.9,1505.9,603,0
50,1508.2,1510,1505.2,1510,4340,0
51,1507,1507.95,1505,1507.95,840,0
52,1507.6,1507.8,1507.4,1507.4,200,0
53,1505.8,1507.8,1505.8,1507.8,477,0
54,1506.7,1507,1505.5,1505.7,431,0
55,1505.45,1506.95,1505.45,1506.5,134,0
56,1507,1507,1506,1506.25,63,0
57,1507.5,1508,1507,1507,458,0
58,1508.75,1508.75,1508,1508,164,0
59,1509.6,1511.6,1509.5,1509.5,1020,0
60,1507.5,1510.85,1507.5,1509.9,911,0
61,1509.55,1509.55,1506.7,1507,248,0
62,1510,1511.95,1507.75,1509.6,2723,0
63,1512.25,1514.85,1510,1510.9,3561,0
64,1512.8,1512.95,1511.75,1512.95,4314,0
65,1514.2,1515.8,1512.95,1513,3737,0
66,1512,1515.65,1511,1515.5,2846,0
67,1509.7,1512.45,1508.05,1512.2,2017,0
68,1509.95,1509.95,1508.55,1509.1,1107,0
69,1510.6,1510.65,1509.85,1509.95,1094,0
70,1511.15,1512,1510.45,1510.95,1927,0
71,1511.3,1511.4,1510.6,1511,1463,0
72,1510.95,1511.5,1510.8,1511.1,290,0
73,1510.95,1511,1510.15,1510.95,574,0
74,1510.7,1510.85,1510,1510.75,792,0
75,1510.85,1511,1510.85,1511,296,0
76,1511.9,1512.05,1510.85,1510.85,1164,0
77,1509.6,1511.75,1509.6,1511.5,1914,0
78,1509.5,1510,1508,1509.95,1248,0
79,1508.05,1509.85,1507.5,1507.5,1029,0
80,1509.15,1509.15,1507.5,1507.6,637,0
81,1509.9,1509.9,1507.7,1507.8,206,0
82,1507.2,1509.9,1505.25,1509.9,1215,0
83,1498.8,1506.8,1498.4,1506.8,7976,0
84,1500,1500.9,1498.9,1500.8,2863,0
85,1499,1500,1498.5,1500,888,0
86,1497.85,1499,1497.05,1499,1054,0
87,1495.8,1498,1494.5,1497.85,1458,0
88,1494.95,1496,1494.95,1495.8,611,0
89,1495.7,1496.15,1495,1495.8,2828,0
90,1495.8,1497,1495.2,1495.6,631,0
91,1494.8,1495.75,1493.3,1495.75,2769,0
92,1494.45,1494.85,1493.65,1494.85,472,0
93,1494,1494.45,1494,1494,714,0
94,1492.9,1495.05,1492.1,1494.4,1521,0
95,1492.5,1493.05,1490.25,1493.05,1465,0
96,1490.5,1495,1490.5,1492.5,2275,0
