EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,632.25,635.1,630.8,635.1,12793,0
1,631.4,632,630.5,631.5,6934,0
2,631.2,632.5,629.6,629.7,20989,0
3,631.65,632.75,630.4,631.5,22350,0
4,631.95,632,631.3,631.65,3402,0
5,631.85,633,631.7,631.95,2889,0
6,632.4,632.4,631.1,631.85,6124,0
7,632,633.2,631.75,632.85,6504,0
8,632.05,632.45,631.65,632.1,4395,0
9,632.25,632.85,631.85,632,2727,0
10,632,632.7,631.95,632.05,3242,0
11,632.1,632.5,632,632,1400,0
12,632.35,632.6,631.9,632.25,3499,0
13,632.3,632.6,632.15,632.45,2309,0
14,632.1,632.65,632.05,632.55,6401,0
15,632,632.6,631.55,632.1,6477,0
16,631.6,631.9,631.6,631.75,1055,0
17,631.3,631.65,631,631.65,2479,0
18,630.9,631.15,630.05,631.1,4520,0
19,631,631.15,630.5,630.9,3227,0
20,631.45,631.5,631,631,1249,0
21,631.4,631.45,631.25,631.45,660,0
22,630.75,631.3,630.55,631.25,6036,0
23,630.7,630.8,630.6,630.7,1090,0
24,630.5,630.6,630.3,630.6,2418,0
25,630.05,630.4,630.05,630.4,561,0
26,630.05,630.3,630.05,630.1,1860,0
27,628.5,629.9,628.1,629.85,13641,0
28,629.15,629.2,628.5,628.6,3477,0
29,629.5,629.5,629,629,2051,0
30,630,630,629.5,629.75,2064,0
31,629.4,630,629.15,629.9,1526,0
32,629.45,629.5,629.1,629.3,814,0
33,629,629.55,628.5,629.35,8571,0
34,629.45,629.7,629.15,629.15,2510,0
35,629.3,629.75,629.2,629.45,3714,0
36,629.75,629.8,629.25,629.75,806,0
37,630,630,629.75,629.75,901,0
38,630.55,630.55,629.5,629.9,4301,0
39,631.45,631.6,630.35,630.35,8027,0
40,631.4,631.8,631,631.6,6385,0
41,631.35,631.35,631.1,631.2,483,0
42,631.35,631.4,631.2,631.35,3279,0
43,631.45,631.5,631.35,631.35,566,0
44,631.5,631.5,631.25,631.35,1889,0
45,632.35,632.35,631.5,631.5,2891,0
46,632.8,632.9,632.2,632.2,3444,0
47,633.2,633.2,632.8,632.9,5246,0
48,633.2,633.45,633.15,633.45,1694,0
49,633.2,633.3,633.15,633.3,2802,0
50,633.65,633.85,633,633.15,9767,0
51,633.6,633.95,633.2,633.7,1362,0
52,633.5,633.65,633.4,633.65,2143,0
53,633.05,633.5,633.05,633.4,1273,0
54,633.75,633.85,633,633,3031,0
55,634.9,634.9,634,634,6987,0
56,635,635,634.75,634.95,8380,0
57,635.75,635.95,634.5,634.95,11027,0
58,636.75,636.95,635.8,635.8,17368,0
59,636.65,636.85,636.05,636.6,7588,0
60,636.35,636.5,636,636.5,6262,0
61,635.5,636.6,635.5,636.15,5661,0
62,634.9,635.5,634.5,635.35,3725,0
63,635.7,635.8,634.85,634.85,4520,0
64,635.7,636,635.65,635.7,2275,0
65,636.35,636.35,635.5,635.8,6436,0
66,636.65,636.75,636.05,636.35,4569,0
67,636.8,636.95,636.3,636.35,1616,0
68,637.4,638.25,636.8,636.8,16349,0
69,637.15,639.15,636.9,637.4,41786,0
70,638.4,638.9,637.8,638,16304,0
71,637.85,638.4,637.3,638.3,18179,0
72,637.35,637.85,637.15,637.85,13407,0
73,638.35,638.5,637.35,637.35,8981,0
74,638.25,638.5,637.95,638.35,5656,0
75,638.75,638.9,638.25,638.25,6331,0
76,639.9,639.9,638.75,638.75,12588,0
77,638.9,640.5,638.9,639.9,36843,0
78,639.95,639.95,639.05,639.25,4862,0
79,640.6,640.8,639.75,639.75,8508,0
80,640,640.85,639.95,640.6,11420,0
81,639.9,640,639,640,9063,0
82,639.9,640,639.6,639.7,6812,0
83,639.6,639.95,639.6,639.9,3024,0
84,640,640,639.5,639.5,5699,0
85,640.55,640.55,639.85,640,10304,0
86,641.1,641.1,640.55,640.8,10074,0
87,641.1,641.8,641,641.35,19336,0
88,640.8,641.35,640.2,641.15,12315,0
89,641,641,640.55,640.8,5877,0
90,640.9,641.2,640.5,641.1,4437,0
91,640.5,640.9,640.25,640.9,6813,0
92,639.8,640.5,639.25,640.5,11237,0
93,639.85,639.85,639.5,639.65,3232,0
94,639.5,639.8,639.2,639.8,5257,0
95,639.6,640,639.3,639.5,6363,0
96,641.25,641.25,639.7,639.7,11906,0
97,642.5,642.8,640.8,641.05,26017,0
98,644,644,642.3,642.65,19971,0
99,643.5,644.2,643.25,644.1,20143,0
100,643.3,643.85,643.25,643.45,7951,0
101,643.7,643.85,643.2,643.25,9573,0
102,643.5,644,643,643.65,15043,0
103,643.95,644,643.1,643.1,10398,0
104,643.5,644,643.4,643.9,10353,0
105,643.7,643.75,643.05,643.25,10815,0
106,643.55,643.75,643.3,643.5,12632,0
107,643.55,643.75,643.3,643.3,5257,0
108,645,645,643.55,643.55,18093,0
