EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,427.65,427.65,426.9,426.9,445,0
1,428.2,428.75,428.2,428.75,25,0
2,427.7,428.45,427.7,428.25,668,0
3,428.85,428.95,428.15,428.6,69,0
4,429,429,428.85,428.85,102,0
5,428.95,428.95,428.95,428.95,1,0
6,429.5,429.5,428.3,428.3,570,0
7,429.15,430,429.15,429.85,261,0
8,430,430,430,430,565,0
9,429.35,429.35,429.35,429.35,21,0
10,430.5,431,429.75,429.75,480,0
11,430.6,430.95,430,430.95,643,0
12,430.55,430.6,430.55,430.6,14,0
13,432.4,432.4,430.4,431,713,0
14,431.85,431.9,431.85,431.9,214,0
15,431.75,431.85,431.75,431.85,124,0
16,431.05,431.75,430.7,431.75,226,0
17,431.05,431.05,430.4,430.65,109,0
18,431.15,431.2,430.5,430.55,374,0
19,430.8,431.15,430.6,430.7,463,0
20,430.1,431,430.1,430.6,231,0
21,430.15,430.55,430.15,430.55,4,0
22,430.85,430.85,430.05,430.05,106,0
23,430.05,430.05,430.05,430.05,317,0
24,430.5,430.5,430.5,430.5,50,0
25,429.4,430.45,429.4,430.45,493,0
26,430.05,430.05,430.05,430.05,818,0
27,430.1,430.6,430.05,430.05,95,0
28,430.1,430.6,430.1,430.3,186,0
29,430.1,430.1,430.1,430.1,30,0
30,430.1,430.8,430.1,430.1,450,0
32,430.1,430.1,430.1,430.1,68,0
33,430.85,430.85,430.1,430.75,656,0
34,430.4,431.7,430.4,431.7,44,0
35,430.75,430.8,430.75,430.75,26,0
36,431.35,431.35,431.35,431.35,92,0
37,431.65,431.75,431,431.35,281,0
39,431.2,431.2,431.2,431.2,61,0
40,431.05,431.15,431.05,431.15,701,0
42,430.4,430.4,430.4,430.4,10,0
43,430.45,430.45,430.45,430.45,38,0
44,430.45,430.45,430.45,430.45,10,0
45,431.05,431.05,430.5,430.5,21,0
46,430.9,431.05,430.9,431.05,39,0
47,430.9,431.05,430.9,431.05,103,0
48,430.5,431.2,430.5,431.2,40,0
49,431,431.1,431,431.1,6,0
50,430.55,430.55,430.55,430.55,43,0
51,430.5,430.55,430.5,430.5,55,0
52,430.5,431,430.5,431,33,0
53,430.4,430.5,430.4,430.5,200,0
54,430.4,430.85,430.4,430.85,30,0
55,430.4,430.4,430.4,430.4,30,0
57,430.15,430.4,430.15,430.4,49,0
58,430,430,430,430,165,0
59,429.4,429.4,429.4,429.4,20,0
60,429.55,429.55,429.55,429.55,20,0
62,429.85,429.85,429.3,429.3,62,0
63,429.8,429.8,429.3,429.8,34,0
65,429.8,429.8,429.15,429.15,169,0
66,429.8,429.8,429.8,429.8,200,0
67,429.25,429.25,429.25,429.25,35,0
68,429.3,429.3,429.3,429.3,50,0
69,429.25,429.25,429.25,429.25,4,0
70,429.5,429.5,429.25,429.25,51,0
71,429.75,429.75,429.75,429.75,2,0
73,429.25,429.25,429.25,429.25,10,0
74,431.1,431.1,430,430,729,0
75,430.75,430.75,430.25,430.25,150,0
76,430.75,431,430.75,431,60,0
77,429.45,429.45,429.45,429.45,10,0
78,430.4,430.4,429.85,429.85,35,0
79,430.45,430.45,430.45,430.45,10,0
