EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,256.85,257.65,253.3,257.65,479,0
1,257.65,257.95,255.95,256.5,259,0
2,257.6,257.6,257.5,257.5,72,0
3,256.8,257.4,256.25,257.4,77,0
4,256.3,256.85,255.8,256.85,590,0
5,258.25,258.25,255.95,256.05,1104,0
8,258,258,256.4,257.7,357,0
10,257.5,258,257.5,258,23,0
11,257.25,257.85,257.2,257.2,31,0
12,257.8,257.8,257.25,257.25,36,0
13,257.85,257.85,257.25,257.3,29,0
15,257.75,257.75,257.75,257.75,10,0
20,258.2,258.2,257.25,257.25,57,0
21,258.6,258.6,258,258.5,37,0
23,258.6,258.6,258.6,258.6,26,0
24,259,259,258.6,258.6,10,0
25,259.8,259.9,258.7,259,981,0
26,259.9,259.9,258.7,258.7,777,0
29,260,260,260,260,150,0
30,259.8,259.8,259.3,259.8,31,0
32,259.8,259.8,259.8,259.8,8,0
33,259.8,259.8,259.05,259.3,207,0
35,260,260,260,260,500,0
36,259.95,260,259.95,260,343,0
37,259.8,259.8,259.3,259.3,71,0
38,259.8,259.8,259.6,259.6,72,0
39,259.8,259.8,259.8,259.8,97,0
40,259.4,259.4,259.4,259.4,68,0
41,260,260,260,260,25,0
43,260,260,260,260,215,0
44,260.25,260.25,260.25,260.25,2,0
45,260,260,259.8,260,203,0
48,260,260,260,260,294,0
50,260,260,260,260,176,0
51,260,260,260,260,1,0
53,260,260,259.8,259.8,57,0
54,260,260,260,260,10,0
55,259.95,259.95,259.95,259.95,23,0
56,259.8,259.8,259.8,259.8,62,0
59,260,260,260,260,216,0
60,259.5,259.8,259,259.8,270,0
61,259.4,259.4,258.85,258.85,29,0
64,259.45,259.45,258.7,258.7,183,0
65,259.3,259.3,259.3,259.3,1,0
66,259.5,259.5,259,259.45,159,0
69,259.5,259.5,259,259,6,0
70,259,259,258.9,258.9,44,0
71,258.7,258.7,258.7,258.7,7,0
72,258.95,258.95,258,258,136,0
76,258.95,258.95,258.95,258.95,14,0
78,258.95,258.95,258.4,258.4,29,0
83,258.95,258.95,258.35,258.35,51,0
