EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1127.6,1128.95,1126,1126,153,0
1,1127.9,1129.4,1127.6,1127.6,302,0
2,1129,1130,1126.8,1126.8,426,0
3,1130,1130,1128.6,1129.75,861,0
4,1128,1130,1128,1129.25,345,0
5,1126.35,1127.45,1125.8,1127.45,188,0
6,1127.9,1128.95,1127.6,1127.65,191,0
7,1127.9,1127.9,1126.05,1126.05,145,0
8,1127.6,1127.6,1127.55,1127.6,369,0
10,1127,1127,1127,1127,201,0
11,1125.2,1126.25,1125.2,1126.25,167,0
12,1123.25,1124.5,1123.05,1124.5,610,0
13,1122,1123.15,1122,1123,654,0
14,1122.1,1122.95,1121.35,1122.95,722,0
15,1121.45,1121.8,1120.8,1120.8,209,0
16,1121.15,1122.55,1121.15,1121.5,290,0
17,1122.5,1122.5,1122.5,1122.5,10,0
18,1122.75,1122.75,1122.75,1122.75,5,0
19,1122.95,1122.95,1122.75,1122.75,52,0
20,1118.05,1123.25,1118.05,1122.75,1944,0
21,1119.2,1121,1117.5,1119,473,0
22,1120,1120,1120,1120,250,0
23,1121.35,1122.4,1119.6,1120,1194,0
24,1121.85,1122.15,1121.25,1121.35,699,0
25,1121.6,1121.85,1120.5,1121.85,107,0
26,1121.85,1121.85,1120.45,1120.45,20,0
27,1121.6,1121.6,1121.3,1121.6,116,0
28,1120.5,1121.55,1120.5,1120.5,24,0
29,1120.65,1121.55,1120.65,1121.55,47,0
30,1120.6,1120.6,1119.5,1119.5,366,0
31,1121.35,1121.35,1120.1,1120.5,323,0
32,1121.9,1121.9,1121.6,1121.6,29,0
33,1124.15,1124.15,1122.4,1122.4,381,0
34,1124,1124.7,1124,1124.7,71,0
35,1123.65,1124,1123.65,1124,43,0
36,1124,1124,1123.4,1124,7,0
37,1123.4,1124.5,1123.4,1124,62,0
38,1121,1122.15,1121,1122,331,0
39,1121.25,1122.6,1120.85,1122,620,0
40,1122.85,1122.85,1122.85,1122.85,1,0
42,1121.7,1121.7,1121.7,1121.7,5,0
43,1122.8,1122.8,1121.7,1121.7,7,0
44,1122.45,1122.45,1122.45,1122.45,16,0
45,1122.45,1122.45,1122.45,1122.45,50,0
46,1122.6,1122.6,1122.6,1122.6,6,0
47,1121.7,1122.6,1120.05,1122.6,227,0
48,1121.8,1121.85,1121.65,1121.65,17,0
49,1122,1122,1122,1122,2,0
50,1121.85,1121.85,1121.8,1121.8,23,0
51,1122,1122,1122,1122,774,0
52,1123.7,1123.9,1122.35,1122.35,418,0
53,1122.2,1124.15,1122.2,1123.75,438,0
54,1122,1123.75,1120.75,1122,718,0
55,1124.75,1125,1120.9,1121.3,205,0
56,1124.55,1124.55,1124.55,1124.55,1,0
57,1123,1123,1123,1123,53,0
58,1123.65,1123.65,1123,1123,267,0
59,1123,1123,1123,1123,5,0
60,1123,1123,1123,1123,413,0
61,1122.25,1123,1122.25,1123,24,0
62,1122.15,1123,1122.15,1123,104,0
63,1123.5,1125,1123,1123,371,0
65,1124.95,1125,1124.8,1124.8,25,0
66,1125.25,1125.25,1121.25,1124,1043,0
67,1123.1,1128,1122.75,1125.95,1415,0
68,1123.6,1127.85,1122.5,1124.5,1113,0
69,1126.5,1126.5,1123.5,1124,523,0
70,1126.6,1126.95,1124.75,1126.5,174,0
71,1125.05,1125.85,1124.7,1124.7,5,0
72,1126.4,1126.4,1125,1125,51,0
73,1126.2,1126.4,1126.2,1126.4,81,0
74,1126.95,1126.95,1125.75,1126.9,78,0
75,1127,1127,1126.15,1126.15,140,0
76,1127,1127,1126.5,1126.5,181,0
77,1130,1130,1127,1127,2195,0
78,1129.05,1130,1128.5,1129.25,272,0
79,1130,1130,1129,1129.05,1366,0
80,1130,1130,1129.8,1130,385,0
81,1130,1130,1129,1129,28,0
82,1130.25,1130.4,1129.9,1130,454,0
83,1131.9,1131.9,1129.65,1130.25,2658,0
