EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,676,676,671.9,671.9,5726,0
1,676,677.5,675.1,676,7537,0
2,674.85,676,673,675,2413,0
3,676,676,674.85,674.85,2156,0
4,675.85,676.85,675.1,676,3804,0
5,675.9,675.95,675.1,675.85,2072,0
6,676,676,675.05,675.85,3844,0
7,675.75,676,674.35,675.1,3866,0
8,675.95,676,674.4,674.9,623,0
9,675.95,676,675.95,675.95,559,0
10,675,676,674.85,676,705,0
11,675.15,676,675,675,1259,0
12,675.1,676,675,675,1563,0
13,676,676,675.7,676,1300,0
14,676,676,675.55,676,2424,0
15,675.2,676,674.3,676,1262,0
16,675,675.7,674.5,674.55,1425,0
17,675.1,676,674.6,674.6,341,0
18,675.4,675.95,675.1,675.95,1757,0
19,675.75,675.75,675.1,675.1,110,0
20,675.9,675.9,675.25,675.75,66,0
21,675.9,675.9,675.9,675.9,1030,0
22,675.2,675.8,675.2,675.25,596,0
23,676,676,675.3,675.8,390,0
24,675.95,676,675.4,676,562,0
25,675.3,675.3,675.3,675.3,28,0
26,675.15,675.15,675.15,675.15,4,0
27,673.5,675.95,673.5,675.95,1625,0
28,673.05,674.4,672.2,673.1,590,0
29,672.45,673.05,672.05,673.05,893,0
30,671.8,672.75,671.75,672.1,2188,0
31,671.8,672,671.8,672,434,0
32,671.7,672.5,671.3,671.8,1165,0
33,671.7,671.7,671.7,671.7,110,0
34,671,671.1,670.05,671.1,1006,0
35,670.5,670.95,670,670.95,2110,0
36,671,671,670.5,670.5,231,0
37,670.5,671.2,670.5,670.5,386,0
38,670.3,671,670.15,670.3,496,0
39,669.65,670.15,669.6,670.15,276,0
40,669.7,670.95,669.6,670,975,0
41,670.05,670.5,669.7,669.7,259,0
42,671,671,670.1,670.5,497,0
43,670.4,671,670.4,671,2395,0
44,671,671,670.25,671,271,0
45,671,671,670.95,671,1143,0
46,669.6,670.9,669.6,670.5,1553,0
47,668.95,669.5,667.45,669.5,1797,0
48,668.4,669,668.4,669,455,0
49,667,668.4,667,668.4,427,0
50,666.1,667.7,666.1,667,1308,0
51,662.45,666.05,661.7,666,5786,0
52,665,665.35,662.45,662.45,1057,0
53,664.9,664.9,664,664.9,523,0
54,665,665.1,664.1,664.1,980,0
55,664,665.8,664,665.1,1384,0
56,662.9,664.7,662.55,664.7,916,0
57,662.95,664.2,662.95,663.7,628,0
58,663.7,663.75,663,663,220,0
59,663.15,663.75,663.15,663.7,303,0
60,663.2,663.9,663.2,663.2,29,0
61,663.5,663.9,663.3,663.3,301,0
62,664,664,663.5,663.5,231,0
63,664.65,664.65,664,664,116,0
64,664.05,664.7,664.05,664.5,136,0
65,665,665,664.7,664.7,130,0
66,664.9,664.95,664.5,664.7,276,0
67,665.9,665.9,665,665,712,0
68,665.05,665.05,665.05,665.05,1,0
69,666.05,667.35,665.05,665.85,590,0
70,665.05,667.15,665,667.15,563,0
71,665.8,665.9,664.8,664.8,400,0
72,665.85,665.85,665.3,665.3,174,0
73,665.5,666.2,665.1,666.2,211,0
74,665.5,665.5,665.5,665.5,1,0
75,665,665.5,665,665.5,467,0
76,665.1,665.5,665.1,665.5,350,0
77,665.5,665.5,665.3,665.4,18,0
78,665.5,665.5,665.05,665.3,94,0
79,665.3,666.6,665,665.5,2201,0
80,664.1,666.35,664.05,666.2,4559,0
81,663.15,664.95,662.8,664,4216,0
82,663.55,664,662.1,663.1,551,0
83,663.1,663.35,662,663,520,0
84,663.2,663.2,662.1,662.1,230,0
85,663.5,663.55,662,663.15,340,0
86,663.45,663.45,662.5,662.5,117,0
87,663.45,663.45,663.45,663.45,8,0
88,662,663.45,662,662.9,2273,0
89,658.4,662,657,662,5055,0
90,659.45,659.7,658.4,658.4,212,0
91,660.1,661.7,660.1,660.1,198,0
92,661.8,661.8,660.9,661.65,763,0
93,661.8,661.8,661.75,661.8,112,0
94,662.15,662.15,661.95,661.95,178,0
95,660.1,662.15,658.2,661,2451,0
96,660.2,660.2,660,660,2,0
97,661.3,661.3,660.2,660.2,51,0
98,661.3,661.3,661.3,661.3,10,0
99,661.5,661.5,661.25,661.3,65,0
100,661.9,661.95,661.5,661.9,330,0
101,661.9,661.9,661.9,661.9,58,0
102,661.2,661.2,661.2,661.2,12,0
104,662.2,662.25,661.75,662.25,213,0
105,662.75,662.75,661.75,662.7,64,0
106,662.9,662.9,661.25,661.8,457,0
107,661.2,662.9,661.2,661.2,627,0
108,662.9,662.9,662.2,662.9,81,0
109,662.9,662.9,661.65,662.9,56,0
110,662.9,662.9,661.65,661.65,244,0
111,662.9,662.9,661.25,661.25,169,0
112,662.65,662.65,662.65,662.65,12,0
113,662.4,662.4,661.05,661.2,176,0
114,662.7,662.7,660.8,660.8,159,0
115,662.4,662.4,662.4,662.4,1,0
116,662.2,662.2,661.35,661.35,32,0
