EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531712760,642.3,647.4,640,647.05,1477,0
1,640.45,643.3,640.45,642.35,3245,0
2,640.95,641,640.5,640.5,394,0
3,640.4,640.95,640.3,640.95,404,0
4,638.45,640.75,638.45,640.75,927,0
5,635.1,637.25,635.1,637.2,840,0
6,631.3,636.3,627.3,635.3,6694,0
7,623.75,629.4,623,629.4,11002,0
8,624,624.6,622.8,623.35,10615,0
9,625.05,625.05,622.85,622.85,5949,0
10,634.55,634.55,625,625,6561,0
11,626.8,634.75,626.8,634.75,5220,0
12,629,630.4,626.7,627.05,2081,0
13,629.65,629.65,627.8,629,2021,0
14,629.7,629.9,628.1,629.55,660,0
15,629.3,629.9,628.55,629.7,262,0
16,627.5,628.1,626.55,627.65,2157,0
17,627.75,628.6,627,627,231,0
18,626,628.45,626,627.65,2860,0
19,626.9,627,626.75,626.75,79,0
20,623.6,626.9,623,626.5,9052,0
21,622.6,623.75,622.45,623.4,6695,0
22,623,623.25,622.25,622.6,5726,0
23,622,623.5,622,623.45,4853,0
24,623,623.25,621.5,622.55,5359,0
25,622,623.15,622,623.05,1665,0
26,623.45,623.5,622.05,622.05,1894,0
27,625.35,625.95,623.45,623.5,3842,0
28,625.45,625.45,624.5,625.15,646,0
29,627.65,629.3,625.1,625.45,5360,0
30,626.15,628.1,625,628.1,1257,0
31,624.55,626.85,624.55,626.65,2577,0
32,625,625.3,624.35,624.75,853,0
33,625.55,626,625,625,276,0
34,625.45,626.2,625.4,626.15,216,0
35,626.1,626.2,625.5,625.55,559,0
36,628.8,628.8,626.3,626.55,940,0
37,627.85,629.3,627.85,629,1050,0
38,627,628,627,627.8,1558,0
39,625.9,627,625.4,627,638,0
40,626,626,625.9,625.9,353,0
41,626,626,625.4,626,540,0
42,625.9,626,625.4,626,655,0
43,626,626,625.85,625.85,165,0
44,627,627,626,626,1426,0
45,626.1,627.1,626.1,627,336,0
46,626.75,626.9,626.1,626.9,216,0
47,626.75,626.95,626.75,626.75,609,0
48,626.5,626.6,626.1,626.55,601,0
49,628.75,628.75,625,626.5,4886,0
50,628,628.95,627.55,628.9,191,0
51,627.7,628,627.35,628,836,0
52,627.9,627.9,627.3,627.65,680,0
53,629,629,627.9,627.9,1514,0
54,627.9,629,627.55,629,350,0
55,627.65,628,627.65,627.9,311,0
56,627,627.6,626.95,627.5,1350,0
57,626.75,627.45,626.75,627,1173,0
58,627.4,627.45,626.75,627.4,90,0
59,627.3,627.3,627.3,627.3,25,0
60,626.8,627.35,626.8,627.3,319,0
61,627,627.3,626.6,627.3,117,0
62,627.1,627.2,626.4,627.15,1063,0
63,627.15,627.15,627,627.05,177,0
64,627.2,627.45,626.25,626.25,349,0
65,627,627.45,627,627.25,248,0
66,627.4,627.4,627,627.4,79,0
67,627,627,627,627,263,0
68,628.7,628.8,628,628,580,0
69,628,628.75,628,628.25,185,0
70,628.2,628.65,627.5,628.25,621,0
71,627.2,627.8,626.7,627.8,631,0
72,628.6,629.35,627.2,627.2,409,0
73,627.05,628.9,627.05,628.55,2206,0
74,626.8,627.4,626.8,627.4,122,0
75,627.15,627.15,626.8,626.8,199,0
76,627.95,627.95,627.3,627.9,111,0
77,628.05,628.05,627.05,628.05,289,0
78,626.4,627.85,626.4,627.85,454,0
79,627.2,627.8,627.2,627.8,27,0
80,627,627.2,627,627.2,37,0
81,626.85,627,626.35,627,585,0
82,627,627,626.5,626.95,242,0
83,626.9,626.9,626.35,626.9,125,0
84,626.45,626.95,626.35,626.85,153,0
85,627.35,627.35,626.9,626.9,141,0
86,627.45,627.45,627.35,627.35,195,0
87,627.35,627.45,627.25,627.45,40,0
88,626.9,627.45,626.9,627.2,306,0
89,626.9,627.45,626.9,627,164,0
90,626.8,626.8,626.35,626.8,38,0
91,626.5,626.8,626.05,626.8,177,0
92,626.8,626.8,626.6,626.6,125,0
93,626.1,626.8,626.1,626.8,226,0
94,626.7,626.8,626.7,626.75,293,0
95,626.8,626.8,626.7,626.7,76,0
96,626.8,626.8,626.8,626.8,25,0
97,626.3,626.8,626.3,626.8,50,0
98,626.8,626.8,626.8,626.8,27,0
99,626.8,626.8,626.3,626.8,78,0
100,626.45,626.75,626,626.75,375,0
101,626.3,626.55,626.3,626.55,25,0
102,626.55,626.55,624.75,626.25,1430,0
103,625,626.55,624.85,626.55,525,0
104,626,626.4,625.3,625.3,730,0
105,626,626,625.55,626,31,0
106,625.8,626.5,625.8,626,96,0
107,625.15,626.25,625.05,625.05,453,0
108,625.3,626,625.2,625.55,151,0
109,625.2,626,625.2,625.4,137,0
110,625.3,626.15,625.3,626.15,295,0
111,625.55,626.35,625.45,625.95,73,0
112,626,626.55,625.55,626.55,264,0
113,626,626,625.95,625.95,748,0
114,625.95,626,625.95,626,29,0
115,626,626,625.85,625.9,1091,0
