EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,606.55,606.55,603.15,605.95,12190,0
1,617.2,618,606.15,606.15,9680,0
2,623.5,628.1,616,617.2,7125,0
3,621.85,623.55,616.1,623.5,4308,0
4,625.95,625.95,621.65,621.65,3816,0
5,628.25,629,626.3,626.3,6954,0
6,628.55,629.05,628.5,628.9,2930,0
7,626.3,629,626,628.55,4524,0
8,615.05,626.15,615,626.15,6529,0
9,620.15,624.25,612.15,615,5455,0
10,624,624.5,619.85,619.85,3900,0
11,621.95,624.15,621,624.15,1890,0
12,623,624,621.8,621.8,1709,0
13,617.35,622.15,616.55,622.15,3290,0
14,622.2,623.05,616.45,616.95,1320,0
15,620,622.9,620,622.45,2013,0
16,622.6,623,616.05,620,3039,0
17,623,624.9,621.1,622.75,4005,0
18,627.1,627.1,623,623,2381,0
19,630.65,633,626.1,628.1,6830,0
20,629.5,647.55,624.3,631.85,9025,0
21,627.1,630.6,626.2,629.5,3442,0
22,626.2,627.2,626,626.55,2006,0
23,630.25,635.45,625.8,626,5995,0
24,634.7,634.7,630.25,630.5,3084,0
25,640.45,642.45,634.65,634.7,4345,0
26,642,646.2,640.05,640.05,9947,0
27,644,644.8,640,642,3850,0
28,648,648,644.95,644.95,3406,0
29,651.7,653.85,647.05,647.5,9366,0
30,648.05,651.7,647,651.7,4749,0
31,649.85,651.65,648,649,2559,0
32,645.25,650,645.1,650,4474,0
33,645.45,646,645.1,645.5,3318,0
34,641.7,645.5,640,645.5,4185,0
35,642.65,643.7,641.1,641.1,2807,0
36,639.35,642.05,637.05,642.05,3268,0
37,632.05,639.05,632,637.1,2442,0
38,633.05,633.45,631,631.3,2940,0
39,635,636.1,633.45,633.45,1451,0
40,634.25,635,633.5,635,1825,0
41,633.9,634.25,633.9,634.25,772,0
42,633.9,634,633.5,634,525,0
43,634,634,633.85,633.9,716,0
44,633.95,634,633.95,633.95,719,0
45,634,634,633.9,633.95,1416,0
46,633.7,634,633.1,634,2497,0
47,633.6,633.95,633.1,633.95,278,0
48,632,633.75,630.55,633.6,2574,0
49,634.25,634.25,630.5,631.55,1875,0
50,633.7,634.05,632.2,634.05,415,0
51,636,636.5,633.75,633.75,2624,0
52,635.9,636,634.75,636,1506,0
53,634.95,635.5,634.5,635.25,1240,0
54,634.85,634.85,634.6,634.6,962,0
55,635.7,635.7,634.8,634.8,1135,0
56,635.85,637,635.7,635.7,1532,0
57,638.85,638.95,636.3,636.7,1294,0
58,638.6,639,638.6,638.9,1117,0
59,638.55,638.6,638.15,638.6,818,0
60,638.6,638.6,638.55,638.55,474,0
61,638.6,638.6,637.6,638.6,1221,0
62,636.75,638.55,635.9,638.55,866,0
63,636.55,636.7,636.5,636.7,290,0
64,636.3,636.55,636.2,636.5,425,0
65,636.5,636.5,636.2,636.5,917,0
66,635.6,636.5,635.6,636.45,698,0
67,634,635.6,633.8,635.5,2789,0
68,633.45,634,633.35,634,804,0
69,631.5,633.4,631.3,633.4,361,0
70,631.25,631.5,630.65,631.3,1073,0
71,631.25,631.25,631.05,631.25,784,0
72,631.25,631.25,631.1,631.1,503,0
73,631,631.1,630.55,631.1,1020,0
74,627,631,627,630.6,4055,0
75,628.5,632.4,626.25,626.25,1635,0
76,630.5,631.75,628.25,628.5,1490,0
77,631.7,632.35,630.5,631,1008,0
78,631,633,628.5,633,1061,0
79,630.5,630.75,630.5,630.5,562,0
80,630.55,630.95,630.5,630.95,75,0
81,629.2,630.55,629.2,630.55,1943,0
82,629.4,630,629.2,630,497,0
83,629.95,629.95,629.4,629.4,112,0
