EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,254.9,254.9,254.9,254.9,401,0
2,256.3,256.3,255,255,63,0
3,256.35,256.35,256.2,256.2,73,0
4,257.05,257.05,256,256.45,701,0
5,257.8,257.8,257.8,257.8,25,0
6,257.7,257.7,257.6,257.6,168,0
8,257.75,257.75,257.75,257.75,15,0
9,257.1,257.1,257.05,257.05,200,0
10,257.45,257.5,257.45,257.5,434,0
11,257.45,257.55,257.45,257.55,7,0
14,257.45,257.45,257.45,257.45,89,0
15,257,257.05,257,257.05,98,0
16,257,257.3,257,257.3,132,0
17,257,257,257,257,252,0
18,257.65,257.65,257.35,257.35,83,0
19,257,257,257,257,69,0
21,257.35,257.35,257.35,257.35,13,0
26,257,257,257,257,26,0
27,257.45,257.45,257,257,407,0
28,257.7,257.75,257.7,257.75,204,0
29,257.7,257.7,257.7,257.7,67,0
30,257.7,257.7,257.7,257.7,168,0
31,258.05,258.05,257.75,257.75,274,0
32,258.05,258.05,258.05,258.05,2,0
33,258,258.05,258,258.05,168,0
34,258.05,258.05,258,258,475,0
35,257.85,258.1,257.75,258.1,481,0
36,257,257.05,257,257.05,268,0
37,257.05,257.35,257.05,257.05,388,0
39,257.1,257.1,257.1,257.1,20,0
40,257.35,257.35,257.35,257.35,1,0
41,257,257.1,257,257.1,241,0
42,257,257.1,257,257.1,259,0
43,257,257,257,257,3,0
44,257.3,257.3,257.3,257.3,8,0
45,257.25,257.25,257.25,257.25,91,0
46,257.5,257.5,257.5,257.5,50,0
47,257,257.5,257,257.5,44,0
48,257,257,257,257,315,0
49,257,257,257,257,118,0
50,257,257,257,257,56,0
52,257,257,257,257,19,0
53,257,257,257,257,181,0
54,257,257,257,257,198,0
55,257,257.15,257,257,200,0
56,257.05,257.05,257.05,257.05,10,0
58,257.25,257.25,257.25,257.25,10,0
59,257.05,257.05,257.05,257.05,1,0
60,256.25,257,256.25,257,339,0
62,256.4,256.4,256.4,256.4,1,0
63,256.05,256.4,256.05,256.4,56,0
66,256.45,256.45,256,256,41,0
67,255,255.5,255,255.5,547,0
68,255.95,256,255.75,255.75,216,0
69,255.8,255.8,255.4,255.4,19,0
72,256.05,256.05,255.65,255.65,18,0
73,256.45,256.45,255.65,255.65,201,0
76,256.1,256.1,256,256,45,0
79,256.65,256.65,256.65,256.65,1,0
83,255.95,256.05,255.95,256.05,284,0
