EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1093,1093,1090,1090,408,0
1,1094.95,1095.5,1092.25,1092.9,1654,0
2,1096,1096.9,1093.55,1093.55,6757,0
3,1092.5,1096,1091.05,1096,5548,0
4,1088.9,1092.5,1088.85,1092.5,745,0
5,1093.4,1095.25,1090.8,1090.8,2855,0
6,1091.05,1092.9,1091.05,1092.9,1374,0
7,1090.25,1091.2,1090,1091.05,667,0
8,1094.35,1094.4,1091.55,1091.95,1662,0
9,1095.85,1095.85,1094.4,1094.4,541,0
10,1094.4,1095.65,1094.4,1095.65,2608,0
11,1093.65,1093.65,1091.65,1093.55,230,0
12,1091.3,1092.45,1091.3,1092.45,1146,0
13,1088,1091,1087.4,1091,2364,0
14,1089.6,1089.6,1087.45,1087.45,199,0
15,1086.5,1089.5,1085.1,1089.5,927,0
16,1085,1086.25,1085,1085.8,1102,0
17,1086.95,1086.95,1085.7,1085.85,314,0
18,1086.45,1087.4,1085.65,1087.4,664,0
19,1087.75,1087.75,1086.35,1086.35,86,0
20,1088.2,1088.2,1087.55,1087.55,37,0
21,1093.25,1094.9,1089.35,1089.35,799,0
22,1092.1,1093.25,1092.1,1093.25,243,0
23,1092.35,1092.7,1091.9,1091.9,119,0
24,1095.5,1095.5,1092.9,1093,2317,0
25,1090.95,1094.75,1090.95,1094.6,1722,0
26,1089.8,1090.9,1089.8,1090.9,612,0
27,1089.2,1090,1088.85,1089.5,378,0
28,1089.55,1089.55,1089.1,1089.2,464,0
29,1089.45,1090,1088.8,1090,190,0
30,1086.2,1089.2,1086.1,1089.05,787,0
31,1086.8,1086.8,1086.15,1086.15,723,0
32,1086.9,1087.45,1086.5,1087.45,642,0
33,1084,1086.8,1084,1086.8,1387,0
34,1082.2,1083.95,1081.8,1083,1261,0
35,1081.9,1083,1081.6,1082.85,466,0
36,1082.3,1082.35,1081.7,1081.7,101,0
37,1084.05,1084.05,1082.2,1082.2,786,0
38,1084.25,1084.55,1083.05,1084.05,136,0
39,1082.5,1083,1082,1083,366,0
40,1082.2,1082.5,1082.2,1082.5,295,0
41,1081,1081.9,1081,1081.7,612,0
42,1081.05,1081.35,1081.05,1081.35,346,0
43,1082.05,1082.4,1081.1,1081.2,2964,0
44,1081,1082.65,1081,1082.65,492,0
45,1081,1081.25,1081,1081,614,0
46,1081.05,1081.45,1080.35,1081,965,0
47,1081,1082.15,1080.1,1081.2,100846,0
48,1080.95,1081,1080.95,1081,16,0
49,1080.55,1080.95,1080.35,1080.95,401,0
50,1080.9,1081,1080.3,1080.55,211,0
51,1079.85,1080.8,1079.85,1080.8,1404,0
52,1081,1081,1079.85,1079.85,806,0
53,1081.05,1081.05,1081,1081,750,0
54,1080.75,1081.05,1080.75,1081.05,271,0
55,1081,1081,1080.55,1080.75,464,0
56,1079.5,1080.55,1079.5,1080.55,413,0
57,1079.5,1079.9,1079.5,1079.9,140,0
58,1079.8,1079.9,1079,1079.9,231,0
59,1077,1079.8,1076.4,1079.8,885,0
60,1076,1078.6,1076,1077.65,1344,0
61,1076.1,1076.1,1075,1076,5197,0
62,1078,1078.3,1076.1,1076.1,585,0
63,1077.8,1077.8,1076.9,1077.75,249,0
64,1077,1077.8,1077,1077.8,288,0
65,1076.9,1077.55,1076.15,1077.55,631,0
66,1076.75,1076.75,1075,1076.15,5199,0
67,1078.95,1079.55,1076.55,1076.55,528,0
68,1080.65,1081,1079.8,1079.85,495,0
69,1080.9,1081,1080.1,1080.1,572,0
70,1079.65,1081.05,1079.6,1080.85,1602,0
71,1078.05,1079.65,1078.05,1079.65,445,0
72,1080.8,1081,1079.7,1079.7,548,0
73,1078.8,1081,1078.8,1080.8,1262,0
74,1076.3,1078.7,1076,1078.7,3837,0
75,1077.5,1077.5,1076,1076.1,4162,0
76,1078.75,1078.95,1077.6,1077.85,611,0
77,1077.5,1078.7,1077.5,1077.55,183,0
78,1077.1,1078.8,1077.05,1077.5,1269,0
79,1077.5,1078.2,1077.2,1078.2,66,0
80,1079.15,1079.15,1077.05,1077.05,386,0
81,1081,1081,1078.9,1079,1008,0
82,1080.05,1081,1080.05,1080.25,527,0
83,1079.8,1080.6,1079.8,1080.2,465,0
